w_q1	w_q2	w_q3low	roc_auc	ap	lower_half_auc	q1_auc	knownness_spearman	objective
1.0	0.65	0.5	0.8011688563447796	0.7223540263047207	0.6987609136608167	0.6566554054054053	0.6668968563986375	1.0754385258842418
1.0	1.0	0.25	0.8002216112858741	0.7211721794100981	0.6963797513008203	0.6566554054054053	0.6615370923849528	1.074312908518706
0.8	0.25	0.0	0.7982279908712011	0.7202422381334278	0.6915218861157657	0.6674324324324324	0.6565354389306726	1.07351749929935
1.0	0.8	0.35	0.8000938433476962	0.7215958034269142	0.6953802510509451	0.6566554054054053	0.6667016519113453	1.0733688345529262
1.0	0.5	0.5	0.7998250900984254	0.7216811951581993	0.69474821412823	0.6566554054054053	0.6681763091909863	1.0727630044988767
1.0	1.0	0.15	0.7990276419325562	0.7205152379341119	0.6927345150953935	0.6566554054054053	0.6617995944476425	1.071999118097491
1.0	0.8	0.25	0.7991069461700459	0.7210486700444246	0.6923376547020608	0.6566554054054053	0.6670034892276173	1.0714389747389834
1.0	0.65	0.35	0.7985870628353909	0.7210464464470127	0.6906620219302114	0.6566554054054053	0.6680648233046108	1.0703102681650745
0.8	0.15	0.0	0.7961616749054957	0.7190369074512535	0.6860099362083663	0.6674324324324324	0.6562039388196178	1.0698307483725302
1.0	0.8	0.15	0.7979350057715864	0.7203840514877043	0.688765911162066	0.6566554054054053	0.6672659912365778	1.0691692610776293
1.0	0.65	0.25	0.7977014988500886	0.7205190368790775	0.6879574918423141	0.6566554054054053	0.6683666606208829	1.0685831614217756
1.0	0.5	0.35	0.7969745433397657	0.7202919057119206	0.6857527118793544	0.6566554054054053	0.6693442760969598	1.067097010374957
1.0	0.65	0.15	0.7965427758245438	0.7198475416292655	0.6844298439015786	0.6566554054054053	0.6686291626298434	1.0663398938131141
1.0	1.0	0.0	0.7958378492690792	0.7187762449661514	0.6830481817914573	0.6566554054054053	0.6630198046042481	1.0657814044271727
1.0	0.5	0.25	0.7959039361336541	0.7197320356358472	0.6824308434018285	0.6566554054054053	0.6696461134132317	1.0649996588939605
0.8	0.0	0.0	0.7928749548406426	0.7163083716215086	0.6782344122056618	0.6674324324324324	0.6556506116599022	1.0642667038228375
1.0	0.8	0.0	0.7952034153691612	0.7188367745340956	0.6806082252991151	0.6566554054054053	0.668486201160382	1.0638683439239385
1.0	0.35	0.35	0.795080053221955	0.7192302621755303	0.6802995561043008	0.6566554054054053	0.6702944805369435	1.063471553080632
1.0	0.5	0.15	0.7946835320345061	0.7190408652219312	0.6786974159978834	0.6566554054054053	0.6699086154221922	1.062632976372733
1.0	0.65	0.0	0.7938596491228069	0.7183228653196083	0.676433841902578	0.6566554054054053	0.6698493725578751	1.0611359455188738
1.0	0.35	0.25	0.793656982738111	0.7185473015380532	0.675801804979863	0.6566554054054053	0.6705963178532154	1.0606689735278294
1.0	0.25	0.25	0.7927141434701772	0.717740456323361	0.6739938854102362	0.6566554054054053	0.6703676124821842	1.0592066289261108
1.0	0.35	0.15	0.7924762307577079	0.7179173844292133	0.6722006643736955	0.6566554054054053	0.6708588198621759	1.05838162916468
1.0	0.5	0.0	0.7920841153612308	0.7175932407789611	0.6709806861275245	0.6566554054054053	0.6711288253541917	1.05759651974515
1.0	0.25	0.15	0.7911853340030136	0.716979693958447	0.6692315606902431	0.6566554054054053	0.6706301144911446	1.0562228718420532
1.0	0.15	0.15	0.7898063214288861	0.7160338343905375	0.666012581944322	0.6566554054054053	0.6701854279009519	1.0539226343031687
1.0	0.35	0.0	0.7898680025024893	0.716482329780761	0.6644545374371638	0.6566554054054053	0.6720790297971223	1.0533275418350074
1.0	0.25	0.0	0.7885110188832201	0.715570576380809	0.6612649557574155	0.6566554054054053	0.6718503244253818	1.0510365542489875
1.0	0.15	0.0	0.7866870214209556	0.7144610371363904	0.656561425169768	0.6566554054054053	0.67140563783381	1.047845966269586
1.0	0.0	0.0	0.7836910835602315	0.7118414513478575	0.6497560043507657	0.6566554054054053	0.6717076116678559	1.0427782047797567
