w_q1	w_q2	w_q3	w_q4	roc_auc	ap	lower_half_auc	q1_auc	knownness_spearman	objective
0.8	0.35	0.25	0.0	0.7170385395537526	0.4846760829369386	0.7170385395537526	0.681081081081081	-0.12070925712615539	1.0081170771744452
0.65	0.15	0.0	0.0	0.7152159214510392	0.47386549421864826	0.7152159214510392	0.6873648648648649	-0.12438768670166582	1.007075646479662
1.0	1.0	0.35	0.0	0.7141502778022752	0.48642168982686557	0.7141502778022752	0.6801351351351351	-0.14889509185632765	1.0066197248716207
0.8	0.35	0.2	0.0	0.7148925537231384	0.4834376762617526	0.7148925537231384	0.681081081081081	-0.11915998973591922	1.0053106534949587
0.8	0.25	0.25	0.0	0.7149366493223976	0.4789795751114278	0.7149366493223976	0.681081081081081	-0.11446828271519362	1.0049904364323745
1.0	1.0	0.25	0.0	0.7130478878207955	0.4838403159439338	0.7130478878207955	0.6801351351351351	-0.14544594186914292	1.0049658053957962
0.8	0.65	0.0	0.0	0.713613781344622	0.48339412320226727	0.713613781344622	0.681081081081081	-0.12836427348625035	1.0044485307218396
0.8	0.5	0.1	0.0	0.7131140312196843	0.48699863598710447	0.7131140312196843	0.681081081081081	-0.12422385213627214	1.0034926093576693
1.0	1.0	0.2	0.0	0.7119014022400565	0.48258000360917974	0.7119014022400565	0.6801351351351351	-0.14367031413480144	1.003390648201125
1.0	1.0	0.15	0.0	0.7114016521151189	0.48150512634509623	0.7114016521151189	0.6801351351351351	-0.14235791254655455	1.002660968417893
0.8	0.25	0.2	0.0	0.711776464708822	0.47758613977327063	0.711776464708822	0.681081081081081	-0.11291901395811188	1.0009162641648386
0.65	0.0	0.0	0.0	0.7105858835288239	0.4588711175297466	0.7105858835288239	0.6873648648648649	-0.11371164187997733	1.0004340154911577
1.0	1.0	0.1	0.0	0.7096525266778375	0.47982675735086955	0.7096525266778375	0.6801351351351351	-0.13970567101383283	1.0002623822986738
0.8	0.35	0.15	0.0	0.7106887732604286	0.48050165258857985	0.7106887732604286	0.681081081081081	-0.11591002552381258	0.9997959307796028
0.8	0.5	0.0	0.0	0.7085427874298145	0.4824840386604653	0.7085427874298145	0.681081081081081	-0.11751972725373369	0.9972422246297289
0.8	0.25	0.15	0.0	0.7073081106505571	0.4747725998972797	0.7073081106505571	0.681081081081081	-0.10966904974600522	0.9950708244550389
0.8	0.35	0.1	0.0	0.7068377575917923	0.4789798521495989	0.7068377575917923	0.681081081081081	-0.11151788484157384	0.9946307899392284
1.0	0.8	0.35	0.0	0.7056030808125349	0.4881035160910763	0.7056030808125349	0.6801351351351351	-0.11364019021623369	0.9931153365032376
1.0	1.0	0.0	0.0	0.7030381867889584	0.47506987739904755	0.7030381867889584	0.6801351351351351	-0.13376416138206593	0.9915191366670335
1.0	0.8	0.25	0.0	0.7043096099009319	0.48562145675794355	0.7043096099009319	0.6801351351351351	-0.11019805417856823	0.9912231269807207
0.8	0.25	0.1	0.0	0.7034276979157481	0.4729969362118717	0.7034276979157481	0.681081081081081	-0.10527690906376647	0.9898689372819485
1.0	0.8	0.2	0.0	0.7031484257871065	0.48439301414484187	0.7031484257871065	0.6801351351351351	-0.10842603723625951	0.9896298854830541
0.8	0.35	0.0	0.0	0.7025604844636506	0.4736181432528459	0.7025604844636506	0.681081081081081	-0.10481375995903541	0.9887478685384482
0.8	0.15	0.15	0.0	0.7022371167357496	0.4651430494587132	0.7022371167357496	0.681081081081081	-0.10213229929173159	0.9881291420251876
1.0	0.8	0.15	0.0	0.7020313372725403	0.4827870903017587	0.7020313372725403	0.6801351351351351	-0.10711630445584158	0.988128746217413
1.0	0.65	0.35	0.0	0.7021783226034042	0.48657556358344634	0.7021783226034042	0.6801351351351351	-0.10336272345464877	0.9880121914008975
1.0	0.8	0.1	0.0	0.7000764323720492	0.4809418954208803	0.7000764323720492	0.6801351351351351	-0.10446945633549463	0.9854733672421714
1.0	0.65	0.25	0.0	0.7002381162359997	0.48252217531764957	0.7002381162359997	0.6801351351351351	-0.09992058741698331	0.9853115625586286
0.8	0.25	0.0	0.0	0.6987682629273598	0.4691281226517985	0.6987682629273598	0.681081081081081	-0.09857278418122807	0.9835083135558601
1.0	0.65	0.2	0.0	0.6989005497251375	0.4808432723260678	0.6989005497251375	0.6801351351351351	-0.0981485704746746	0.9834978430646661
1.0	0.65	0.15	0.0	0.6981950201369904	0.4793896145230553	0.6981950201369904	0.6801351351351351	-0.09683883769425665	0.9825111524570488
0.8	0.15	0.1	0.0	0.6974012993503249	0.4632164491128586	0.6974012993503249	0.681081081081081	-0.09774015738994908	0.9817329989412642
1.0	0.65	0.1	0.0	0.6967545638945233	0.47729663296620545	0.6967545638945233	0.6801351351351351	-0.09419198957390972	0.9804988343043372
