candidate	weight_mode	l2	roc_auc	ap	lower_half_auc	q1_auc	source_holdout_auc	knownness_spearman	objective	n_features	columns
kr_plus_evenness	class_balanced+knownness_balanced	5.0	0.8119277978975565	0.7252037287509472	0.7417688214716172	0.6706418918918919	0.7097082302036697	0.5757055224637686	1.2414438060625017	13	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm|host_taxon_evenness_norm
phylo_dual	class_balanced+knownness_balanced	4.0	0.8110862918219708	0.7250368589841809	0.7416512332069259	0.6706418918918919	0.7145594516572957	0.5765480275092121	1.2414361671927807	13	T_eff_norm|H_specialization_norm|H_phylogenetic_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm
phylo_dual	class_balanced+knownness_balanced	3.0	0.8109651325702504	0.7252178223624612	0.7416144868742099	0.6706418918918919	0.7133253547909435	0.5764638881193188	1.2410672613947622	13	T_eff_norm|H_specialization_norm|H_phylogenetic_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm
kr_plus_evenness	class_balanced+knownness_balanced	3.0	0.8118220589142369	0.7256497217456862	0.7416071376076667	0.6701013513513514	0.7084958735684275	0.5761313056600406	1.2408878885012877	13	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm|host_taxon_evenness_norm
eco_external_evenness	class_balanced+knownness_balanced	3.0	0.8120379426718479	0.7232759709200635	0.744679131022724	0.6640878378378379	0.7022611956898857	0.5714657718385471	1.2401355960635843	14	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm|H_external_host_range_norm|host_taxon_evenness_norm
kr_plus_external_evenness	class_balanced+knownness_balanced	3.0	0.8120379426718479	0.7232759709200635	0.744679131022724	0.6640878378378379	0.7022611956898857	0.5714657718385471	1.2401355960635843	14	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm|H_external_host_range_norm|host_taxon_evenness_norm
phylo_swap	class_balanced+knownness_balanced	5.0	0.8079229339043238	0.7276132664029205	0.7372416732810065	0.6652364864864865	0.7038660779353151	0.5523580016051316	1.2366329885803702	12	T_eff_norm|H_phylogenetic_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm
phylo_swap	class_balanced+knownness_balanced	4.0	0.8076982385647695	0.7276764670569534	0.7370505923508833	0.6651013513513514	0.7040204528741013	0.5524008880870952	1.2363496705446735	12	T_eff_norm|H_phylogenetic_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm
phylo_swap	class_balanced+knownness_balanced	3.0	0.807310528959264	0.7273441258311042	0.7367125260898962	0.6645608108108109	0.6981943904933126	0.5525300922678611	1.2345717159749143	12	T_eff_norm|H_phylogenetic_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm
phylo_aug_swap	class_balanced+knownness_balanced	5.0	0.7958819071787958	0.7043370237545055	0.7289076050210189	0.6632770270270271	0.7156911139995716	0.47212408810318657	1.2336929263180387	12	T_eff_norm|H_phylogenetic_augmented_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm
