base	extras	n_features	weight_mode	l2	roc_auc	ap	lower_half_auc	lowest_quartile_auc	knownness_spearman	objective	columns
phylo_aug_core	clinical_context_fraction_norm,ecology_context_diversity_norm,pathogenic_context_fraction_norm	11	source_balanced+class_balanced	2.5	0.7847572849753717	0.6813405331842414	0.7221756768674487	0.6321283783783784	0.4252481595606089	1.2156645022590966	T_eff_norm|H_phylogenetic_augmented_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|ecology_context_diversity_norm|pathogenic_context_fraction_norm
phylo_aug_core	clinical_context_fraction_norm,ecology_context_diversity_norm,A_recurrence_norm	11	source_balanced	2.5	0.7840876047476804	0.6876582293990893	0.7214701472793015	0.6314527027027027	0.42042481049204206	1.2156496698886416	T_eff_norm|H_phylogenetic_augmented_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|ecology_context_diversity_norm|A_recurrence_norm
phylo_aug_core	clinical_context_fraction_norm,ecology_context_diversity_norm	10	source_balanced	5.0	0.7861186743856124	0.6844172772254188	0.7193388599817738	0.6319932432432432	0.43012610890299047	1.2147527076129452	T_eff_norm|H_phylogenetic_augmented_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|ecology_context_diversity_norm
phylo_aug_core	clinical_context_fraction_norm,ecology_context_diversity_norm,pmlst_coherence_norm	11	source_balanced	5.0	0.7866033113924943	0.6953622707265553	0.7186480289267131	0.6311824324324324	0.43035530502961045	1.214573389854036	T_eff_norm|H_phylogenetic_augmented_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|ecology_context_diversity_norm|pmlst_coherence_norm
phylo_aug_core	clinical_context_fraction_norm,ecology_context_diversity_norm	10	source_balanced	4.0	0.7859997180293778	0.6855345401271664	0.7191624775847371	0.6313851351351352	0.42991523609859356	1.2143510869701983	T_eff_norm|H_phylogenetic_augmented_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|ecology_context_diversity_norm
phylo_aug_core	clinical_context_fraction_norm,ecology_context_diversity_norm,pmlst_coherence_norm	11	source_balanced	4.0	0.786493166618203	0.6955792837805223	0.7183981538642443	0.6306418918918919	0.4302791819099562	1.2141515763445507	T_eff_norm|H_phylogenetic_augmented_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|ecology_context_diversity_norm|pmlst_coherence_norm
phylo_aug_core	clinical_context_fraction_norm,ecology_context_diversity_norm,pathogenic_context_fraction_norm	11	source_balanced	5.0	0.7853564725475165	0.6803506547062537	0.7193388599817738	0.6318581081081082	0.4297307459206553	1.214028535709622	T_eff_norm|H_phylogenetic_augmented_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|ecology_context_diversity_norm|pathogenic_context_fraction_norm
natural_core	clinical_context_fraction_norm,A_recurrence_norm,pmlst_coherence_norm	11	source_balanced+class_balanced	5.0	0.8000806259747812	0.7119509160135441	0.7316415321750889	0.640777027027027	0.5227293984186324	1.2138224747935664	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm
phylo_aug_core	clinical_context_fraction_norm,ecology_context_diversity_norm,pmlst_coherence_norm	11	source_balanced	3.5	0.7864182681716848	0.6956158425140763	0.718236470000294	0.6302364864864864	0.4303844838783892	1.2138113306211094	T_eff_norm|H_phylogenetic_augmented_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|ecology_context_diversity_norm|pmlst_coherence_norm
phylo_aug_core	clinical_context_fraction_norm,ecology_context_diversity_norm,host_taxon_evenness_norm	11	source_balanced+class_balanced	5.0	0.7878677734013587	0.6650932873439349	0.7246744274921363	0.6340878378378378	0.4521320088700511	1.2138103478331208	T_eff_norm|H_phylogenetic_augmented_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|ecology_context_diversity_norm|host_taxon_evenness_norm
phylo_aug_core	clinical_context_fraction_norm,ecology_context_diversity_norm	10	source_balanced	3.5	0.785805863226625	0.6855557665518672	0.7188685069230091	0.630777027027027	0.42985937886907244	1.2137946580945722	T_eff_norm|H_phylogenetic_augmented_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|ecology_context_diversity_norm
phylo_aug_core	clinical_context_fraction_norm,ecology_context_diversity_norm	10	source_balanced	3.0	0.7857045300342771	0.6853774337003433	0.7188244113237499	0.630777027027027	0.42978466730395476	1.213696569333763	T_eff_norm|H_phylogenetic_augmented_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|ecology_context_diversity_norm
phylo_aug_core	clinical_context_fraction_norm,ecology_context_diversity_norm,pmlst_coherence_norm	11	source_balanced	3.0	0.7863301523522518	0.6955070658979063	0.7180012934709116	0.6302364864864864	0.43029945452177754	1.2136621603555453	T_eff_norm|H_phylogenetic_augmented_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|ecology_context_diversity_norm|pmlst_coherence_norm
natural_core	clinical_context_fraction_norm,ecology_context_diversity_norm,A_recurrence_norm	11	source_balanced+class_balanced	5.0	0.8038035193458282	0.7109258152430411	0.7321265837669401	0.6372635135135135	0.5330031495104731	1.21356561736772	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|ecology_context_diversity_norm|A_recurrence_norm
phylo_aug_core	clinical_context_fraction_norm,ecology_context_diversity_norm,pathogenic_context_fraction_norm	11	source_balanced	4.0	0.7851758351176786	0.6799621570599911	0.7191771761178234	0.63125	0.42977830186516336	1.213505771292626	T_eff_norm|H_phylogenetic_augmented_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|ecology_context_diversity_norm|pathogenic_context_fraction_norm
