backbone_id	member_count_train	n_countries_train	n_new_countries	spread_label	priority_index	bio_priority_index	evidence_support_index	coherence_score	freeze_rank	candidate_confidence_tier	primary_model_candidate_score	baseline_both_candidate_score	conservative_model_candidate_score	novelty_margin_vs_baseline	knownness_score	knownness_half	external_support_modalities_count	module_f_enriched_signature_count	risk_uncertainty	uncertainty_review_tier	portfolio_track	track_rank	recommended_monitoring_tier	freeze_candidate_score	false_positive_risk_tier	risk_flag_count	risk_flags	in_consensus_top50	in_candidate_dossier_top25	in_candidate_portfolio	in_novelty_watchlist	in_prospective_freeze	in_higher_confidence_shortlist	evidence_tier	action_tier	main_outcome_status	candidate_universe_origin	visibility_expansion_label	official_primary_model	official_conservative_model	official_governance_model	official_primary_top_10_precision	official_primary_top_10_recall	official_primary_top_25_precision	official_primary_top_25_recall	official_primary_decision_utility_score	official_primary_optimal_decision_threshold	official_governance_top_10_precision	official_governance_top_10_recall	official_governance_top_25_precision	official_governance_top_25_recall	official_governance_decision_utility_score	official_governance_optimal_decision_threshold	official_conservative_top_10_precision	official_conservative_top_10_recall	official_conservative_decision_utility_score	official_conservative_optimal_decision_threshold	official_benchmark_panel_size
AC442	5	3	1	0.0	0.654929962223794	0.6478466161259625	0.48110263522884883	0.8666666666666667	13.0	watchlist	0.8632410309227359	0.6955434660946402	0.4519409028538782	0.1676975648280956	0.681664981462757	upper_half	2.0			review				0.9164198882707923	high	5.0	low_assignment_confidence_risk,amr_uncertainty_risk,stability_risk,proxy_gap_risk,low_candidate_confidence_risk	False	True	False	False	True	False	watchlist	unassigned	negative	prospective_freeze_only	0.0	discovery_boosted	parsimonious_priority	governance_linear	1.0	0.027624309392265192	0.92	0.06353591160220995	-0.19817997977755308	0.21	0.9	0.024861878453038673	0.8	0.055248618784530384	-0.2679474216380182	0.0	0.8	0.022099447513812154	-0.2679474216380182	0.0	4
AC296	8	0	2		0.6547653618360689	0.6666666666666666	0.9580251194328864	1.0	15.0	watchlist				0.0			0.0			review					high	5.0	narrow_geography_risk,source_concentration_risk,low_assignment_confidence_risk,amr_uncertainty_risk,low_candidate_confidence_risk	False	True	False	False	False	False	watchlist	unassigned	not_evaluable	other_candidate_context		discovery_boosted	parsimonious_priority	governance_linear	1.0	0.027624309392265192	0.92	0.06353591160220995	-0.19817997977755308	0.21	0.9	0.024861878453038673	0.8	0.055248618784530384	-0.2679474216380182	0.0	0.8	0.022099447513812154	-0.2679474216380182	0.0	4
AE233	2	1	8	1.0	0.47311848875498025	0.37900049619424164	0.4372399445214979	1.0	17.0	watchlist	0.8013627310048664	0.3924618400425533	0.260197589516645	0.40890089096231313	0.4170879676440849	lower_half	1.0			review				0.903749610218514	high	7.0	sparse_training_support_risk,narrow_geography_risk,low_assignment_confidence_risk,amr_uncertainty_risk,stability_risk,proxy_gap_risk,low_candidate_confidence_risk	False	True	False	False	True	False	watchlist	unassigned	positive	prospective_freeze_only	1.0	discovery_boosted	parsimonious_priority	governance_linear	1.0	0.027624309392265192	0.92	0.06353591160220995	-0.19817997977755308	0.21	0.9	0.024861878453038673	0.8	0.055248618784530384	-0.2679474216380182	0.0	0.8	0.022099447513812154	-0.2679474216380182	0.0	4
AB040	2	1	19	1.0	0.4669043956608309	0.36457911033423457	0.4372399445214979	1.0	18.0	watchlist	0.8617981600366478	0.4024714858670224	0.3230003397898336	0.45932667416962536	0.4170879676440849	lower_half	3.0			review				0.9024788558393072	high	7.0	sparse_training_support_risk,narrow_geography_risk,low_assignment_confidence_risk,amr_uncertainty_risk,stability_risk,proxy_gap_risk,low_candidate_confidence_risk	False	True	False	False	True	False	watchlist	unassigned	positive	prospective_freeze_only	1.0	discovery_boosted	parsimonious_priority	governance_linear	1.0	0.027624309392265192	0.92	0.06353591160220995	-0.19817997977755308	0.21	0.9	0.024861878453038673	0.8	0.055248618784530384	-0.2679474216380182	0.0	0.8	0.022099447513812154	-0.2679474216380182	0.0	4
AA035	3	1	16	1.0	0.6507105220798609	0.4333111054812771	0.8777075735004538	1.0	19.0	watchlist	0.81678449764219	0.57809768830012	0.7485289385300586	0.23868680934206998	0.4735422986181328	upper_half	4.0			review				0.8965697159160426	high	5.0	narrow_geography_risk,low_assignment_confidence_risk,amr_uncertainty_risk,stability_risk,low_candidate_confidence_risk	False	True	False	False	True	False	watchlist	unassigned	positive	prospective_freeze_only	1.0	discovery_boosted	parsimonious_priority	governance_linear	1.0	0.027624309392265192	0.92	0.06353591160220995	-0.19817997977755308	0.21	0.9	0.024861878453038673	0.8	0.055248618784530384	-0.2679474216380182	0.0	0.8	0.022099447513812154	-0.2679474216380182	0.0	4
AB159	2	1	4	1.0	0.6694907659353383	0.6990254020777334	0.7185450591599458	1.0	22.0	watchlist	0.81678449764219	0.4231695511289715	0.4825732771596364	0.3936149465132185	0.5761712167172228	upper_half	4.0			review				0.8948104183277469	high	8.0	sparse_training_support_risk,narrow_geography_risk,source_concentration_risk,low_assignment_confidence_risk,amr_uncertainty_risk,stability_risk,proxy_gap_risk,low_candidate_confidence_risk	False	True	False	False	True	False	watchlist	unassigned	positive	prospective_freeze_only	1.0	discovery_boosted	parsimonious_priority	governance_linear	1.0	0.027624309392265192	0.92	0.06353591160220995	-0.19817997977755308	0.21	0.9	0.024861878453038673	0.8	0.055248618784530384	-0.2679474216380182	0.0	0.8	0.022099447513812154	-0.2679474216380182	0.0	4
AE341	3	2	1	0.0	0.5210810060964791	0.4094694684234117	0.8415523706785843	0.7222222222222222	23.0	watchlist	0.6532825586051432	0.4838649443182698	0.2630533889167483	0.16941761428687335	0.6373441186383553	upper_half	0.0			review				0.8932883243533537	high	5.0	low_assignment_confidence_risk,amr_uncertainty_risk,stability_risk,proxy_gap_risk,low_candidate_confidence_risk	False	True	False	False	True	False	watchlist	unassigned	negative	prospective_freeze_only	0.0	discovery_boosted	parsimonious_priority	governance_linear	1.0	0.027624309392265192	0.92	0.06353591160220995	-0.19817997977755308	0.21	0.9	0.024861878453038673	0.8	0.055248618784530384	-0.2679474216380182	0.0	0.8	0.022099447513812154	-0.2679474216380182	0.0	4
AA425	2	1	10	1.0	0.29550487421139066	0.1923231951939712	0.8155468228283762	1.0	24.0	watchlist	0.803397873709048	0.4024714858670224	0.3736103089012618	0.4009263878420256	0.4170879676440849	lower_half	3.0			review				0.89211190165716	high	7.0	sparse_training_support_risk,narrow_geography_risk,low_assignment_confidence_risk,amr_uncertainty_risk,stability_risk,proxy_gap_risk,low_candidate_confidence_risk	False	True	False	False	True	False	watchlist	unassigned	positive	prospective_freeze_only	1.0	discovery_boosted	parsimonious_priority	governance_linear	1.0	0.027624309392265192	0.92	0.06353591160220995	-0.19817997977755308	0.21	0.9	0.024861878453038673	0.8	0.055248618784530384	-0.2679474216380182	0.0	0.8	0.022099447513812154	-0.2679474216380182	0.0	4
AA710	2	1	3	1.0	0.8815386715598826	0.8710077588023419	0.8155468228283762	0.8888888888888888	25.0	watchlist	0.6532825586051432	0.4272818931187258	0.6502501122548134	0.2260006654864174	0.5761712167172228	upper_half	0.0			review				0.8908002032418476	high	7.0	sparse_training_support_risk,narrow_geography_risk,source_concentration_risk,low_assignment_confidence_risk,amr_uncertainty_risk,stability_risk,low_candidate_confidence_risk	False	True	False	False	True	False	watchlist	unassigned	positive	prospective_freeze_only	1.0	discovery_boosted	parsimonious_priority	governance_linear	1.0	0.027624309392265192	0.92	0.06353591160220995	-0.19817997977755308	0.21	0.9	0.024861878453038673	0.8	0.055248618784530384	-0.2679474216380182	0.0	0.8	0.022099447513812154	-0.2679474216380182	0.0	4
AA850	2	1	2	0.0	0.46452285394290743	0.45685253043037716	0.8155468228283762	1.0	26.0															0.8907642156915834				False	False	False	False	True	False	unknown	unassigned	negative	prospective_freeze_only	0.0	discovery_boosted	parsimonious_priority	governance_linear	1.0	0.027624309392265192	0.92	0.06353591160220995	-0.19817997977755308	0.21	0.9	0.024861878453038673	0.8	0.055248618784530384	-0.2679474216380182	0.0	0.8	0.022099447513812154	-0.2679474216380182	0.0	4
