model_name	feature_name	coefficient	standard_error	coefficient_ci_lower	coefficient_ci_upper	abs_coefficient	direction	n_backbones
support_synergy_priority	T_A_synergy_norm	-0.6235189625302601	0.5523157484028385	-1.7060379374941093	0.45900001243358923	0.6235189625302601	negative	989
support_synergy_priority	amr_clinical_escalation_norm	0.5917076984179418	0.5971791805643639	-0.5787419878053534	1.7621573846412368	0.5917076984179418	positive	989
support_synergy_priority	mash_neighbor_distance_train_norm	0.5776835562767136	0.49142104971966494	-0.38548400241869685	1.5408511149721242	0.5776835562767136	positive	989
support_synergy_priority	external_t_synergy_norm	0.575731527360248	0.38621242065037026	-0.18123090749651116	1.3326939622170073	0.575731527360248	positive	989
support_synergy_priority	H_A_synergy_norm	0.5594165891068051	0.5579457745306423	-0.5341370342995592	1.6529702125131696	0.5594165891068051	positive	989
support_synergy_priority	backbone_purity_norm	-0.49521232987249514	0.3203460320854531	-1.1230790153502959	0.13265435560530553	0.49521232987249514	negative	989
support_synergy_priority	coherence_score	0.4385703580952253	0.37506702287511173	-0.2965474985286543	1.173688214719105	0.4385703580952253	positive	989
support_synergy_priority	ecology_context_diversity_norm	0.4135298051832716	0.2823146873349881	-0.1397968142999912	0.9668564246665343	0.4135298051832716	positive	989
support_synergy_priority	pmlst_presence_fraction_train	0.4021093384062445	0.740680362817128	-1.0495974967713866	1.8538161735838758	0.4021093384062445	positive	989
support_synergy_priority	A_recurrence_norm	-0.37844074928678445	0.4305071727580317	-1.2222193029786896	0.4653378044051208	0.37844074928678445	negative	989
support_synergy_priority	H_support_norm	0.3623744300845084	0.31828365172737383	-0.26145006416903405	0.9861989243380509	0.3623744300845084	positive	989
support_synergy_priority	silent_carrier_risk_norm	0.3617836556166992	0.46336724058272394	-0.5463994475411462	1.2699667587745447	0.3617836556166992	positive	989
support_synergy_priority	replicon_architecture_norm	0.34637362072255623	0.18758124577419233	-0.021278865170016925	0.7140261066151294	0.34637362072255623	positive	989
support_synergy_priority	H_evenness_T_synergy_norm	-0.3384041162016882	0.41652277022156603	-1.15477374457681	0.47796551217343375	0.3384041162016882	negative	989
support_synergy_priority	T_eff_norm	0.31991499398751144	0.4290560432975143	-0.5210193982248746	1.1608493861998976	0.31991499398751144	positive	989
support_synergy_priority	pmlst_presence_norm	0.3166121252614811	0.7542338666127695	-1.1616590892199343	1.7948833397428965	0.3166121252614811	positive	989
