model_name	model_track	roc_auc	average_precision	prediction_vs_knownness_spearman	ece	weighted_classification_cost	decision_utility_score	decision_utility_cost	optimal_decision_threshold	decision_utility_precision	decision_utility_recall	decision_utility_positive_rate	spatial_holdout_roc_auc	selection_adjusted_empirical_p_roc_auc	lower_half_knownness_n_backbones	lower_half_knownness_roc_auc	lowest_knownness_quartile_n_backbones	lowest_knownness_quartile_roc_auc	matched_knownness_weighted_roc_auc	source_holdout_weighted_roc_auc	source_holdout_macro_roc_auc	roc_auc_component_score	average_precision_component_score	lower_half_knownness_roc_auc_component_score	lowest_knownness_quartile_roc_auc_component_score	matched_knownness_weighted_roc_auc_component_score	source_holdout_macro_roc_auc_component_score	prediction_vs_knownness_spearman_component_score	decision_utility_score_component_score	selection_composite_score	selection_metric_count	selection_missing_metric_count	leakage_review_required	leakage_review_reason	knownness_matched_gap	source_holdout_gap	guardrail_loss	governance_priority_score	strict_knownness_acceptance_flag	spatial_holdout_gap	matched_knownness_gate_pass	source_holdout_gate_pass	spatial_holdout_gate_pass	calibration_gate_pass	selection_adjusted_gate_pass	leakage_review_gate_pass	scientific_acceptance_scored	scientific_acceptance_flag	scientific_acceptance_status	selection_metrics_complete	scientific_acceptance_failed_criteria	selection_rank	track_rank	discovery_track_rank	governance_track_rank	baseline_track_rank	governance_rank
discovery_12f_class_balanced	discovery	0.8130755064456722	0.731619429595719	0.555358910564066		0.16177957532861476	-0.16177957532861476	0.16177957532861476	0.23775170998357917	0.47531734837799716	0.930939226519337	0.7168857431749242	0.8078648956719916		631	0.7479642531675339	0			0.7758485778913846	0.7379596076175678	0.8604651162790697	0.813953488372093	0.8604651162790697			0.8285714285714285	0.37209302325581395	0.7093023255813953	0.6349786426198385	6	1	False			-0.03722692855428755	1.0372269285542877	-0.2241514221086155	False	-0.0052106107736805685	False	False	True	False	False	True	False	False	not_scored	False	missing:ece,matched_knownness_weighted_roc_auc,selection_adjusted_empirical_p_roc_auc		3				
knownness_robust_priority	governance	0.8046075761981548	0.7125105612796632	0.5870712342805192	0.1210806453874528	0.14964610717896865	-0.14964610717896865	0.14964610717896865	0.28134112627851504	0.48011363636363635	0.9337016574585635	0.7118301314459049	0.8016912750033927		631	0.7230796366522622	0		0.7403901199477892	0.7599875121110576	0.7291469143272626	0.7441860465116279	0.627906976744186	0.6627906976744187		0.782608695652174	0.5142857142857142	0.16279069767441856	0.8488372093023255	0.6204865768349807	7	0	False		-0.06421745625036557	-0.04462006408709718	0.10883752033746275	0.6957700558606921	False	-0.002916301194762161	False	False	True	False	False	True	False	False	not_scored	False	missing:selection_adjusted_empirical_p_roc_auc		12				
natural_auc_priority	governance	0.785235313295796	0.6929263102466791	0.5441345432961858		0.16177957532861476	-0.16177957532861476	0.16177957532861476	0.15	0.4567243675099867	0.9475138121546961	0.7593528816986855	0.7742510210696919		631	0.7086162800952465	0		0.71699037629456	0.7743792564125933	0.7390862545796211	0.5116279069767442	0.41860465116279066	0.5348837209302326		0.5652173913043479	0.8857142857142857	0.4883720930232558	0.7093023255813953	0.5876746249561503	7	0	False		-0.06824493700123602	-0.01085605688320268	0.0791009938844387	0.7061343194113573	False	-0.010984292226104087	False	False	True	False	False	True	False	False	not_scored	False	missing:ece,selection_adjusted_empirical_p_roc_auc		13				
discovery_9f_source	discovery	0.7920158256011702	0.7142931511386031	0.5057156824576021		0.19919110212335692	-0.19919110212335692	0.19919110212335692	0.15394208834848264	0.4546684709066306	0.9281767955801105	0.7472194135490394	0.7788558963143384		631	0.7246964752917658	0			0.7661434097574932	0.7310813964876983	0.5581395348837209	0.6744186046511628	0.6976744186046512			0.5714285714285714	0.6511627906976745	0.5348837209302326	0.5268153773137162	6	1	False			-0.025872415843677055	1.025872415843677	-0.2338565902425067	False	-0.01315992928683185	False	False	True	False	False	True	False	False	not_scored	False	missing:ece,matched_knownness_weighted_roc_auc,selection_adjusted_empirical_p_roc_auc		4				
graph_evidence_priority	governance	0.8046031704071832	0.7125143454469969	0.5870563323023391		0.14964610717896865	-0.14964610717896865	0.14964610717896865	0.28134207296825764	0.48011363636363635	0.9337016574585635	0.7118301314459049	0.8014166786077022		631	0.7230796366522622	0			0.7600165528173994	0.7291630498657862	0.7209302325581395	0.6511627906976745	0.6627906976744187			0.5428571428571429	0.18604651162790697	0.8488372093023255	0.5160892263882297	6	1	False			-0.04458661758978377	1.0445866175897838	-0.23998344718260056	False	-0.0031864917994810504	False	False	True	False	False	True	False	False	not_scored	False	missing:ece,matched_knownness_weighted_roc_auc,selection_adjusted_empirical_p_roc_auc		14				
phylogeny_aware_priority	governance	0.7774590922308282	0.6940601488806097	0.5041667996289657		0.19817997977755308	-0.19817997977755308	0.19817997977755308	0.15640340263613312	0.449468085106383	0.9337016574585635	0.7603640040444893	0.7631248244807503		631	0.7032660140517977	0		0.7072126286371643	0.7602409065872839	0.7236872112576922	0.41860465116279066	0.4418604651162791	0.5116279069767442		0.4782608695652174	0.4571428571428572	0.6744186046511628	0.5581395348837209	0.5057221270712532	7	0	False		-0.07024646359366393	-0.01721818564354427	0.0874646492372082	0.68999444299362	False	-0.014334267750077956	False	False	True	False	False	True	False	False	not_scored	False	missing:ece,selection_adjusted_empirical_p_roc_auc		15				
evidence_aware_priority	discovery	0.8037374324812534	0.7355244343144528	0.6505356626694777		0.20626895854398383	-0.20626895854398383	0.20626895854398383	0.16540035739822764	0.4822485207100592	0.9005524861878453	0.6835187057633973	0.8058953847872609		631	0.6993194579180998	0			0.7866929024386806	0.7357556125777519	0.6976744186046512	0.8372093023255813	0.4651162790697675			0.6857142857142857	0.06976744186046513	0.5116279069767442	0.46672994779307075	6	1	False			-0.01704453004257278	1.0170445300425728	-0.21330709756131938	False	0.00215795230600746	False	False	True	False	False	True	False	False	not_scored	False	missing:ece,matched_knownness_weighted_roc_auc,selection_adjusted_empirical_p_roc_auc		5				
contextual_bio_priority	governance	0.7909804647228317	0.698206474717105	0.550042515503523		0.16380182002022245	-0.16380182002022245	0.16380182002022245	0.15238982411154323	0.45263157894736844	0.9502762430939227	0.7684529828109201	0.7744922388135828		631	0.7027074697945145	0			0.7638762009523219	0.7332505681469197	0.5348837209302326	0.4883720930232558	0.4883720930232558			0.6285714285714286	0.41860465116279066	0.6511627906976745	0.4585666824869482	6	1	False			-0.027104263770509784	1.02710426377051	-0.23612379904767822	False	-0.01648822590924892	False	False	True	False	False	True	False	False	not_scored	False	missing:ece,matched_knownness_weighted_roc_auc,selection_adjusted_empirical_p_roc_auc		16				
label_noise_aware_priority	governance	0.8025544776053645	0.7117195659691536	0.5688198869469913		0.16683518705763398	-0.16683518705763398	0.16683518705763398	0.4560818157992113	0.481962481962482	0.9226519337016574	0.7007077856420627	0.7992098468268753		631	0.7206984742922656	0			0.7278668639286555	0.7140432036514126	0.6511627906976745	0.6046511627906976	0.627906976744186			0.37142857142857144	0.32558139534883723	0.6162790697674418	0.4567157095396298	6	1	False			-0.07468761367670895	1.074687613676709	-0.2721331360713445	False	-0.0033446307784891216	False	False	True	False	False	True	False	False	not_scored	False	missing:ece,matched_knownness_weighted_roc_auc,selection_adjusted_empirical_p_roc_auc		17				
enhanced_priority	governance	0.7962938486346454	0.7203377419387677	0.635134197569568		0.22143579373104147	-0.22143579373104147	0.22143579373104147	0.1577627402478226	0.41183431952662725	0.9613259668508287	0.8543983822042467	0.7956393559414586		631	0.6898168562777435	0			0.7343701112110707	0.7153706090003769	0.6046511627906976	0.7209302325581395	0.41860465116279066			0.4	0.09302325581395354	0.4883720930232558	0.38936877076411963	6	1	False			-0.06192373742357471	1.0619237374235748	-0.26562988878892946	False	-0.0006544926931867368	False	False	True	False	False	True	False	False	not_scored	False	missing:ece,matched_knownness_weighted_roc_auc,selection_adjusted_empirical_p_roc_auc		18				
