operational_risk_rank	backbone_id	model_name	portfolio_track	track_rank	candidate_confidence_tier	recommended_monitoring_tier	false_positive_risk_tier	operational_risk_score	risk_spread_probability	risk_spread_severity	risk_macro_region_jump_3y	risk_event_within_3y	risk_three_countries_within_5y	risk_uncertainty	risk_uncertainty_quantile	risk_component_std	risk_abstain_flag	risk_decision_tier	risk_route_context	knownness_score	knownness_half	source_band	member_count_band	country_count_band
37	AA783	parsimonious_priority						0.5823970276021724	0.5932051457706822	0.6169354838709677	0.8185483870967742	0.407258064516129	0.375	0.4636078735208979	0.698685540950455	0.1604510084962865	False	review	refseq_leaning|5_9|3_4	0.8277721604314122	upper_half	refseq_leaning	5_9	3_4
38	AC347	parsimonious_priority						0.5821450700662345	0.5923652873175559	0.6169354838709677	0.8185483870967742	0.407258064516129	0.375	0.5052521368302143	0.7937310414560161	0.1604188874677293	False	review	refseq_leaning|3_4|1	0.6223458038422649	upper_half	refseq_leaning	3_4	1
39	AC942	parsimonious_priority						0.5817982489308482	0.5912092168662683	0.6169354838709677	0.8185483870967742	0.407258064516129	0.375	0.5060226192733087	0.7987866531850354	0.1603758131646105	False	review	refseq_leaning|3_4|1	0.6223458038422649	upper_half	refseq_leaning	3_4	1
40	AA656	parsimonious_priority						0.581693103561251	0.5908587323009442	0.6169354838709677	0.8185483870967742	0.407258064516129	0.375	0.4651711692586744	0.7027300303336703	0.160363015506242	False	review	refseq_leaning|5_9|3_4	0.8277721604314122	upper_half	refseq_leaning	5_9	3_4
41	AF100	parsimonious_priority						0.731816276295854	0.6376098098750689	0.7986666666666666	0.908	0.692	0.636	0.4590516729250496	0.6855409504550051	0.1049912473123442	True	abstain	refseq_leaning|1|1	0.4455679137175599	lower_half	refseq_leaning	1	1
42	AC082	parsimonious_priority						0.7290984423565983	0.6285503634108831	0.7986666666666666	0.908	0.692	0.636	0.4726370641385768	0.7158746208291203	0.1067110133944578	True	abstain	refseq_leaning|3_4|1	0.4170879676440849	lower_half	refseq_leaning	3_4	1
43	AD311	parsimonious_priority						0.7279204981339029	0.6246238826685651	0.7986666666666666	0.908	0.692	0.636	0.4703869096298377	0.7108190091001011	0.1074857891570503	True	abstain	refseq_leaning|1|1	0.4455679137175599	lower_half	refseq_leaning	1	1
44	AE599	parsimonious_priority						0.7278690529492099	0.6244523987195882	0.7986666666666666	0.908	0.692	0.636	0.4705377580549417	0.7118301314459049	0.1075200221135172	True	abstain	refseq_leaning|1|1	0.4455679137175599	lower_half	refseq_leaning	1	1
45	AA435	parsimonious_priority	novel_signal	2.0	novelty_watchlist	low_confidence_backlog	high	0.7255683652813977	0.6167834398268811	0.7986666666666666	0.908	0.692	0.636	0.4773136793146659	0.7249747219413549	0.1090840777077718	True	abstain	refseq_leaning|1|1	0.4455679137175599	lower_half	refseq_leaning	1	1
46	AB976	parsimonious_priority						0.7233832813123452	0.6094998265967061	0.7986666666666666	0.908	0.692	0.636	0.4838015962868905	0.7320525783619818	0.1106278418312187	True	abstain	refseq_leaning|1|1	0.4455679137175599	lower_half	refseq_leaning	1	1
47	AA827	parsimonious_priority						0.7214189621272095	0.602952095979587	0.7986666666666666	0.908	0.692	0.636	0.5265144382847209	0.8816986855409504	0.1120621452761004	True	abstain	insd_leaning|1|1	0.2613751263902932	lower_half	insd_leaning	1	1
48	AA593	parsimonious_priority						0.7211074619542275	0.6019137620696471	0.7986666666666666	0.908	0.692	0.636	0.4906109560633295	0.7522750252780587	0.1122935247284382	True	abstain	refseq_leaning|1|1	0.4455679137175599	lower_half	refseq_leaning	1	1
49	AA040	parsimonious_priority						0.5841549758265723	0.5990649731853483	0.6169354838709677	0.8185483870967742	0.407258064516129	0.375	0.5361659763332063	0.9009100101112234	0.1606944892294023	True	abstain	refseq_leaning|1|1	0.4455679137175599	lower_half	refseq_leaning	1	1
50	AC888	parsimonious_priority						0.5829743878773567	0.5951296800212965	0.6169354838709677	0.8185483870967742	0.407258064516129	0.375	0.5444661472751038	0.9251769464105156	0.1605272409098093	True	abstain	refseq_leaning|3_4|1	0.4170879676440849	lower_half	refseq_leaning	3_4	1
