model_name	top_k	n_backbones	n_selected	n_positive_total	n_positive_selected	n_negative_selected	positive_prevalence	precision_at_k	recall_at_k	precision_lift_vs_prevalence	mean_prediction_at_k	min_prediction_at_k
host_transfer_synergy_priority	50	989	50	362	44	6	0.3660262891809909	0.88	0.12154696132596685	0.5139737108190091	0.932838505133845	0.9009809682361456
host_transfer_synergy_priority	100	989	100	362	86	14	0.3660262891809909	0.86	0.23756906077348067	0.4939737108190091	0.9022582156806284	0.8464807010654646
threat_architecture_priority	5	989	5	362	5	0	0.3660262891809909	1.0	0.013812154696132596	0.6339737108190091	0.9591445555286148	0.9534073624198264
threat_architecture_priority	10	989	10	362	10	0	0.3660262891809909	1.0	0.027624309392265192	0.6339737108190091	0.9535547928695248	0.9443093677580552
threat_architecture_priority	25	989	25	362	23	2	0.3660262891809909	0.92	0.06353591160220995	0.5539737108190091	0.9425183528709737	0.9263060664890008
threat_architecture_priority	50	989	50	362	45	5	0.3660262891809909	0.9	0.12430939226519337	0.5339737108190091	0.9251936001042246	0.8955934399127544
threat_architecture_priority	100	989	100	362	83	17	0.3660262891809909	0.83	0.2292817679558011	0.46397371081900907	0.8946847050710764	0.8401930061027674
natural_auc_priority	5	989	5	362	5	0	0.3660262891809909	1.0	0.013812154696132596	0.6339737108190091	0.9226642505543061	0.9103570283062244
natural_auc_priority	10	989	10	362	10	0	0.3660262891809909	1.0	0.027624309392265192	0.6339737108190091	0.9108494231608102	0.8889371345094247
natural_auc_priority	25	989	25	362	22	3	0.3660262891809909	0.88	0.06077348066298342	0.5139737108190091	0.8796765635728753	0.8313553629282255
natural_auc_priority	50	989	50	362	44	6	0.3660262891809909	0.88	0.12154696132596685	0.5139737108190091	0.8381413684986464	0.7702540791553177
natural_auc_priority	100	989	100	362	83	17	0.3660262891809909	0.83	0.2292817679558011	0.46397371081900907	0.7828224620901649	0.6800477695773162
baseline_both	5	989	5	362	5	0	0.3660262891809909	1.0	0.013812154696132596	0.6339737108190091	0.9867993795631241	0.9800615526081036
baseline_both	10	989	10	362	9	1	0.3660262891809909	0.9	0.024861878453038673	0.5339737108190091	0.97936653971709	0.9654394192510004
baseline_both	25	989	25	362	22	3	0.3660262891809909	0.88	0.06077348066298342	0.5139737108190091	0.9595897216193231	0.9325266268002824
baseline_both	50	989	50	362	41	9	0.3660262891809909	0.82	0.1132596685082873	0.45397371081900906	0.9285032635418956	0.853741054210776
baseline_both	100	989	100	362	81	19	0.3660262891809909	0.81	0.22375690607734808	0.44397371081900916	0.8556063105499377	0.711624565994525
evidence_aware_priority	5	989	5	362	5	0	0.3660262891809909	1.0	0.013812154696132596	0.6339737108190091	0.9731678477813777	0.9675635010676078
evidence_aware_priority	10	989	10	362	10	0	0.3660262891809909	1.0	0.027624309392265192	0.6339737108190091	0.9677883607768779	0.9599198090698206
evidence_aware_priority	25	989	25	362	23	2	0.3660262891809909	0.92	0.06353591160220995	0.5539737108190091	0.958406199164622	0.9399007921510572
evidence_aware_priority	50	989	50	362	48	2	0.3660262891809909	0.96	0.13259668508287292	0.5939737108190091	0.9340101888035978	0.8881122859903845
evidence_aware_priority	100	989	100	362	87	13	0.3660262891809909	0.87	0.24033149171270718	0.5039737108190091	0.8861176352887165	0.7865492905105033
