backbone_id	mean_jump_distance_km	max_jump_distance_km	jump_distance_dispersion_km	interregional_leap_count	long_jump_label
AA974	0.0	0.0	0.0	6	
AC120	0.0	0.0	0.0	4	1.0
AA282	0.0	0.0	0.0	6	1.0
AD092	0.0	0.0	0.0	1	1.0
AA147	0.0	0.0	0.0	7	
AD158	0.0	0.0	0.0	5	1.0
AA552	0.0	0.0	0.0	3	
AE235	0.0	0.0	0.0	3	
AC511	0.0	0.0	0.0	5	
AA735	0.0	0.0	0.0	5	
AA942	0.0	0.0	0.0	3	
AA998	0.0	0.0	0.0	4	1.0
AE334	0.0	0.0	0.0	3	1.0
AB728	0.0	0.0	0.0	2	
AB633	0.0	0.0	0.0	5	
AD080	0.0	0.0	0.0	2	
AD279	0.0	0.0	0.0	3	1.0
AC596	0.0	0.0	0.0	2	
AB337	0.0	0.0	0.0	3	1.0
AD350	0.0	0.0	0.0	2	1.0
AA423	0.0	0.0	0.0	3	
AG445	0.0	0.0	0.0	2	1.0
AD280	0.0	0.0	0.0	3	1.0
AB542	0.0	0.0	0.0	5	
AA766	0.0	0.0	0.0	4	
AA839	0.0	0.0	0.0	2	
AG098	0.0	0.0	0.0	0	
AG009	0.0	0.0	0.0	1	
AB155	0.0	0.0	0.0	2	
AE252	0.0	0.0	0.0	2	1.0
AC612	0.0	0.0	0.0	1	
AC686	0.0	0.0	0.0	2	1.0
AB408	0.0	0.0	0.0	3	
AC847	0.0	0.0	0.0	3	
AD552	0.0	0.0	0.0	1	
AB093	0.0	0.0	0.0	1	
AD553	0.0	0.0	0.0	1	
AC784	0.0	0.0	0.0	1	
AA957	0.0	0.0	0.0	1	
AD877	0.0	0.0	0.0	1	
AC783	0.0	0.0	0.0	1	
AC828	0.0	0.0	0.0	4	
AC381	0.0	0.0	0.0	3	
AD486	0.0	0.0	0.0	4	
AA800	0.0	0.0	0.0	0	
AA409	0.0	0.0	0.0	2	1.0
AG084	0.0	0.0	0.0	1	
AF742	0.0	0.0	0.0	3	
AC410	0.0	0.0	0.0	2	1.0
AF741	0.0	0.0	0.0	2	
AA896	0.0	0.0	0.0	3	
AF513	0.0	0.0	0.0	0	
AB604	0.0	0.0	0.0	2	
AC321	0.0	0.0	0.0	6	
AC108	0.0	0.0	0.0	3	
AC054	0.0	0.0	0.0	1	
AC053	0.0	0.0	0.0	0	
AC056	0.0	0.0	0.0	2	1.0
AF103	0.0	0.0	0.0	2	
AB319	0.0	0.0	0.0	2	1.0
AE388	0.0	0.0	0.0	4	
AE665	0.0	0.0	0.0	2	
AG753	0.0	0.0	0.0	2	
AA361	0.0	0.0	0.0	1	
AA746	0.0	0.0	0.0	3	
AD513	0.0	0.0	0.0	1	
AH421	0.0	0.0	0.0	1	
AE305	0.0	0.0	0.0	1	
AF316	0.0	0.0	0.0	1	
AF436	0.0	0.0	0.0	0	
AE075	0.0	0.0	0.0	2	1.0
AB859	0.0	0.0	0.0	1	1.0
AF428	0.0	0.0	0.0	4	1.0
AE246	0.0	0.0	0.0	3	
AB360	0.0	0.0	0.0	1	
AC073	0.0	0.0	0.0	3	
AD838	0.0	0.0	0.0	2	1.0
AA036	0.0	0.0	0.0	4	
AG696	0.0	0.0	0.0	1	
AF599	0.0	0.0	0.0	1	
AE413	0.0	0.0	0.0	1	
AC707	0.0	0.0	0.0	3	
AC529	0.0	0.0	0.0	4	
AB192	0.0	0.0	0.0	3	1.0
AE911	0.0	0.0	0.0	0	
AF218	0.0	0.0	0.0	4	
AA590	0.0	0.0	0.0	2	
AB235	0.0	0.0	0.0	5	
AB038	0.0	0.0	0.0	5	
AB167	0.0	0.0	0.0	4	
AC579	0.0	0.0	0.0	3	
AB131	0.0	0.0	0.0	3	1.0
AA786	0.0	0.0	0.0	2	
AF085	0.0	0.0	0.0	3	1.0
AE112	0.0	0.0	0.0	2	
AC333	0.0	0.0	0.0	3	1.0
