backbone_id	priority_group	priority_index	selection_score	selection_score_column	dominant_species	dominant_genus	amr_class_count	who_mia_mapped_class_count	who_mia_unmapped_class_count	who_mia_mapped_fraction	who_mia_top_categories	who_mia_top_classes	who_mia_scope_labels	who_mia_any_hpecia	who_mia_any_cia	who_mia_any_hia	who_mia_any_ia	who_mia_any_support
AA144	high	0.3448350964738902	0.8152797776797946	primary_model_oof_prediction	Escherichia_coli	Escherichia	7	4	3	0.5714285714285714	HIA,CIA,IA	Lincosamides,Oxazolidinones,Amphenicols,Pleuromutilins	both_humans_and_animals,humans_only	False	True	True	True	True
AC969	high	0.443774607343004	0.5089288141015689	primary_model_oof_prediction	Acinetobacter_baumannii	Acinetobacter	14	8	6	0.5714285714285714	HIA,CIA,HPCIA	Sulfonamides, dihydrofolate reductase inhibitors and combinations,Aminoglycosides,Carbapenems with or without inhibitors,Macrolides,Amphenicols	both_humans_and_animals,humans_only	True	True	True	False	True
AA297	high	0.5249294096197593	0.5489361225784661	primary_model_oof_prediction	Escherichia_coli	Escherichia	16	9	7	0.5625	HIA,CIA,HPCIA	Sulfonamides, dihydrofolate reductase inhibitors and combinations,Aminoglycosides,Quinolones,Macrolides,Monobactams	both_humans_and_animals,humans_only	True	True	True	False	True
AA018	high	0.6624944511961165	0.5534732072634417	primary_model_oof_prediction	Klebsiella_pneumoniae	Klebsiella	25	14	11	0.56	HPCIA,HIA,CIA	Sulfonamides, dihydrofolate reductase inhibitors and combinations,Quinolones,Aminoglycosides,Carbapenems with or without inhibitors,Polymyxins	both_humans_and_animals,humans_only	True	True	True	False	True
AC120	high	0.9571135395142208	0.7884992230481561	primary_model_oof_prediction	Salmonella_enterica	Salmonella	20	11	9	0.55	HIA,CIA,HPCIA	Sulfonamides, dihydrofolate reductase inhibitors and combinations,Aminoglycosides,Quinolones,Glycylcyclines,Lincosamides	both_humans_and_animals,humans_only	True	True	True	False	True
AA551	high	0.9509158955387952	0.790696657699473	primary_model_oof_prediction	Escherichia_coli	Escherichia	31	17	14	0.5483870967741935	HIA,CIA,HPCIA,IA	Sulfonamides, dihydrofolate reductase inhibitors and combinations,Quinolones,Aminoglycosides,Polymyxins,Phosphonic acid derivatives	both_humans_and_animals,humans_only	True	True	True	True	True
AB192	high	0.3160478878843061	0.7819008859642871	primary_model_oof_prediction	Klebsiella_pneumoniae	Klebsiella	31	17	14	0.5483870967741935	HIA,CIA,HPCIA,IA	Sulfonamides, dihydrofolate reductase inhibitors and combinations,Quinolones,Aminoglycosides,Polymyxins,Phosphonic acid derivatives	both_humans_and_animals,humans_only	True	True	True	True	True
AB110	high	0.3283686330403946	0.7093135764257013	primary_model_oof_prediction	Staphylococcus_aureus	Staphylococcus	11	6	5	0.5454545454545454	HIA,HPCIA,CIA	Sulfonamides, dihydrofolate reductase inhibitors and combinations,Aminoglycosides,Phosphonic acid derivatives,Glycopeptides and lipoglycopeptides,Amphenicols	both_humans_and_animals,humans_only	True	True	True	False	True
AD910	high	0.3338758897227864	0.5020065523166585	primary_model_oof_prediction	Enterococcus_faecium	Enterococcus	11	6	5	0.5454545454545454	HIA,CIA,HPCIA	Aminoglycosides,Glycopeptides and lipoglycopeptides,Lincosamides,Macrolides,Amphenicols	both_humans_and_animals,humans_only	True	True	True	False	True
AA323	high	0.6488616540510477	0.93916184524964	primary_model_oof_prediction	Escherichia_coli	Escherichia	26	14	12	0.5384615384615384	HPCIA,HIA,CIA	Quinolones,Sulfonamides, dihydrofolate reductase inhibitors and combinations,Aminoglycosides,Polymyxins,Phosphonic acid derivatives	both_humans_and_animals,humans_only	True	True	True	False	True
AF043	high	0.5392739250065172	0.4275958436922553	primary_model_oof_prediction	Vagococcus_fluvialis	Staphylococcus	13	7	6	0.5384615384615384	CIA,HIA,IA	Aminoglycosides,Lincosamides,Macrolides,Oxazolidinones,Amphenicols	both_humans_and_animals,humans_only	False	True	True	True	True
AA176	high	0.8957957064445813	0.7575837380937855	primary_model_oof_prediction	Escherichia_coli	Escherichia	28	15	13	0.5357142857142857	CIA,HIA,HPCIA,IA	Sulfonamides, dihydrofolate reductase inhibitors and combinations,Quinolones,Aminoglycosides,Phosphonic acid derivatives,Glycopeptides and lipoglycopeptides	both_humans_and_animals,humans_only	True	True	True	True	True
AA336	high	0.8832302278562453	0.7846600133625448	primary_model_oof_prediction	Escherichia_coli	Escherichia	30	16	14	0.5333333333333333	HPCIA,HIA,CIA	Sulfonamides, dihydrofolate reductase inhibitors and combinations,Quinolones,Aminoglycosides,Carbapenems with or without inhibitors,Polymyxins	both_humans_and_animals,humans_only	True	True	True	False	True
AA175	high	0.6558994019717131	0.9349773761766098	primary_model_oof_prediction	Escherichia_coli	Escherichia	32	17	15	0.53125	HIA,CIA,HPCIA,IA	Sulfonamides, dihydrofolate reductase inhibitors and combinations,Quinolones,Aminoglycosides,Polymyxins,Phosphonic acid derivatives	both_humans_and_animals,humans_only	True	True	True	True	True
AA919	high	0.8598889042092671	0.7217918277629224	primary_model_oof_prediction	uncultured_bacterium	Pseudomonas	19	10	9	0.5263157894736842	HPCIA,HIA,CIA	Phosphonic acid derivatives,Sulfonamides, dihydrofolate reductase inhibitors and combinations,Aminoglycosides,Carbapenems with or without inhibitors,Quinolones	both_humans_and_animals,humans_only	True	True	True	False	True
AA046	high	0.8959840770092916	0.6240817028423854	primary_model_oof_prediction	Klebsiella_pneumoniae	Enterobacter	19	10	9	0.5263157894736842	HIA,CIA,HPCIA	Sulfonamides, dihydrofolate reductase inhibitors and combinations,Aminoglycosides,Carbapenems with or without inhibitors,Quinolones,Glycopeptides and lipoglycopeptides	both_humans_and_animals,humans_only	True	True	True	False	True
AA553	high	0.4620999675484565	0.8845414993747885	primary_model_oof_prediction	Klebsiella_pneumoniae	Klebsiella	29	15	14	0.5172413793103449	HIA,HPCIA,CIA	Sulfonamides, dihydrofolate reductase inhibitors and combinations,Quinolones,Aminoglycosides,Carbapenems with or without inhibitors,Polymyxins	both_humans_and_animals,humans_only	True	True	True	False	True
AA324	high	0.6842506124888571	0.9500590025110696	primary_model_oof_prediction	Escherichia_coli	Escherichia	28	14	14	0.5	HIA,CIA,HPCIA	Sulfonamides, dihydrofolate reductase inhibitors and combinations,Quinolones,Aminoglycosides,Phosphonic acid derivatives,Glycopeptides and lipoglycopeptides	both_humans_and_animals,humans_only	True	True	True	False	True
AB559	high	0.5723896391572967	0.9002230310998233	primary_model_oof_prediction	Staphylococcus_haemolyticus	Staphylococcus	4	2	2	0.5	HIA,IA	Lincosamides,Pleuromutilins	both_humans_and_animals	False	False	True	True	True
AA184	high	0.3475533941750806	0.8683840962722172	primary_model_oof_prediction	Escherichia_coli	Escherichia	2	1	1	0.5	CIA	Aminoglycosides	both_humans_and_animals	False	True	False	False	True
AA304	high	0.3414608712789251	0.8643958241548264	primary_model_oof_prediction	Escherichia_coli	Escherichia	10	5	5	0.5	HIA,CIA,HPCIA	Sulfonamides, dihydrofolate reductase inhibitors and combinations,Aminoglycosides,Quinolones,Tetracyclines	both_humans_and_animals	True	True	True	False	True
AA764	high	0.4194975857007573	0.8601923942033463	primary_model_oof_prediction	Staphylococcus_epidermidis	Staphylococcus	8	4	4	0.5	HIA,CIA	Sulfonamides, dihydrofolate reductase inhibitors and combinations,Aminoglycosides,Tetracyclines	both_humans_and_animals	False	True	True	False	True
AB561	high	0.4943671337318933	0.8424514788471326	primary_model_oof_prediction	Staphylococcus_epidermidis	Staphylococcus	4	2	2	0.5	HIA,IA	Lincosamides,Pleuromutilins	both_humans_and_animals	False	False	True	True	True
AE249	high	0.918197014231239	0.7803440535644768	primary_model_oof_prediction	Acinetobacter_lwoffii	Acinetobacter	18	9	9	0.5	HIA,CIA,HPCIA	Sulfonamides, dihydrofolate reductase inhibitors and combinations,Aminoglycosides,Carbapenems with or without inhibitors,Quinolones,Macrolides	both_humans_and_animals,humans_only	True	True	True	False	True
AB071	high	0.1735523028011756	0.7401059747609138	primary_model_oof_prediction	Klebsiella_pneumoniae	Klebsiella	2	1	1	0.5	CIA	Aminoglycosides	both_humans_and_animals	False	True	False	False	True
AB923	high	0.6962015727977032	0.7231004814800673	primary_model_oof_prediction	Staphylococcus_epidermidis	Staphylococcus	10	5	5	0.5	HIA,HPCIA,CIA	Sulfonamides, dihydrofolate reductase inhibitors and combinations,Aminoglycosides,Quinolones,Phosphonic acid derivatives	both_humans_and_animals	True	True	True	False	True
AA452	high	0.6109056643946803	0.7009029705191125	primary_model_oof_prediction	Klebsiella_pneumoniae	Klebsiella	20	10	10	0.5	HIA,CIA,HPCIA	Quinolones,Sulfonamides, dihydrofolate reductase inhibitors and combinations,Aminoglycosides,Glycopeptides and lipoglycopeptides,Monobactams	both_humans_and_animals,humans_only	True	True	True	False	True
AB187	high	0.3040892468087181	0.696887915006869	primary_model_oof_prediction	Klebsiella_pneumoniae	Klebsiella	28	14	14	0.5	HPCIA,HIA,CIA	Sulfonamides, dihydrofolate reductase inhibitors and combinations,Quinolones,Aminoglycosides,Carbapenems with or without inhibitors,Glycopeptides and lipoglycopeptides	both_humans_and_animals,humans_only	True	True	True	False	True
AA525	high	0.6874563781409709	0.6856820035665064	primary_model_oof_prediction	Escherichia_coli	Escherichia	2	1	1	0.5	CIA	Aminoglycosides	both_humans_and_animals	False	True	False	False	True
AA162	high	0.6375248922699143	0.6640180247275513	primary_model_oof_prediction	Salmonella_enterica	Salmonella	2	1	1	0.5	CIA	Aminoglycosides	both_humans_and_animals	False	True	False	False	True
AA457	high	0.6060759339736569	0.6265186408807107	primary_model_oof_prediction	Klebsiella_pneumoniae	Klebsiella	16	8	8	0.5	HIA,CIA,HPCIA	Sulfonamides, dihydrofolate reductase inhibitors and combinations,Aminoglycosides,Macrolides,Amphenicols,Quinolones	both_humans_and_animals	True	True	True	False	True
AA040	high	0.5467794418795734	0.5806463841828278	primary_model_oof_prediction	Klebsiella_pneumoniae	Klebsiella	8	4	4	0.5	HIA,CIA	Sulfonamides, dihydrofolate reductase inhibitors and combinations,Aminoglycosides,Amphenicols	both_humans_and_animals	False	True	True	False	True
AE599	high	0.4875696869258859	0.5732174445702735	primary_model_oof_prediction	Pseudomonas_putida	Pseudomonas	4	2	2	0.5	CIA,HIA	Aminoglycosides,Sulfonamides, dihydrofolate reductase inhibitors and combinations	both_humans_and_animals	False	True	True	False	True
AD485	high	0.4826154989554727	0.5642527123413308	primary_model_oof_prediction	Klebsiella_pneumoniae	Klebsiella	4	2	2	0.5	CIA,HIA	Aminoglycosides,Sulfonamides, dihydrofolate reductase inhibitors and combinations	both_humans_and_animals	False	True	True	False	True
AC320	high	0.655538635269116	0.5614371233022454	primary_model_oof_prediction	Campylobacter_jejuni	Campylobacter	6	3	3	0.5	HIA,CIA	Aminoglycosides,Amphenicols,Tetracyclines	both_humans_and_animals	False	True	True	False	True
AB979	high	0.3448879433594683	0.552817492136053	primary_model_oof_prediction	Bacillus_thuringiensis	Bacillus	2	1	1	0.5	CIA	Macrolides	both_humans_and_animals	False	True	False	False	True
AA050	high	0.0855350322302645	0.5480498687699548	primary_model_oof_prediction	Klebsiella_pneumoniae	Klebsiella	14	7	7	0.5	HPCIA,HIA,CIA	Sulfonamides, dihydrofolate reductase inhibitors and combinations,Aminoglycosides,Polymyxins,Quinolones,Amphenicols	both_humans_and_animals	True	True	True	False	True
