model_name	outcome_name	status	roc_auc	average_precision	positive_prevalence	precision_at_top_25	recall_at_top_25	n_backbones	n_positive
bio_clean_priority	three_countries_within_3y_label	ok	0.7676827380449773	0.21640122886848884	0.0788675429726997	0.16	0.05128205128205128	989	78
bio_clean_priority	three_countries_within_5y_label	ok	0.7880873210083247	0.5391194295500478	0.22548028311425683	0.76	0.08520179372197309	989	223
bio_clean_priority	long_jump_label	ok	0.7300887617181794	0.8138270917055248	0.6097067745197169	0.96	0.03980099502487562	989	603
natural_auc_priority	macro_region_jump_label	ok	0.7478260682769228	0.82336185512164	0.6097067745197169	1.0	0.04145936981757877	989	603
natural_auc_priority	host_family_jump_label	ok	0.6593505861798544	0.42513231174768457	0.2901921132457027	0.36	0.0313588850174216	989	287
natural_auc_priority	host_order_jump_label	ok	0.6393107579548257	0.3205162942804664	0.224469160768453	0.24	0.02702702702702703	989	222
natural_auc_priority	event_within_1y_label	ok	0.7790044875044594	0.3528819132751939	0.1243680485338726	0.56	0.11382113821138211	989	123
natural_auc_priority	event_within_3y_label	ok	0.7680051942862851	0.593962668802691	0.2871587462082912	0.92	0.08098591549295775	989	284
natural_auc_priority	event_within_5y_label	ok	0.7596635559921414	0.7435028181482928	0.48533872598584427	0.92	0.04791666666666667	989	480
natural_auc_priority	three_countries_within_3y_label	ok	0.8213290551380562	0.3208617182250079	0.0788675429726997	0.52	0.16666666666666666	989	78
natural_auc_priority	three_countries_within_5y_label	ok	0.8097038953740238	0.5812988221818041	0.22548028311425683	0.8	0.08968609865470852	989	223
natural_auc_priority	long_jump_label	ok	0.7478260682769228	0.82336185512164	0.6097067745197169	1.0	0.04145936981757877	989	603
knownness_robust_priority	macro_region_jump_label	ok	0.7633421837273048	0.8356514385343887	0.6097067745197169	0.96	0.03980099502487562	989	603
knownness_robust_priority	host_family_jump_label	ok	0.6408444762103299	0.42364195077118805	0.2901921132457027	0.52	0.04529616724738676	989	287
knownness_robust_priority	host_order_jump_label	ok	0.617346159719041	0.31368354058170667	0.224469160768453	0.36	0.04054054054054054	989	222
knownness_robust_priority	event_within_1y_label	ok	0.7800559529844721	0.35897219584900575	0.1243680485338726	0.56	0.11382113821138211	989	123
knownness_robust_priority	event_within_3y_label	ok	0.7651882928778344	0.5868657762207958	0.2871587462082912	0.88	0.07746478873239436	989	284
knownness_robust_priority	event_within_5y_label	ok	0.7662389489194499	0.7503608837872942	0.48533872598584427	0.92	0.04791666666666667	989	480
knownness_robust_priority	three_countries_within_3y_label	ok	0.8327844859129162	0.33150395264781474	0.0788675429726997	0.52	0.16666666666666666	989	78
knownness_robust_priority	three_countries_within_5y_label	ok	0.8328045053799951	0.5995852731468763	0.22548028311425683	0.84	0.09417040358744394	989	223
knownness_robust_priority	long_jump_label	ok	0.7633421837273048	0.8356514385343887	0.6097067745197169	0.96	0.03980099502487562	989	603
support_calibrated_priority	macro_region_jump_label	ok	0.765997301918731	0.8397568213508265	0.6097067745197169	0.96	0.03980099502487562	989	603
support_calibrated_priority	host_family_jump_label	ok	0.6464084695792013	0.4244866460761309	0.2901921132457027	0.52	0.04529616724738676	989	287
support_calibrated_priority	host_order_jump_label	ok	0.6249045655825317	0.3140760898336865	0.224469160768453	0.36	0.04054054054054054	989	222
support_calibrated_priority	event_within_1y_label	ok	0.7846655025441709	0.3642726033454515	0.1243680485338726	0.48	0.0975609756097561	989	123
support_calibrated_priority	event_within_3y_label	ok	0.7710368594546	0.598037458639889	0.2871587462082912	0.84	0.07394366197183098	989	284
support_calibrated_priority	event_within_5y_label	ok	0.7723948100851342	0.7586434646014443	0.48533872598584427	0.92	0.04791666666666667	989	480
support_calibrated_priority	three_countries_within_3y_label	ok	0.83586647527372	0.3444055960135397	0.0788675429726997	0.44	0.14102564102564102	989	78
support_calibrated_priority	three_countries_within_5y_label	ok	0.8364516620028334	0.617967944648703	0.22548028311425683	0.84	0.09417040358744394	989	223
support_calibrated_priority	long_jump_label	ok	0.765997301918731	0.8397568213508265	0.6097067745197169	0.96	0.03980099502487562	989	603
