backbone_id	spread_label	visibility_expansion_label	dominant_genus	primary_replicon	dominant_mpf_type	amr_class_tokens	dominant_amr_gene_family
AA046	1	1	Klebsiella	IncFIB	MPF_F	AMINOGLYCOSIDE,BETA-LACTAM,BLEOMYCIN,CARBAPENEM,CEPHALOSPORIN,CEPHAMYCIN,GLYCOPEPTIDE,MACROLIDE,PENAM,PHENICOL,SULFONAMIDE,TETRACYCLINE	BRPMBL
AC305	1	1	Escherichia	IncX1	MPF_T	AMINOGLYCOSIDE,BETA-LACTAM,CARBAPENEM,CEPHALOSPORIN,COLISTIN,DIAMINOPYRIMIDINE,FLUOROQUINOLONE,FOSFOMYCIN,GLYCYLCYCLINE,LINCOSAMIDE,LINCOSAMIDE/MACROLIDE,MACROLIDE,MONOBACTAM,OXAZOLIDINONE,PENAM,PENEM,PHENICOL,PHENICOL/LINCOSAMIDE/OXAZOLIDINONE/PLEUROMUTILIN/STREPTOGRAMIN,PLEUROMUTILIN,QUINOLONE,RIFAMYCIN,STREPTOGRAMIN,STREPTOGRAMIN A,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	TETA
AC509	1	1	Escherichia	rep_cluster_2350		BETA-LACTAM,COLISTIN	MCR
AA319	1	1	Escherichia	IncFIA	MPF_F	AMINOGLYCOSIDE,BETA-LACTAM,BLEOMYCIN,CEPHALOSPORIN,DIAMINOPYRIMIDINE,LINCOSAMIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,MACROLIDE,MONOBACTAM,PENAM,PENEM,PHENICOL,QUINOLONE,STREPTOGRAMIN,STREPTOGRAMIN A,STREPTOGRAMIN B,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	APH
AA436	1	1	Klebsiella	IncFIB	MPF_F	AMINOGLYCOSIDE,BETA-LACTAM,CARBAPENEM,CEPHALOSPORIN,MACROLIDE,MACROLIDE/STREPTOGRAMIN,MONOBACTAM,PENAM,STREPTOGRAMIN,SULFONAMIDE,TRIMETHOPRIM	BLAKPC
AA323	1	1	Escherichia	IncFIA	MPF_F	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,BLEOMYCIN,CEPHALOSPORIN,COLISTIN,FLUOROQUINOLONE,FOSFOMYCIN,GLYCOPEPTIDE,LINCOSAMIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,MACROLIDE,MONOBACTAM,PENAM,PENEM,PEPTIDE,PHENICOL,QUINOLONE,RIFAMYCIN,STREPTOGRAMIN,STREPTOGRAMIN A,STREPTOGRAMIN B,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	MPHA
AA175	1	1	Escherichia	IncFIB	MPF_F	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,BLEOMYCIN,CEPHALOSPORIN,COLISTIN,DIAMINOPYRIMIDINE,FLUOROQUINOLONE,FOSFOMYCIN,GLYCOPEPTIDE,GLYCYLCYCLINE,LINCOSAMIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,MACROLIDE,MONOBACTAM,NITROFURAN,PENAM,PENEM,PHENICOL,PHENICOL/QUINOLONE,QUINOLONE,RIFAMYCIN,STREPTOGRAMIN,STREPTOGRAMIN A,STREPTOGRAMIN B,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	APH
AG641	0	0	Neisseria				
AB947	1	1	Neisseria	IncP		BETA-LACTAM,CEPHALOSPORIN,MONOBACTAM,PENAM,PENEM	TEM
AC601	1	1	Acinetobacter	rep_cluster_1261			
AE947	0	0	Streptococcus	rep_cluster_321			
AA089	0	0	Staphylococcus	rep_cluster_1281		LINCOSAMIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,MACROLIDE,STREPTOGRAMIN,STREPTOGRAMIN A,STREPTOGRAMIN B	ERMC
AB434	1	1	Proteus	Col3M		FLUOROQUINOLONE,QUINOLONE	QNRD
AD067	0	0	Enterobacter	rep_cluster_203		AMINOGLYCOSIDE,BETA-LACTAM	AAC
AF667	0	0	Clostridium	rep_cluster_958			
AF098	0	0	Vibrio			TETRACYCLINE	TETB
AC594	0	0	Lactococcus	rep_cluster_800			
AF437	0	0	Methylibium	rep_cluster_733			
AD560	0	0	Aeromonas	rep_cluster_1069			
AB951	1	1	Escherichia	rep_cluster_2350		AMINOGLYCOSIDE,BETA-LACTAM,BLEOMYCIN,CEPHALOSPORIN,FLUOROQUINOLONE,LINCOSAMIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,MACROLIDE,MONOBACTAM,OXAZOLIDINONE,PENAM,PENEM,PEPTIDE,PHENICOL,PLEUROMUTILIN,RIFAMYCIN,STREPTOGRAMIN,STREPTOGRAMIN A,STREPTOGRAMIN B	BLATEM
AC670	1	1	Staphylococcus	rep_cluster_1018		AMINOGLYCOSIDE,BLEOMYCIN,LINCOSAMIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,MACROLIDE,STREPTOGRAMIN,STREPTOGRAMIN A,STREPTOGRAMIN B,TETRACYCLINE,TRIMETHOPRIM	TETL
AB443	1	1	Salmonella	rep_cluster_2350			
AC409	0	0	Yersinia			AMINOGLYCOSIDE,FLUOROQUINOLONE,FOSFOMYCIN,PHOSPHONIC ACID,SULFONAMIDE	APH
AA551	1	1	Escherichia	IncN	MPF_T	AMINOGLYCOSIDE,BETA-LACTAM,BLEOMYCIN,CEPHALOSPORIN,COLISTIN,DIAMINOPYRIMIDINE,FLUOROQUINOLONE,FOSFOMYCIN,GLYCOPEPTIDE,LINCOSAMIDE,MACROLIDE,MACROLIDE/STREPTOGRAMIN,MONOBACTAM,OXAZOLIDINONE,PENAM,PENEM,PHENICOL,PHENICOL/LINCOSAMIDE/OXAZOLIDINONE/PLEUROMUTILIN/STREPTOGRAMIN,PHENICOL/QUINOLONE,PLEUROMUTILIN,QUINOLONE,RIFAMYCIN,STREPTOGRAMIN,STREPTOGRAMIN A,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	APH
AE604	1	1	Lactiplantibacillus	Inc13			
AB229	1	1	Escherichia	IncX1	MPF_T	AMINOGLYCOSIDE,BETA-LACTAM,BLEOMYCIN,PHENICOL,PHENICOL/QUINOLONE,SULFONAMIDE,TETRACYCLINE	BLATEM
AE622	0	0	Bacillus	Inc13			
AC628	1	1	Staphylococcus	Inc11		BETA-LACTAM,CEPHALOSPORIN,LINCOSAMIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,MACROLIDE,MONOBACTAM,PENAM,PENEM,PHENICOL,STREPTOGRAMIN,STREPTOGRAMIN A,STREPTOGRAMIN B	ERMC
AC247	1	1	Salmonella	rep_cluster_2327	MPF_T	AMINOGLYCOSIDE,BETA-LACTAM,FLUOROQUINOLONE,MACROLIDE,PENAM,PHENICOL,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	TETA
AH395	0	0		rep_cluster_362			
AH363	0	0		rep_cluster_212			
AA331	1	1	Escherichia	IncFIA	MPF_F		LTCA
AA183	1	1	Escherichia	IncFIB	MPF_F	AMINOGLYCOSIDE,BETA-LACTAM,DIAMINOPYRIMIDINE,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	LNGA
AA282	1	1	Escherichia	IncK2/Z	MPF_I	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,CEPHALOSPORIN,CEPHAMYCIN,DIAMINOPYRIMIDINE,FLUOROQUINOLONE,FOSFOMYCIN,LINCOSAMIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,MACROLIDE,MACROLIDE/STREPTOGRAMIN,MONOBACTAM,NUCLEOSIDE,PENAM,PENEM,PHENICOL,PHOSPHONIC ACID,QUINOLONE,STREPTOGRAMIN,STREPTOGRAMIN A,STREPTOGRAMIN B,STREPTOTHRICIN,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	SUL
AA827	1	1	Klebsiella	IncFIA	MPF_F	AMINOGLYCOSIDE,LINCOSAMIDE,PLEUROMUTILIN,STREPTOGRAMIN,STREPTOGRAMIN A,SULFONAMIDE	SILR
AE548	1	1	Burkholderia	rep_cluster_1100	MPF_T	FLUOROQUINOLONE,TETRACYCLINE	ADEF
AG800	0	0	Burkholderia		MPF_T	FLUOROQUINOLONE,TETRACYCLINE	ADEF
AC237	0	0	Acinetobacter	rep_cluster_1254		AMINOGLYCOSIDE,BETA-LACTAM,BLEOMYCIN,CEPHALOSPORIN,CEPHAMYCIN,LINCOSAMIDE,MACROLIDE,MACROLIDE/STREPTOGRAMIN,PHENICOL,RIFAMYCIN,STREPTOGRAMIN,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	MPHE
AA998	1	1	Salmonella	IncHI1A	MPF_F	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,BLEOMYCIN,CARBAPENEM,CEPHALOSPORIN,CEPHAMYCIN,COLISTIN,DIAMINOPYRIMIDINE,FLUOROQUINOLONE,FOSFOMYCIN,GLYCYLCYCLINE,LINCOSAMIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,MACROLIDE,MACROLIDE/STREPTOGRAMIN,MONOBACTAM,PENAM,PENEM,PEPTIDE,PHENICOL,PHENICOL/QUINOLONE,PHOSPHONIC ACID,QUINOLONE,RIFAMYCIN,STREPTOGRAMIN,STREPTOGRAMIN A,STREPTOGRAMIN B,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	AADA
AC978	1	1	Escherichia	IncP	MPF_T	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,BLEOMYCIN,CEPHALOSPORIN,COLISTIN,DIAMINOPYRIMIDINE,FLUOROQUINOLONE,FOSFOMYCIN,LINCOSAMIDE,MACROLIDE,MONOBACTAM,OXAZOLIDINONE,PENAM,PENEM,PEPTIDE,PHENICOL,PHENICOL/LINCOSAMIDE/OXAZOLIDINONE/PLEUROMUTILIN/STREPTOGRAMIN,PLEUROMUTILIN,RIFAMYCIN,STREPTOGRAMIN,STREPTOGRAMIN A,SULFONAMIDE,TRIMETHOPRIM	MCR
AC212	1	1	Raoultella	IncU	MPF_F	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,BLEOMYCIN,CEPHALOSPORIN,DIAMINOPYRIMIDINE,FLUOROQUINOLONE,FOSFOMYCIN,GLYCOPEPTIDE,MACROLIDE,MACROLIDE/STREPTOGRAMIN,MONOBACTAM,PENAM,PENEM,PHENICOL,QUINOLONE,RIFAMYCIN,STREPTOGRAMIN,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	AAC
AC751	0	0	Enterococcus	rep_cluster_570		LINCOSAMIDE,OXAZOLIDINONE,PHENICOL,PHENICOL/LINCOSAMIDE/OXAZOLIDINONE/PLEUROMUTILIN/STREPTOGRAMIN,PHENICOL/OXAZOLIDINONE,PLEUROMUTILIN,STREPTOGRAMIN,STREPTOGRAMIN A	CFR
AA011	0	0	Staphylococcus	rep_cluster_1118		AMINOGLYCOSIDE	SPD
AA363	0	0	Klebsiella	IncU	MPF_T	BETA-LACTAM,CEPHALOSPORIN,FOSFOMYCIN,MONOBACTAM,PENAM,PENEM,TETRACYCLINE	BLAKPC
AB192	1	1	Klebsiella	IncR	MPF_T	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,BLEOMYCIN,CEPHALOSPORIN,COLISTIN,DIAMINOPYRIMIDINE,FLUOROQUINOLONE,FOSFOMYCIN,GLYCOPEPTIDE,GLYCYLCYCLINE,LINCOSAMIDE,MACROLIDE,MONOBACTAM,NITROFURAN,PENAM,PENEM,PHENICOL,PHENICOL/QUINOLONE,QUINOLONE,RIFAMYCIN,STREPTOGRAMIN,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	APH
AE341	0	0	Listeria	rep_cluster_282	MPF_T	AMINOGLYCOSIDE,BLEOMYCIN,DIAMINOPYRIMIDINE,LINCOSAMIDE,MACROLIDE,OXAZOLIDINONE,PHENICOL,PHENICOL/LINCOSAMIDE/OXAZOLIDINONE/PLEUROMUTILIN/STREPTOGRAMIN,PLEUROMUTILIN,STREPTOGRAMIN,STREPTOGRAMIN A,STREPTOGRAMIN B,TRIMETHOPRIM	CFR
AC671	0	0	Staphylococcus	rep_cluster_1118		AMINOGLYCOSIDE,BLEOMYCIN,LINCOSAMIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,MACROLIDE,OXAZOLIDINONE,PHENICOL,PHENICOL/OXAZOLIDINONE,STREPTOGRAMIN,STREPTOGRAMIN A,STREPTOGRAMIN B,TETRACYCLINE	ERMB
AC948	1	1	Phocaeicola	rep_cluster_1079		NITROIMIDAZOLE,SULFONAMIDE	NIME
AB238	1	1	Salmonella	ColpVC			
AB111	1	1	Pyrobaculum				
AF621	0	0	Desulfosporosinus	rep_cluster_1945			
AE945	0	0	Rhizobium	rep_cluster_593	MPF_T		
AD581	0	0	Rhizobium	rep_cluster_841	MPF_T		
AG007	0	0	Streptomyces	rep_cluster_350	MPF_T	AMINOCOUMARIN,AMINOGLYCOSIDE	CPXA
AH122	0	0	Desulfurella	rep_cluster_311			
AC079	1	1	Pseudomonas	rep_cluster_428	MPF_T	AMINOGLYCOSIDE,BETA-LACTAM,CARBAPENEM,CEPHALOSPORIN,CEPHAMYCIN,PENAM,PENEM,PHENICOL,PHOSPHONIC ACID,QUINOLONE	AAC
AG507	0	0	Paenibacillus	rep_cluster_669			
AF170	0	0	Leisingera		MPF_T		
AG027	0	0	Leisingera	rep_cluster_378			
AG748	0	0	Geobacillus				
AE623	0	0	Geobacillus	Inc13			
AD600	1	1	Bacillus	rep_cluster_1832			
AD407	0	0	Bacillus	rep_cluster_920			
AF344	1	1	Mycobacterium	rep_cluster_519			
AA767	0	0	Staphylococcus	rep_cluster_1018		AMINOGLYCOSIDE,BETA-LACTAM,BLEOMYCIN,LINCOSAMIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,MACROLIDE,PENAM,PLEUROMUTILIN,STREPTOGRAMIN,STREPTOGRAMIN A,STREPTOGRAMIN B,TETRACYCLINE,TRIMETHOPRIM	VGAA
AA837	1	1	Staphylococcus	rep_cluster_1017		AMINOGLYCOSIDE,BETA-LACTAM,MACROLIDE,MACROLIDE/STREPTOGRAMIN,PENAM,STREPTOGRAMIN,STREPTOGRAMIN B	ETB
AB720	1	1	Staphylococcus	rep_cluster_1017			
AD501	0	0	Lactococcus	rep_cluster_1178			
AC677	0	0	Paenibacillus	rep_cluster_1827		TETRACYCLINE	TET
AC344	1	1	Agrobacterium		MPF_T	FLUOROQUINOLONE,TETRACYCLINE	ADEF
AE536	0	0	Glaesserella	IncP		PHENICOL,TETRACYCLINE	FLOR
AA359	0	0	Pseudomonas	IncU		AMINOGLYCOSIDE,BETA-LACTAM,CARBAPENEM,CEPHALOSPORIN,MACROLIDE,MACROLIDE/STREPTOGRAMIN,MONOBACTAM,PENAM,PENEM,QUINOLONE,STREPTOGRAMIN	BLAKPC
AC297	1	1	Achromobacter	rep_cluster_995	MPF_T	AMINOGLYCOSIDE,BETA-LACTAM,MACROLIDE,MACROLIDE/STREPTOGRAMIN,STREPTOGRAMIN,SULFONAMIDE,TRIMETHOPRIM	AAC
AC308	0	0	Listeria	rep_cluster_110		AMINOGLYCOSIDE,LINCOSAMIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,MACROLIDE,PHENICOL,PLEUROMUTILIN,STREPTOGRAMIN,STREPTOGRAMIN A,STREPTOGRAMIN B,TETRACYCLINE,TRIMETHOPRIM	ERMB
AC310	0	0	Listeria	rep_cluster_2446		BACITRACIN	BCRB
AC534	0	0	Enterococcus	rep_cluster_2146			
AD910	1	1	Enterococcus	rep_cluster_889	MPF_T	AMINOGLYCOSIDE,AVILAMYCIN,GLYCOPEPTIDE,LINCOSAMIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,MACROLIDE,PHENICOL,STREPTOGRAMIN,STREPTOGRAMIN A,STREPTOGRAMIN B,TETRACYCLINE	ERMB
AB241	1	1	Salmonella	ColpVC			
AF454	1	1	Cycloclasticus	IncP	MPF_T	QUINOLONE	QNRS
AG189	1	1	Haloarcula	rep_cluster_15	MPF_T	FLUOROQUINOLONE,MUPIROCIN-LIKE	QNRC
AC836	0	0	Rhizobium	rep_cluster_287	MPF_T		
AD575	1	1	Rhizobium	rep_cluster_119	MPF_T		
AC204	0	0	Salmonella	IncFIB	MPF_F		
AF578	0	0	Salmonella	rep_cluster_1088		COLISTIN,NITROIMIDAZOLE	TERD
AC203	1	1	Salmonella	IncFII	MPF_F		
AA668	1	1	Salmonella	rep_cluster_2350			
AA859	1	1	Salmonella	IncC	MPF_F	AMINOGLYCOSIDE,BETA-LACTAM,SULFONAMIDE,TETRACYCLINE	SUL
AA409	1	1	Staphylococcus	rep_cluster_1017		AMINOGLYCOSIDE,BETA-LACTAM,DIAMINOPYRIMIDINE,FOSFOMYCIN,LINCOSAMIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,MACROLIDE,MUPIROCIN,MUPIROCIN-LIKE,PENAM,STREPTOGRAMIN,STREPTOGRAMIN A,STREPTOGRAMIN B,TRIMETHOPRIM	PC
AA698	1	1	Lactiplantibacillus	rep_cluster_2119		TETRACYCLINE	TETM
AB007	0	0	Actinobacillus	rep_cluster_1582		TETRACYCLINE	TETH
AB423	0	0	Pseudomonas	rep_cluster_2015	MPF_T		
AD495	1	1	Xanthomonas	rep_cluster_429	MPF_T		
AA601	1	1	Xanthomonas		MPF_T		
AF537	0	0	Vibrio	rep_cluster_1345		DIAMINOPYRIMIDINE,FLUOROQUINOLONE,QUINOLONE,TRIMETHOPRIM	QNRVC
AB641	0	0	Staphylococcus	rep_cluster_1230		LINCOSAMIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,MACROLIDE,STREPTOGRAMIN,STREPTOGRAMIN A,STREPTOGRAMIN B	ERMT
AC570	0	0	Lacticaseibacillus	rep_cluster_850	MPF_T	AMINOGLYCOSIDE	APH
AE643	0	0	Sinorhizobium	rep_cluster_287	MPF_T		
AB008	1	1	Psychrobacter	rep_cluster_1481		AMINOGLYCOSIDE,BETA-LACTAM,PHENICOL,TETRACYCLINE	APH
AA970	0	0	Glaesserella	rep_cluster_337		AMINOGLYCOSIDE,BETA-LACTAM,CEPHALOSPORIN,LINCOSAMIDE,MACROLIDE,PENAM,STREPTOGRAMIN,STREPTOGRAMIN A,STREPTOGRAMIN B	LNUC
AC930	0	0	Thermus				
AA074	0	0	Thermus	rep_cluster_323			
AC298	0	0	Enterobacter	ColRNAI_rep_cluster_1998		AMINOGLYCOSIDE,BETA-LACTAM,SULFONAMIDE	AADA
AE821	1	1	Staphylococcus	rep_cluster_155		AMINOGLYCOSIDE,BETA-LACTAM,GLYCOPEPTIDE,LINCOSAMIDE,LINCOSAMIDE/STREPTOGRAMIN,OXAZOLIDINONE,PENAM,PHENICOL,PHENICOL/LINCOSAMIDE/OXAZOLIDINONE/PLEUROMUTILIN/STREPTOGRAMIN,PLEUROMUTILIN,STREPTOGRAMIN,STREPTOGRAMIN A	CFR
AC120	1	1	Salmonella	IncQ1		AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,CEPHAMYCIN,DIAMINOPYRIMIDINE,FLUOROQUINOLONE,GLYCYLCYCLINE,LINCOSAMIDE,LINCOSAMIDE/MACROLIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,MACROLIDE,PHENICOL,RIFAMYCIN,STREPTOGRAMIN,STREPTOGRAMIN A,STREPTOGRAMIN B,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	APH
AA449	1	1	Klebsiella	IncFII	MPF_F	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,BLEOMYCIN,CARBAPENEM,CEPHALOSPORIN,CEPHAMYCIN,COLISTIN,DIAMINOPYRIMIDINE,FLUOROQUINOLONE,GLYCOPEPTIDE,MACROLIDE,MACROLIDE/STREPTOGRAMIN,MONOBACTAM,PENAM,PENEM,PHENICOL,QUINOLONE,RIFAMYCIN,STREPTOGRAMIN,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	AAC
AE364	0	0	Octadecabacter	rep_cluster_291			
AE363	0	0	Octadecabacter	rep_cluster_804			
AA083	1	1	Staphylococcus	rep_cluster_1142	MPF_T	AMINOGLYCOSIDE,BETA-LACTAM,BLEOMYCIN,DIAMINOPYRIMIDINE,GLYCOPEPTIDE,LINCOSAMIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,MACROLIDE,MUPIROCIN,MUPIROCIN-LIKE,PENAM,STREPTOGRAMIN,STREPTOGRAMIN A,STREPTOGRAMIN B,TETRACYCLINE,TRIMETHOPRIM	AAC
AE579	0	0	Salmonella				
AC209	0	0	Salmonella	IncFII			
AG082	0	0	Mycobacterium				
AB946	0	0	Haemophilus	rep_cluster_1046		BETA-LACTAM	BLATEM
AE441	0	0	Anabaena	rep_cluster_1696	MPF_T		
AC951	1	1	Xylella	rep_cluster_1323	MPF_T		
AG064	0	0	Lawsonia	rep_cluster_300			
AG174	0	0	Lawsonia	rep_cluster_1706			
AE458	0	0	Lawsonia	rep_cluster_1701			
AE681	0	0	Anabaena				
AF519	0	0	Anabaena	rep_cluster_1665			
AC911	0	0	Anabaena	rep_cluster_1731			
AF520	0	0	Anabaena	rep_cluster_345	MPF_T		
AD891	1	1	Rhizobium	rep_cluster_287	MPF_T		
AE644	1	1	Rhizobium	rep_cluster_141	MPF_T	AMINOCOUMARIN,AMINOGLYCOSIDE,FLUOROQUINOLONE,TETRACYCLINE	AAC
AF271	0	0	Anabaena	rep_cluster_555			
AG627	0	0	Stanieria				
AE834	1	1	Natronococcus	rep_cluster_371	MPF_F	FLUOROQUINOLONE,TETRACYCLINE	MERA
AD139	0	0	Stanieria				
AG256	0	0	Stanieria		MPF_T		
AF220	0	0	Stanieria	rep_cluster_1715			
AG645	0	0	Stanieria				
AC495	0	0	Thermoanaerobacterium	rep_cluster_770	MPF_T		
AF049	0	0	Natrinema		MPF_T	TETRACYCLINE	STREPTOM
AF702	0	0	Thioflavicoccus	rep_cluster_1761	MPF_T		
AE492	0	0	Singulisphaera		MPF_T		
AG680	0	0	Singulisphaera	rep_cluster_1559			
AB884	0	0	Singulisphaera	rep_cluster_1545			
AF552	0	0	Deinococcus				
AG357	0	0	Oscillatoria				
AF749	0	0	Oscillatoria	rep_cluster_1707	MPF_T		
AG188	0	0	Oscillatoria				
AG190	0	0	Oscillatoria	rep_cluster_309	MPF_T		
AF248	0	0	Allocoleopsis	rep_cluster_1719			
AC660	0	0	Allocoleopsis				
AG623	0	0	Allocoleopsis				
AF694	0	0	Allocoleopsis	rep_cluster_1604			
AG252	0	0	Allocoleopsis				
AG470	0	0	Allocoleopsis	rep_cluster_103			
AF247	0	0	Allocoleopsis				
AC661	0	0	Allocoleopsis	rep_cluster_421	MPF_T		
AE832	0	0	Calothrix	rep_cluster_1622			
AC177	0	0	Calothrix				
AF297	0	0	Synechococcus				
AD833	0	0	Synechococcus	rep_cluster_1716			
AB612	0	0	Oscillatoria				
AB611	0	0	Oscillatoria				
AG279	0	0	Chroococcidiopsis	Inc13			
AE729	0	0	Chroococcidiopsis		MPF_T		
AB741	1	1	Clostridium	rep_cluster_1519			NETB
AB740	1	1	Clostridium	rep_cluster_1519		LINCOSAMIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,MACROLIDE,STREPTOGRAMIN,STREPTOGRAMIN A,STREPTOGRAMIN B	CPB
AE433	0	0	Rivularia	rep_cluster_278			
AF779	0	0	Rivularia				
AE404	0	0	Nostoc	rep_cluster_1678			
AG567	0	0	Nostoc				
AB877	0	0	Synechococcus				
AC082	1	1	Escherichia	IncQ1		AMINOGLYCOSIDE,BETA-LACTAM,CEPHALOSPORIN,DIAMINOPYRIMIDINE,MACROLIDE,MONOBACTAM,PENAM,PENEM,PHENICOL,QUINOLONE,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	APH
AC540	1	1		IncU	MPF_T	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,CARBAPENEM,CEPHALOSPORIN,CEPHAMYCIN,DIAMINOPYRIMIDINE,FLUOROQUINOLONE,MACROLIDE,MONOBACTAM,PENAM,PENEM,PHENICOL,QUINOLONE,RIFAMYCIN,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	AAC
AG532	0	0	Helicobacter	Inc11			
AB769	0	0	Helicobacter	rep_cluster_137			
AG531	0	0	Helicobacter	Inc11			
AB768	0	0	Helicobacter	rep_cluster_137			
AF644	0	0	Halomonas	rep_cluster_333		CARBAPENEM,CEPHALOSPORIN,CEPHAMYCIN,FLUOROQUINOLONE,GLYCYLCYCLINE,MONOBACTAM,NUCLEOSIDE,PENAM,PENEM,PEPTIDE,PHENICOL,RIFAMYCIN,TETRACYCLINE	ESCHERIC
AD391	0	0	Anabaena				
AG571	0	0	Anabaena				
AG572	0	0	Anabaena	rep_cluster_1727			
AB621	0	0	Haemophilus			AMINOGLYCOSIDE,BETA-LACTAM,CEPHALOSPORIN,PENAM	BLAROB
AC408	0	0	Actinobacillus	IncP		AMINOGLYCOSIDE,PHENICOL,SULFONAMIDE	APH
AE885	1	1	Lactiplantibacillus	rep_cluster_1880	MPF_T		
AE603	1	1	Lactiplantibacillus	Inc13			
AC357	1	1	Salmonella	IncFIC	MPF_T		
AC202	1	1	Salmonella	IncFII	MPF_F		YBTQ
AG033	0	0	Acidipropionibacterium	rep_cluster_1324			
AC407	0	0	Arthrobacter	rep_cluster_1674	MPF_T		
AE808	0	0	Acetobacter	rep_cluster_1346	MPF_T		
AD301	1	1	Salmonella	rep_cluster_505	MPF_I		
AE893	0	0	Pseudomonas	rep_cluster_356			COPA
AB896	0	0	Pseudomonas				
AB568	0	0	Arthrobacter		MPF_T		
AD118	0	0	Pseudomonas	rep_cluster_283	MPF_T		
AE275	0	0	Acetobacter	rep_cluster_759			
AB567	0	0	Arthrobacter	rep_cluster_1542	MPF_T		
AE556	0	0	Streptomyces	rep_cluster_727			
AB561	1	1	Staphylococcus	rep_cluster_1256		LINCOSAMIDE,PLEUROMUTILIN,STREPTOGRAMIN,STREPTOGRAMIN A	VGAA
AG055	1	1	Rahnella				
AD525	0	0	Rahnella				
AG530	0	0	Rahnella				
AB172	1	1	Enterococcus	rep_cluster_183	MPF_T	AMINOGLYCOSIDE,GLYCOPEPTIDE,IONOPHORE,LINCOSAMIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,MACROLIDE,STREPTOGRAMIN,STREPTOGRAMIN A,STREPTOGRAMIN B	VANA
AA921	1	1	Delftia	IncP	MPF_T	AMINOGLYCOSIDE,BETA-LACTAM,MACROLIDE,STREPTOGRAMIN,STREPTOGRAMIN A,SULFONAMIDE,TETRACYCLINE	MERD
AC122	1	1	Mannheimia	IncQ1		PHENICOL	FLOR
AA968	0	0	Loigolactobacillus	rep_cluster_1299			
AB649	0	0	Rickettsia	rep_cluster_1653	MPF_T		
AA932	0	0	Borreliella				
AE817	0	0	Rahnella				
AD335	1	1	Rahnella	Col(Ye4449)			
AD523	0	0	Rahnella	rep_cluster_1981			
AB057	0	0	Rahnella	rep_cluster_1981			
