backbone_id	spread_label	visibility_expansion_label	dominant_genus	primary_replicon	dominant_mpf_type	amr_class_tokens	dominant_amr_gene_family
AB595	1	1	Escherichia	rep_cluster_2335	MPF_T	AMINOGLYCOSIDE,BETA-LACTAM,CEPHALOSPORIN,EFFLUX,NUCLEOSIDE,PENAM,STREPTOTHRICIN,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	APH
AA525	1	1	Salmonella	ColRNAI_rep_cluster_1987		AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE	AAC
AB072	1	1	Escherichia	rep_cluster_2358			
AA842	1	1	Staphylococcus	rep_cluster_1017		AMINOGLYCOSIDE,BETA-LACTAM,NUCLEOSIDE,PENAM,STREPTOTHRICIN	CADD
AD261	0	0	Lactococcus	rep_cluster_2011			
AC720	0	0	Lactococcus	Inc18	MPF_T		QACG
AD976	0	0	Burkholderia	rep_cluster_1467	MPF_F		
AB682	0	0	Croceicoccus	rep_cluster_0	MPF_F	FLUOROQUINOLONE,TETRACYCLINE	ADEF
AB681	0	0	Croceicoccus	rep_cluster_374	MPF_F	FLUOROQUINOLONE,TETRACYCLINE	ADEF
AF108	0	0	Staphylococcus	rep_cluster_822			
AD444	1	1	Enterobacter	IncFIB	MPF_F	QUINOLONE,TETRACYCLINE	CLPK
AE974	1	1	Enterobacter	IncX5	MPF_T	AMINOGLYCOSIDE,BETA-LACTAM,CARBAPENEM,CEPHALOSPORIN,GLYCOPEPTIDE,MACROLIDE,MONOBACTAM,PENAM,PENEM,PHENICOL,SULFONAMIDE	BLAKPC
AA440	1	1	Enterobacter	IncFIA	MPF_F	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,BLEOMYCIN,COLISTIN,FLUOROQUINOLONE,FOSFOMYCIN,MACROLIDE,PEPTIDE,PHENICOL,QUINOLONE,RIFAMYCIN,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	MCR
AC431	1	1	Enterobacter	ColRNAI_rep_cluster_1987		AMINOGLYCOSIDE,BETA-LACTAM,CARBAPENEM,CEPHALOSPORIN,CEPHAMYCIN,PENAM,PENEM,QUINOLONE	MERE
AE233	1	1	Enterobacter	rep_cluster_2335			
AA356	1	1	Klebsiella	ColRNAI_rep_cluster_1857		AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,CEPHALOSPORIN,FLUOROQUINOLONE,MACROLIDE,MACROLIDE/STREPTOGRAMIN,MONOBACTAM,PENAM,PENEM,PHENICOL,QUINOLONE,RIFAMYCIN,STREPTOGRAMIN,SULFONAMIDE,TETRACYCLINE	BLAKPC
AF030	0	0	Klebsiella	rep_cluster_711	MPF_F		
AA710	1	1	Klebsiella	IncFIC	MPF_F	BETA-LACTAM	SILA
AA515	1	1	Klebsiella	rep_cluster_2335			
AC301	0	0	Enterobacter	IncR	MPF_T	AMINOGLYCOSIDE,BETA-LACTAM,CEPHALOSPORIN,FLUOROQUINOLONE,PHENICOL,SULFONAMIDE,TETRACYCLINE	AADA
AA531	1	1	Citrobacter	ColRNAI_rep_cluster_1987			QACG
