backbone_id	n_new_countries_recomputed	time_to_first_new_country_years	time_to_third_new_country_years	event_within_1y_label	event_within_3y_label	event_within_5y_label	three_countries_within_3y_label	three_countries_within_5y_label	spread_severity_bin
AC529	7	4.0	5.0						
AB192	17	1.0	3.0	1.0	1.0	1.0	1.0	1.0	3.0
AE911	0								
AF218	7	4.0	5.0						
AA590	4	3.0	7.0						
AB235	18	1.0	2.0						
AB038	14	2.0	4.0						
AB167	6	3.0	4.0						
AC579	7	1.0	5.0						
AB131	5	4.0	5.0	0.0	0.0	1.0	0.0	1.0	3.0
AA786	2	1.0							
AF085	8	1.0	4.0	1.0	1.0	1.0	0.0	1.0	3.0
AE112	3	1.0	6.0						
AC333	14	3.0	5.0	0.0	1.0	1.0	0.0	1.0	3.0
AA011	2	7.0		0.0	0.0	0.0	0.0	0.0	1.0
AA013	5	4.0	6.0						
AA709	2	1.0							
AD188	5	3.0	7.0						
AF546	2	5.0							
AC666	1	3.0							
AB880	4	2.0	3.0						
AC102	1	8.0							
AE104	3	2.0	5.0						
AE105	8	2.0	5.0						
AC212	3	5.0	6.0	0.0	0.0	1.0	0.0	0.0	2.0
AG463	5	3.0	7.0						
AG895	0								
AE125	1	1.0							
AE123	4	1.0	8.0						
AA541	11	2.0	3.0						
AA966	13	1.0	3.0						
AA032	4	1.0	7.0						
AA297	10	1.0	4.0	1.0	1.0	1.0	0.0	1.0	3.0
AA449	14	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0
AA031	3	3.0	5.0						
AB531	19	1.0	3.0						
AA448	11	1.0	5.0						
AA002	43	1.0	1.0						
AA172	25	1.0	3.0						
AA973	4	2.0	7.0						
AA163	21	1.0	1.0						
AD237	2	5.0							
AB553	2	4.0							
AA431	1	1.0							
AE727	4	3.0	7.0						
AD918	2	5.0							
AE908	2	1.0							
AA865	1	7.0		0.0	0.0	0.0	0.0	0.0	1.0
AD366	1	1.0							
AE914	2	5.0							
AD432	2	5.0							
AD423	2	5.0							
AB419	0								
AD923	0								
AD430	1	5.0							
AE909	2	1.0							
AA869	1	5.0							
AE811	0								
AG035	5	5.0	8.0						
AG664	1	3.0							
AB110	7	1.0	3.0	1.0	1.0	1.0	1.0	1.0	3.0
AB870	0								
AA083	6	6.0	7.0	0.0	0.0	0.0	0.0	0.0	3.0
AC315	12	2.0	4.0						
AF609	8	1.0	4.0	1.0	1.0	1.0	0.0	1.0	3.0
AD535	1	7.0							
AG000	2	7.0							
