backbone_id	n_new_countries_recomputed	time_to_first_new_country_years	time_to_third_new_country_years	event_within_1y_label	event_within_3y_label	event_within_5y_label	three_countries_within_3y_label	three_countries_within_5y_label	spread_severity_bin
AA439	10	3.0	5.0						
AG061	2	4.0							
AC223	3	3.0	7.0						
AA184	4	2.0	4.0	0.0	1.0	1.0	0.0	1.0	2.0
AA671	10	2.0	5.0						
AG093	1	8.0							
AE466	1	6.0							
AB034	2	3.0							
AB869	4	1.0	7.0						
AB922	5	4.0	5.0						
AB637	4	5.0	7.0						
AB561	6	5.0	7.0	0.0	0.0	1.0	0.0	0.0	3.0
AD196	5	2.0	6.0						
AB817	8	2.0	6.0						
AC570	2	3.0		0.0	1.0	1.0	0.0	0.0	1.0
AA366	1	1.0							
AE311	6	3.0	6.0						
AB369	14	1.0	2.0						
AE347	2	3.0							
AB224	5	3.0	5.0						
AA639	3	3.0	5.0						
AC416	3	3.0	8.0						
AC417	1	5.0							
AD811	1	2.0							
AE893	1	6.0		0.0	0.0	0.0	0.0	0.0	1.0
AB711	3	2.0	7.0						
AB228	6	5.0	7.0						
AC445	5	2.0	4.0						
AB793	2	1.0							
AB924	5	5.0	6.0						
AB033	2	4.0							
AC776	10	3.0	6.0						
AA173	19	2.0	3.0						
AA394	2	4.0							
AE062	2	2.0							
AA614	13	2.0	2.0	0.0	1.0	1.0	1.0	1.0	3.0
AC358	17	2.0	5.0						
AA345	12	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0
AA610	5	2.0	5.0						
AA304	14	3.0	5.0	0.0	1.0	1.0	0.0	1.0	3.0
AB460	15	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0
AB709	6	5.0	6.0	0.0	0.0	1.0	0.0	0.0	3.0
AA170	21	1.0	2.0						
AB230	1	3.0							
AE974	11	2.0	5.0	0.0	1.0	1.0	0.0	1.0	3.0
AE199	4	5.0	6.0						
AH221	2	1.0							
AA608	1	8.0							
AF342	4	2.0	8.0						
AB493	1	1.0							
AA117	11	1.0	4.0						
AA514	10	4.0	5.0	0.0	0.0	1.0	0.0	1.0	3.0
AF906	1	2.0							
AG579	2	4.0							
AC621	13	2.0	3.0	0.0	1.0	1.0	1.0	1.0	3.0
AD239	3	2.0	7.0						
AC014	0								
AA335	1	5.0							
AB444	9	4.0	5.0						
AD760	2	3.0							
AB267	8	3.0	4.0	0.0	1.0	1.0	0.0	1.0	3.0
AA162	17	1.0	4.0	1.0	1.0	1.0	0.0	1.0	3.0
AA664	1	6.0		0.0	0.0	0.0	0.0	0.0	1.0
AD312	11	3.0	5.0						
AA556	6	3.0	5.0						
AB948	0								
AA676	2	4.0							
AE804	2	6.0							
AD479	7	3.0	5.0						
AD672	5	2.0	6.0						
AD150	3	5.0	7.0						
AB171	10	3.0	4.0	0.0	1.0	1.0	0.0	1.0	3.0
AF090	1	1.0							
AD040	1	6.0							
AB236	8	3.0	5.0						
AF989	1	3.0							
AA217	0								
AD685	1	5.0							
AA187	1	5.0							
AF579	3	5.0	7.0						
AD482	7	5.0	6.0						
AF190	12	1.0	4.0						
AA674	10	4.0	5.0						
AD481	9	5.0	5.0						
AB683	11	1.0	5.0						
AA152	3	2.0	6.0						
AD465	15	3.0	5.0	0.0	1.0	1.0	0.0	1.0	3.0
AA906	3	1.0	5.0						
AB636	7	4.0	6.0						
AF154	1	5.0							
AC999	1	6.0							
AB731	4	5.0	5.0						
AD000	2	5.0							
AH263	0								
AF722	1	6.0							
AC998	1	6.0							
AB646	6	5.0	5.0	0.0	0.0	1.0	0.0	1.0	3.0
AE795	4	2.0	4.0						
AD003	2	2.0							
AD149	1	3.0							
AE537	4	2.0	7.0						
AE538	9	1.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0
AC690	13	1.0	3.0	1.0	1.0	1.0	1.0	1.0	3.0
AD908	7	4.0	6.0						
AA594	10	3.0	4.0						
AC839	1	7.0		0.0	0.0	0.0	0.0	0.0	1.0
AD582	10	2.0	4.0						
AD886	1	6.0							
AE737	0								
AD883	2	7.0							
AF204	5	5.0	7.0						
AF418	1	4.0							
AF394	0								
AB911	1	8.0							
AE534	1	2.0							
AF165	1	8.0							
AF520	0			0.0	0.0	0.0	0.0	0.0	0.0
AA851	10	1.0	3.0	1.0	1.0	1.0	1.0	1.0	3.0
AE885	5	1.0	6.0	1.0	1.0	1.0	0.0	0.0	3.0
AG972	1	8.0		0.0	0.0	0.0	0.0	0.0	1.0
AF620	1	2.0							
AA905	5	3.0	7.0						
AA912	2	2.0							
AA515	13	5.0	5.0	0.0	0.0	1.0	0.0	1.0	3.0
AA303	10	1.0	5.0						
AE341	1	4.0		0.0	0.0	1.0	0.0	0.0	1.0
AE217	5	4.0	7.0						
AE821	5	3.0	6.0	0.0	1.0	1.0	0.0	0.0	3.0
AD818	4	5.0	7.0	0.0	0.0	1.0	0.0	0.0	2.0
AA100	9	3.0	4.0						
AE059	2	7.0		0.0	0.0	0.0	0.0	0.0	1.0
AD476	2	6.0							
AF240	2	3.0							
AB485	7	2.0	3.0						
AB471	3	1.0	8.0						
AB627	0								
AE884	4	1.0	6.0						
AC004	4	3.0	6.0						
AD461	4	3.0	6.0						
AC853	0								
AC675	3	6.0	8.0						
AC277	2	3.0							
AA125	4	3.0	8.0						
AC026	16	1.0	3.0						
AG036	5	3.0	7.0						
AE187	2	4.0							
AB072	5	5.0	7.0	0.0	0.0	1.0	0.0	0.0	3.0
AA424	14	3.0	5.0	0.0	1.0	1.0	0.0	1.0	3.0
AG743	1	4.0							
AE753	1	5.0							
AD580	10	1.0	2.0						
AG430	5	2.0	6.0						
AF203	2	3.0							
AG744	2	6.0							
AD403	2	7.0							
AD310	2	3.0							
AA620	5	5.0	5.0						
AE897	3	2.0	5.0						
AB912	4	3.0	7.0	0.0	1.0	1.0	0.0	0.0	2.0
AB056	9	3.0	5.0	0.0	1.0	1.0	0.0	1.0	3.0
AF343	2	8.0							
AF624	1	2.0							
AE484	2	3.0							
AE457	3	3.0	8.0						
AF859	2	6.0							
AF788	5	2.0	6.0						
AE016	1	3.0							
AC151	2	3.0		0.0	1.0	1.0	0.0	0.0	1.0
AE017	2	3.0							
AB743	1	5.0							
AE190	8	1.0	4.0						
AB992	0								
AC518	4	2.0	5.0						
AE280	2	2.0							
AD344	1	2.0							
AC525	1	2.0							
AF091	3	1.0	7.0						
AD505	2	1.0							
AA811	13	3.0	4.0						
AA617	7	2.0	2.0						
AB576	1	8.0							
AD648	0								
AB044	12	4.0	5.0						
AD483	1	5.0							
AA675	7	4.0	5.0						
AA048	7	4.0	5.0						
AG056	1	5.0							
AC409	2	5.0		0.0	0.0	1.0	0.0	0.0	1.0
AE805	3	4.0	8.0						
AB579	3	6.0	8.0						
AG799	1	7.0							
AC148	2	5.0							
AC082	7	5.0	6.0	0.0	0.0	1.0	0.0	0.0	3.0
AE925	1	2.0							
AC670	6	5.0	6.0	0.0	0.0	1.0	0.0	0.0	3.0
AD133	1	6.0							
AG529	0								
AA212	6	2.0	7.0						
AE094	4	2.0	5.0						
AD973	2	5.0		0.0	0.0	1.0	0.0	0.0	1.0
AA151	6	5.0	5.0						
AA185	3	3.0	8.0						
AB690	11	5.0	5.0						
AB060	3	4.0	8.0						
AA346	8	2.0	4.0	0.0	1.0	1.0	0.0	1.0	3.0
AD780	0								
AD510	1	7.0							
AF406	2	2.0							
AB264	3	3.0	7.0						
AB745	9	2.0	3.0	0.0	1.0	1.0	1.0	1.0	3.0
AA314	14	1.0	4.0						
AG515	3	1.0	6.0						
AG595	1	1.0							
AF383	1	7.0							
AD332	8	3.0	4.0						
AG632	3	7.0	8.0						
AE003	3	6.0	7.0						
AE088	7	5.0	6.0						
AB742	6	1.0	6.0	1.0	1.0	1.0	0.0	0.0	3.0
AB066	4	4.0	6.0						
AD947	2	6.0							
AD713	5	1.0	7.0						
AB069	2	4.0							
AE002	2	5.0							
AB738	2	6.0							
AG331	2	1.0							
AG740	1	7.0							
AD127	4	3.0	7.0						
AA340	2	1.0							
AH012	4	5.0	6.0						
AC830	0								
AA618	6	2.0	2.0						
AE317	2	2.0							
AB075	7	4.0	5.0						
AA186	0								
AA857	4	4.0	7.0						
AE770	1	2.0							
AC265	3	5.0	8.0						
AF695	2	5.0							
AC439	4	1.0	7.0						
AE015	8	1.0	4.0	1.0	1.0	1.0	0.0	1.0	3.0
AD104	1	4.0		0.0	0.0	1.0	0.0	0.0	1.0
AB961	5	1.0	7.0						
AD169	5	2.0	6.0						
AA113	12	2.0	4.0						
AF571	7	5.0	5.0	0.0	0.0	1.0	0.0	1.0	3.0
AA111	6	2.0	6.0						
AE480	7	4.0	5.0						
AB181	9	3.0	5.0						
AA108	5	2.0	5.0						
AB237	15	3.0	4.0						
AE874	1	4.0							
AE872	0								
AG146	3	5.0	6.0						
AD093	2	8.0							
AA026	8	4.0	5.0	0.0	0.0	1.0	0.0	1.0	3.0
AC435	0								
AB184	4	4.0	6.0						
AC624	2	7.0		0.0	0.0	0.0	0.0	0.0	1.0
AC625	2	7.0							
AD714	5	2.0	6.0						
AD711	1	2.0							
AD027	2	5.0							
AF004	0								
AH256	0								
AC155	4	3.0	5.0						
AC562	2	2.0		0.0	1.0	1.0	0.0	0.0	1.0
AA256	4	2.0	6.0						
AC531	3	3.0	8.0						
AC249	1	5.0							
AA440	4	4.0	6.0	0.0	0.0	1.0	0.0	0.0	2.0
AC626	1	5.0							
AE903	2	1.0							
AF460	3	7.0	8.0						
AA001	7	1.0	5.0	1.0	1.0	1.0	0.0	1.0	3.0
AG555	0			0.0	0.0	0.0	0.0	0.0	0.0
AH292	0								
AA019	12	1.0	4.0						
AE967	1	5.0							
AB164	5	1.0	4.0						
AB303	2	3.0							
AD054	4	5.0	6.0						
AC963	7	4.0	6.0						
AF832	0								
AA130	11	1.0	3.0						
AA045	14	1.0	4.0	1.0	1.0	1.0	0.0	1.0	3.0
AD414	4	3.0	5.0						
AB698	4	3.0	7.0						
AB065	6	2.0	6.0						
AA821	10	1.0	6.0						
AB122	6	1.0	4.0						
AC037	6	2.0	3.0						
AE261	3	6.0	8.0						
AA174	16	1.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0
AA052	2	5.0							
AB039	11	1.0	4.0	1.0	1.0	1.0	0.0	1.0	3.0
AA523	14	3.0	4.0						
AA109	8	5.0	5.0						
AC942	0			0.0	0.0	0.0	0.0	0.0	0.0
AD120	0								
AF515	8	2.0	5.0						
AC615	1	2.0							
AA356	12	1.0	5.0	1.0	1.0	1.0	0.0	1.0	3.0
AF034	3	5.0	6.0	0.0	0.0	1.0	0.0	0.0	2.0
AF497	5	3.0	5.0						
AC356	3	4.0	7.0						
AE069	4	2.0	5.0						
AA057	6	2.0	5.0						
AD402	2	5.0							
AF069	6	2.0	5.0	0.0	1.0	1.0	0.0	1.0	3.0
AB688	6	5.0	5.0						
AH149	2	7.0							
AA352	12	4.0	5.0	0.0	0.0	1.0	0.0	1.0	3.0
AF108	0			0.0	0.0	0.0	0.0	0.0	0.0
AC892	2	4.0							
AC489	0								
AB373	3	3.0	6.0						
AD675	3	7.0	8.0						
AD952	0								
AC364	6	3.0	5.0						
AB290	1	3.0							
AD667	1	1.0							
AE836	0								
AE834	3	8.0	8.0	0.0	0.0	0.0	0.0	0.0	2.0
AB966	0			0.0	0.0	0.0	0.0	0.0	0.0
AF721	2	3.0							
AA698	12	3.0	5.0	0.0	1.0	1.0	0.0	1.0	3.0
AF845	3	2.0	5.0						
AF665	2	7.0		0.0	0.0	0.0	0.0	0.0	1.0
AG088	3	3.0	8.0						
AD549	8	5.0	5.0						
AA351	6	3.0	5.0						
AE118	4	5.0	6.0						
AC517	5	2.0	5.0	0.0	1.0	1.0	0.0	1.0	3.0
AG521	1	6.0							
AF482	1	6.0							
AB962	6	5.0	6.0						
AA435	4	2.0	5.0	0.0	1.0	1.0	0.0	1.0	2.0
AC507	6	3.0	5.0	0.0	1.0	1.0	0.0	1.0	3.0
AB375	6	4.0	6.0						
AD712	4	1.0	5.0						
AB739	2	1.0							
AE089	2	1.0							
AC915	2	6.0							
AA734	11	3.0	4.0						
AC754	3	4.0	8.0						
AD569	7	4.0	5.0						
AF632	8	2.0	6.0						
AF718	1	5.0							
AB049	7	3.0	4.0						
AA828	4	3.0	5.0	0.0	1.0	1.0	0.0	1.0	2.0
AG328	1	3.0							
AA470	5	3.0	5.0						
AC792	1	7.0							
AA744	1	3.0							
AG834	2	6.0							
AB881	5	1.0	5.0						
AC146	3	3.0	7.0						
AC154	5	5.0	7.0	0.0	0.0	1.0	0.0	0.0	3.0
AC271	1	8.0							
AC129	15	1.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0
AB242	6	5.0	5.0						
AD541	1	8.0							
AA729	0			0.0	0.0	0.0	0.0	0.0	0.0
AD970	1	4.0		0.0	0.0	1.0	0.0	0.0	1.0
AH000	5	3.0	6.0						
AA516	11	4.0	5.0						
AB194	2	4.0							
AB229	8	2.0	3.0	0.0	1.0	1.0	1.0	1.0	3.0
AG372	7	2.0	5.0						
AA142	13	3.0	4.0						
AE210	3	2.0	8.0						
AF284	2	6.0							
AG733	0								
AB282	7	3.0	5.0						
AA183	11	1.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0
AA376	1	3.0							
AA283	7	3.0	5.0						
AA817	5	3.0	6.0						
AC309	5	1.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0
AA133	4	1.0	6.0						
AB132	1	6.0							
AG216	1	2.0							
AD705	3	1.0	8.0						
AE581	10	5.0	6.0						
AH242	2	7.0							
AB630	1	3.0							
AC678	1	5.0							
AD249	0								
AF498	1	3.0							
AB621	2	5.0		0.0	0.0	1.0	0.0	0.0	1.0
AD831	1	5.0							
AD687	0								
AB289	3	5.0	6.0						
AE890	1	5.0							
AD917	7	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0
AA063	6	2.0	4.0	0.0	1.0	1.0	0.0	1.0	3.0
AG654	4	3.0	6.0						
AE668	2	3.0							
AA955	16	1.0	2.0						
AE427	5	3.0	5.0	0.0	1.0	1.0	0.0	1.0	3.0
AF668	1	3.0							
AA888	1	5.0							
AF785	1	5.0							
AE438	1	4.0							
AC205	1	7.0							
AA363	0			0.0	0.0	0.0	0.0	0.0	0.0
AA543	9	3.0	5.0	0.0	1.0	1.0	0.0	1.0	3.0
AB713	3	3.0	7.0						
AD992	1	1.0							
AE227	2	5.0							
AB581	4	2.0	6.0						
AB622	0								
AG870	4	3.0	7.0						
AE322	12	1.0	6.0						
AA538	7	4.0	6.0						
AA320	7	2.0	5.0						
AA150	2	7.0							
AD938	0								
AF781	0								
AG140	2	2.0							
AD862	3	1.0	7.0						
AD259	1	3.0							
AE667	2	1.0							
AA447	2	3.0							
AD653	3	1.0	7.0						
AB058	12	3.0	4.0						
AA667	8	1.0	3.0	1.0	1.0	1.0	1.0	1.0	3.0
AB079	1	1.0							
AB077	2	1.0							
AA502	3	1.0	8.0						
AF159	3	2.0	7.0						
AC003	2	2.0							
AC771	5	5.0	6.0						
AA120	7	2.0	3.0						
AE583	5	2.0	4.0						
AF688	1	5.0							
AA832	1	4.0		0.0	0.0	1.0	0.0	0.0	1.0
AB040	19	3.0	4.0	0.0	1.0	1.0	0.0	1.0	3.0
AE498	1	3.0							
AE384	8	2.0	4.0						
AB182	8	3.0	5.0						
AA402	10	1.0	3.0						
AD034	5	2.0	8.0	0.0	1.0	1.0	0.0	0.0	3.0
AF425	3	2.0	8.0						
AA531	15	1.0	5.0	1.0	1.0	1.0	0.0	1.0	3.0
AB111	10	3.0	4.0	0.0	1.0	1.0	0.0	1.0	3.0
AA765	3	2.0	7.0	0.0	1.0	1.0	0.0	0.0	2.0
AA882	7	3.0	4.0						
AD410	1	5.0							
AG737	0								
AG514	2	3.0							
AF080	6	1.0	6.0	1.0	1.0	1.0	0.0	0.0	3.0
AF081	4	4.0	6.0						
AD411	1	8.0							
AD274	1	4.0							
AC006	0								
AB243	6	3.0	6.0						
AD983	4	4.0	7.0						
AF789	2	5.0							
AF093	2	7.0							
AD008	1	8.0							
AD011	3	1.0	7.0						
AE469	2	2.0							
AG487	2	3.0							
AC442	1	7.0		0.0	0.0	0.0	0.0	0.0	1.0
AF849	2	1.0							
AD844	3	4.0	8.0						
AA815	6	1.0	4.0						
AH095	2	4.0							
AH236	1	2.0							
AD785	1	3.0							
AA118	11	1.0	5.0						
AB915	5	3.0	5.0						
AD287	3	3.0	7.0						
AE314	3	2.0	6.0						
AB529	3	7.0	8.0						
AB528	6	2.0	6.0	0.0	1.0	1.0	0.0	0.0	3.0
AA710	3	2.0	5.0	0.0	1.0	1.0	0.0	1.0	2.0
AF907	1	6.0							
AA917	4	2.0	3.0						
AF524	3	5.0	7.0	0.0	0.0	1.0	0.0	0.0	2.0
AG658	4	5.0	7.0						
AD907	4	3.0	6.0						
AF607	4	2.0	5.0	0.0	1.0	1.0	0.0	1.0	2.0
AE623	0			0.0	0.0	0.0	0.0	0.0	0.0
AA437	3	4.0	7.0						
AA553	17	2.0	4.0	0.0	1.0	1.0	0.0	1.0	3.0
AA323	18	3.0	4.0	0.0	1.0	1.0	0.0	1.0	3.0
AC072	1	5.0		0.0	0.0	1.0	0.0	0.0	1.0
AF728	2	6.0							
AC791	1	8.0							
AC790	0								
AB150	3	5.0	6.0						
AF374	3	5.0	6.0						
AG075	0								
AF729	5	1.0	6.0						
AF897	1	7.0							
AE381	3	6.0	8.0	0.0	0.0	0.0	0.0	0.0	2.0
AE619	1	6.0							
AC734	1	6.0							
AE113	1	1.0							
AH157	0								
AC824	0								
AE354	2	6.0							
AG346	1	4.0							
AE552	0								
AC253	1	2.0							
AG997	1	4.0							
AA792	5	4.0	5.0						
AG470	0			0.0	0.0	0.0	0.0	0.0	0.0
AF836	3	3.0	8.0						
AA517	14	4.0	5.0						
AG012	8	2.0	5.0						
AB718	6	3.0	5.0						
AC411	9	1.0	5.0						
AC977	11	3.0	4.0						
AA595	2	8.0							
AD966	3	3.0	7.0						
AB238	4	5.0	5.0	0.0	0.0	1.0	0.0	1.0	2.0
AA672	9	4.0	5.0						
AA577	5	4.0	7.0						
AA580	1	6.0		0.0	0.0	0.0	0.0	0.0	1.0
AD090	3	5.0	6.0						
AB061	6	3.0	6.0						
AA127	11	2.0	5.0						
AB064	3	1.0	6.0						
AE818	10	5.0	5.0						
AC530	5	6.0	7.0						
AD342	4	2.0	7.0						
AG462	3	2.0	8.0						
AB716	5	5.0	6.0						
AC247	14	4.0	6.0	0.0	0.0	1.0	0.0	0.0	3.0
AB717	5	4.0	7.0						
AE875	4	5.0	7.0						
AD487	1	4.0							
AC121	3	5.0	7.0						
AG014	4	3.0	8.0						
AA281	14	2.0	5.0						
AA181	7	3.0	5.0						
AB441	8	4.0	5.0						
AA157	8	4.0	5.0						
AC770	0								
AA319	6	1.0	5.0	1.0	1.0	1.0	0.0	1.0	3.0
AD985	0			0.0	0.0	0.0	0.0	0.0	0.0
AA545	5	1.0	6.0						
AD335	8	5.0	7.0	0.0	0.0	1.0	0.0	0.0	3.0
AA375	4	4.0	6.0						
AA178	11	2.0	2.0						
AA380	3	2.0	5.0						
AA587	5	3.0	4.0						
AE142	6	4.0	4.0						
AA107	7	4.0	5.0						
AF643	4	3.0	4.0						
AG544	0			0.0	0.0	0.0	0.0	0.0	0.0
AD677	1	5.0							
AC502	3	1.0	8.0						
AA761	2	6.0							
AC024	7	2.0	5.0						
AC031	5	3.0	6.0						
AB036	10	4.0	5.0						
AB795	11	1.0	2.0						
AA368	2	7.0							
AA980	1	2.0							
AC778	1	7.0							
AD001	0								
AB154	4	2.0	7.0						
AC318	0								
AA961	3	2.0	7.0						
AD873	2	2.0							
AB091	2	7.0							
AE181	1	7.0							
AD168	5	4.0	6.0	0.0	0.0	1.0	0.0	0.0	3.0
AH314	1	3.0							
AA442	6	5.0	6.0	0.0	0.0	1.0	0.0	0.0	3.0
AF123	6	3.0	5.0						
AE471	3	1.0	8.0						
AE633	0								
AB777	1	7.0		0.0	0.0	0.0	0.0	0.0	1.0
AD164	7	3.0	3.0	0.0	1.0	1.0	1.0	1.0	3.0
AB537	12	3.0	3.0						
AC960	1	5.0							
AD752	1	2.0							
AC821	4	5.0	8.0	0.0	0.0	1.0	0.0	0.0	2.0
AC218	2	6.0							
AE207	1	4.0							
AE162	1	6.0							
AB818	5	3.0	7.0						
AA769	2	4.0							
AG131	5	5.0	7.0						
AC182	4	2.0	7.0						
AD730	3	3.0	8.0						
AB342	3	3.0	6.0						
AD828	1	6.0							
AE379	5	2.0	5.0						
AB347	4	2.0	5.0						
AF992	4	2.0	6.0						
AC602	2	3.0							
AD412	2	1.0							
AF626	3	2.0	8.0						
AF017	1	3.0							
AH004	2	4.0							
AA149	11	4.0	5.0						
AA397	4	3.0	5.0						
AD843	1	7.0							
AD845	1	1.0							
AC573	1	2.0							
AD960	1	7.0							
AC943	4	8.0	8.0						
AB555	4	4.0	6.0						
AA842	5	1.0	6.0	1.0	1.0	1.0	0.0	0.0	3.0
AC260	1	5.0		0.0	0.0	1.0	0.0	0.0	1.0
AA298	2	2.0							
AA064	0								
AC296	2	3.0							
AF308	2	3.0							
AA272	1	5.0							
AC261	1	3.0							
AH498	1	2.0							
AH056	1	4.0							
AG133	2	6.0							
AC483	3	5.0	7.0						
AB307	3	1.0	5.0						
AA490	3	4.0	8.0						
AA586	9	3.0	5.0						
AA347	2	3.0							
AA814	10	3.0	3.0						
AA123	11	2.0	5.0	0.0	1.0	1.0	0.0	1.0	3.0
AG702	5	3.0	5.0						
AE577	11	1.0	4.0						
AB917	3	4.0	8.0						
AC537	10	2.0	4.0						
AE807	8	4.0	4.0						
AB977	9	1.0	3.0						
AB174	2	7.0							
AD468	0			0.0	0.0	0.0	0.0	0.0	0.0
AB740	3	7.0	7.0	0.0	0.0	0.0	0.0	0.0	2.0
AB359	3	6.0	8.0						
AB133	4	5.0	8.0						
AE848	1	4.0							
AF478	2	4.0							
AD429	1	5.0							
AD954	2	1.0							
AC258	4	1.0	7.0						
AG225	2	3.0							
AE955	1	8.0							
AD347	2	1.0		1.0	1.0	1.0	0.0	0.0	1.0
AD349	7	1.0	4.0						
AC254	0								
AC635	1	7.0		0.0	0.0	0.0	0.0	0.0	1.0
AE557	5	1.0	5.0						
AC868	2	8.0							
AB997	2	1.0							
AF012	3	4.0	8.0						
AB891	1	7.0							
AE643	2	4.0		0.0	0.0	1.0	0.0	0.0	1.0
AE716	3	4.0	6.0						
AG384	5	4.0	5.0						
AE949	1	6.0		0.0	0.0	0.0	0.0	0.0	1.0
AD839	5	5.0	6.0						
AB362	4	5.0	6.0						
AG062	2	3.0							
AE717	2	7.0		0.0	0.0	0.0	0.0	0.0	1.0
AC598	6	3.0	6.0						
AB830	1	4.0							
AC239	9	3.0	3.0						
AG201	4	5.0	7.0						
AC597	3	5.0	7.0						
AC968	4	1.0	6.0						
AG317	1	8.0							
AC111	10	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0
AA554	12	1.0	5.0						
AE695	1	3.0							
AE696	2	4.0							
AB649	0			0.0	0.0	0.0	0.0	0.0	0.0
AF364	0								
AG474	2	2.0							
AA377	6	2.0	6.0						
AB902	1	5.0							
AB538	2	6.0							
AG186	1	7.0							
AG434	2	3.0							
AG373	1	2.0							
AG784	0								
AF369	4	2.0	7.0						
AA697	3	4.0	7.0						
AG427	0			0.0	0.0	0.0	0.0	0.0	0.0
AD300	5	2.0	5.0						
AD046	1	5.0		0.0	0.0	1.0	0.0	0.0	1.0
AC802	1	2.0							
AF885	7	4.0	6.0						
AD793	0								
AC850	1	2.0							
AD869	2	2.0							
AD045	1	8.0							
AE201	0								
AE376	1	3.0							
AC937	2	4.0							
AD422	1	7.0		0.0	0.0	0.0	0.0	0.0	1.0
AG850	0			0.0	0.0	0.0	0.0	0.0	0.0
AH024	0			0.0	0.0	0.0	0.0	0.0	0.0
AA388	0								
AG326	1	2.0							
AE912	2	5.0		0.0	0.0	1.0	0.0	0.0	1.0
AD683	3	3.0	5.0						
AA935	0								
AE598	0								
AE697	4	3.0	6.0	0.0	1.0	1.0	0.0	0.0	2.0
AA420	4	4.0	7.0						
AC809	5	3.0	6.0						
AB843	0								
AE247	2	3.0							
AD661	1	4.0							
AE907	0								
AF670	1	3.0							
AG982	2	5.0							
AC086	6	4.0	6.0						
AD994	5	2.0	4.0						
AE248	2	2.0							
AE465	5	6.0	7.0						
AD129	5	1.0	5.0						
AB475	2	4.0							
AD128	0								
AB539	2	1.0							
AC000	2	3.0							
AD662	2	3.0							
AF417	1	5.0		0.0	0.0	1.0	0.0	0.0	1.0
AD816	2	7.0							
AG433	2	5.0		0.0	0.0	1.0	0.0	0.0	1.0
AA908	1	2.0							
AF932	1	7.0							
AE251	1	6.0							
AD801	1	4.0							
AE331	2	4.0							
AB900	4	1.0	6.0						
AG007	0			0.0	0.0	0.0	0.0	0.0	0.0
AD817	2	1.0							
AB899	2	5.0							
AA745	1	3.0							
AC224	4	2.0	7.0						
AF420	1	6.0		0.0	0.0	0.0	0.0	0.0	1.0
AG429	3	1.0	7.0						
AE329	0								
AD819	1	3.0							
AF432	7	4.0	5.0						
AG431	1	6.0		0.0	0.0	0.0	0.0	0.0	1.0
AB901	2	6.0							
AD032	3	3.0	6.0						
AD567	1	4.0							
AH406	0								
AB897	1	4.0		0.0	0.0	1.0	0.0	0.0	1.0
AE250	0								
AF672	0			0.0	0.0	0.0	0.0	0.0	0.0
AD033	0			0.0	0.0	0.0	0.0	0.0	0.0
AD472	0								
AD566	2	3.0							
AH151	2	3.0							
AG438	4	3.0	6.0						
AF671	3	4.0	8.0						
AD125	2	8.0							
AG351	3	6.0	6.0						
AD126	2	6.0							
AF419	1	5.0							
AH402	1	8.0		0.0	0.0	0.0	0.0	0.0	1.0
AG806	2	6.0							
AD568	1	5.0							
AG839	1	2.0							
AF473	0								
AB903	1	4.0							
AF541	0								
AG258	2	8.0							
AD497	4	6.0	8.0						
AD775	1	6.0							
AC222	3	3.0	8.0	0.0	1.0	1.0	0.0	0.0	2.0
AD565	1	7.0							
AC699	2	3.0							
AA598	8	1.0	4.0	1.0	1.0	1.0	0.0	1.0	3.0
AE984	1	4.0							
AF310	2	3.0							
AF902	2	2.0							
AD715	2	6.0							
AH308	0								
AG441	3	3.0	5.0						
AG432	1	8.0							
AD681	1	3.0							
AF273	3	5.0	8.0						
AG352	0								
AB252	1	3.0							
AC622	0								
AE330	2	7.0							
AF212	0								
AA743	2	3.0							
AH194	1	3.0							
AB898	3	3.0	8.0						
AF956	2	5.0							
AE556	0			0.0	0.0	0.0	0.0	0.0	0.0
AG132	2	1.0							
AF311	2	3.0							
AD515	4	5.0	6.0						
AA873	2	1.0							
AF894	0								
AD576	2	1.0							
AG080	3	3.0	7.0						
AE558	1	1.0							
AC291	2	6.0							
AA445	9	2.0	5.0						
AA400	4	1.0	5.0	1.0	1.0	1.0	0.0	1.0	2.0
AF963	0								
AA006	4	6.0	8.0						
AB642	6	3.0	4.0						
AG500	8	3.0	6.0						
AB035	2	3.0							
AA072	2	4.0							
AE192	5	4.0	5.0						
AE785	6	4.0	4.0						
AE966	4	5.0	6.0						
AA403	4	5.0	7.0						
AA054	4	3.0	5.0						
AH279	4	1.0	8.0						
AD854	5	1.0	7.0						
AG223	2	3.0							
AD791	1	3.0							
AC947	1	6.0							
AC945	3	6.0	8.0						
AG629	0								
AC097	1	2.0							
AD734	2	2.0							
AC709	2	3.0							
AC708	1	1.0							
AC849	4	2.0	7.0						
AD631	1	2.0							
AA718	2	2.0							
AA719	1	3.0							
AD628	1	3.0							
AA995	3	2.0	7.0						
AD629	4	2.0	7.0						
AD626	4	2.0	7.0						
AC378	4	3.0	7.0						
