backbone_id	member_count_train	n_countries_train	spread_label	backbone_purity_score	genus_purity_train	family_purity_train	mobility_purity_train	replicon_purity_train	mean_n_replicon_types_train	multi_replicon_fraction_train	primary_replicon_diversity_train	replicon_architecture_norm	assignment_primary_fraction	assignment_confidence_score	mash_neighbor_distance_train_mean
AB217	1	1	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.3863702623906705	0.0	0.5	0.0
AF547	1	1	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.3863702623906705	0.0	0.5	0.0
UNSEEN::AG154	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AG143	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
AC070	3	0		0.8333333333333333	1.0	1.0	0.6666666666666666	0.6666666666666666	1.0	0.0	0.3333333333333333	0.4530369290573372	0.0	0.5	0.0
UNSEEN::AD557	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
AB600	8	3	0.0	0.8125	0.75	1.0	0.5	1.0	1.125	0.125	0.0	0.4325255102040816	0.0	0.5	0.0079526875
AE231	1	0		1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.3863702623906705	0.0	0.5	0.0
AF049	1	1	0.0	0.75	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.295981
UNSEEN::AG631	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AD441	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AG689	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AC719	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
AC199	3	0		0.9166666666666666	1.0	1.0	0.6666666666666666	1.0	1.0	0.0	0.0	0.3863702623906705	0.0	0.5	0.0
UNSEEN::AF696	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
AA774	1	1	0.0	0.75	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AF476	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
AA895	1	0		1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.3863702623906705	0.0	0.5	0.0
UNSEEN::AE747	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AE748	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AF925	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
AB923	2	1	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.3863702623906705	0.0	0.5	0.0
UNSEEN::AA762	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
AE264	1	1	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	0.0	0.7842565597667639	0.0	0.5	0.0
UNSEEN::AB562	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AF926	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AE385	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AE886	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
AA967	2	0		0.875	1.0	1.0	0.5	1.0	1.0	0.5	0.0	0.5613702623906706	0.0	0.5	0.1479905
UNSEEN::AB393	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
AF816	1	0		1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.3863702623906705	0.0	0.5	0.0
UNSEEN::AF831	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AC161	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
AE982	1	1	1.0	0.75	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AF243	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AE416	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AF016	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AG010	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
AD834	1	0		1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.3863702623906705	0.0	0.5	0.0
UNSEEN::AF743	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AH139	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AD400	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
