pathogen_dataset	backbone_id	priority_group	priority_index	selection_score	selection_score_column	dominant_species	dominant_genus	top_amr_genes	top_amr_classes	pd_species_record_count	pd_matching_record_count	pd_matching_fraction	pd_matching_gene_count	pd_matched_genes	pd_top_locations	pd_any_support
environmental	AA664	high	0.7445150214773503	0.8549338531083277	primary_model_oof_prediction	Escherichia_coli	Escherichia	tet(C),blaTEM-1,catA1,AAC(3)-Ia,aac(3)-Ia	BETA-LACTAM,TETRACYCLINE ANTIBIOTIC,TETRACYCLINE,AMINOGLYCOSIDE ANTIBIOTIC,PHENICOL ANTIBIOTIC	86981	16916	0.1944792540899736	4	aac(3)-Ia,blaTEM-1,catA1,tet(C)	USA:1153,USA:PA:716,USA:IA:456	True
environmental	AA297	high	0.88197521497578	0.9798475893604568	primary_model_oof_prediction	Escherichia_coli	Escherichia	senB,qacEdelta1,sul1,aadA,aadA1	AMINOGLYCOSIDE,SULFONAMIDE,BETA-LACTAM,QUATERNARY AMMONIUM,AMINOGLYCOSIDE ANTIBIOTIC	86981	16658	0.191513089065428	2	aadA1,sul1	USA:1082,USA:PA:642,Canada:Quebec:617	True
environmental	AC978	high	0.7973118659883388	0.9936466561171452	primary_model_oof_prediction	Escherichia_coli	Escherichia	mcr-1.1,mcr-3.5,blaTEM-1,blaKPC-2,blaTEM-135	COLISTIN,BETA-LACTAM,BLEOMYCIN,MONOBACTAM; CEPHALOSPORIN; PENAM; PENEM,SULFONAMIDE	86981	16457	0.1892022395695611	5	blaKPC-2,blaTEM-1,blaTEM-135,mcr-1.1,mcr-3.5	USA:931,USA:PA:606,USA:IA:420	True
environmental	AA183	high	0.7364489509980876	0.9913882000637526	primary_model_oof_prediction	Escherichia_coli	Escherichia	lngA,blaTEM-1,merC,merT,qacEdelta1	SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM,BETA-LACTAM,MERCURY	86981	15457	0.1777054759085317	1	blaTEM-1	USA:924,USA:PA:605,USA:IA:412	True
environmental	AA143	high	0.611509932051809	0.9236040945432002	primary_model_oof_prediction	Escherichia_coli	Escherichia	blaTEM-1	BETA-LACTAM	86981	15457	0.1777054759085317	1	blaTEM-1	USA:924,USA:PA:605,USA:IA:412	True
environmental	AD158	high	0.7449429511266853	0.9965020355772506	primary_model_oof_prediction	Escherichia_coli	Escherichia	blaKPC-2,sul1,aadA2,blaDHA-1,dfrA23	BETA-LACTAM,AMINOGLYCOSIDE,SULFONAMIDE,TRIMETHOPRIM,AMINOGLYCOSIDE ANTIBIOTIC	86981	14630	0.1681976523608604	5	aadA2,blaDHA-1,blaKPC-2,dfrA23,sul1	USA:927,USA:PA:570,Canada:Quebec:566	True
environmental	AA171	high	0.9585944596736992	0.9920226945506974	primary_model_oof_prediction	Escherichia_coli	Escherichia	senB,Mrx,mph(A),mphA,sul1	BETA-LACTAM,AMINOGLYCOSIDE,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	86981	12684	0.1458249502764971	2	mph(A),sul1	USA:1040,Canada:Quebec:529,USA:PA:525	True
environmental	AA324	high	0.9309083465968584	0.9889075543279494	primary_model_oof_prediction	Escherichia_coli	Escherichia	sul1,qacEdelta1,Mrx,mph(A),mphA	AMINOGLYCOSIDE,TETRACYCLINE,BETA-LACTAM,SULFONAMIDE,TRIMETHOPRIM	86981	12684	0.1458249502764971	2	mph(A),sul1	USA:1040,Canada:Quebec:529,USA:PA:525	True
environmental	AA627	high	0.9388083591625378	0.9996104527439964	primary_model_oof_prediction	Salmonella_enterica	Salmonella	sul2,aph(3'')-Ib,aph(6)-Id,floR,tet(A)	SULFONAMIDE,AMINOGLYCOSIDE,PHENICOL,TETRACYCLINE,BETA-LACTAM	49449	12455	0.2518756698821007	5	aph(3'')-Ib,aph(6)-Id,floR,sul2,tet(A)	USA:1464,Chile:703,Mexico:560	True
environmental	AA378	high	0.4255054467139824	0.9909631286174252	primary_model_oof_prediction	Escherichia_coli	Escherichia	merT,merC,qacEdelta1,sul1,mcr-1.1	BETA-LACTAM,AMINOGLYCOSIDE,SULFONAMIDE,MERCURY,AMINOGLYCOSIDE ANTIBIOTIC	86981	12070	0.1387659373886251	2	mcr-1.1,sul1	USA:855,USA:PA:515,Canada:Quebec:515	True
