model_name	subgroup_name	subgroup_value	n_backbones	n_positive	roc_auc	average_precision	brier_score	status
knownness_robust_priority	dominant_source	insd_leaning	99	27	0.6790123456790124	0.5255063404047168	0.21841922676181416	ok
knownness_robust_priority	dominant_source	refseq_leaning	890	335	0.8167970956030658	0.7326121268954892	0.1782556937838589	ok
knownness_robust_priority	member_count_band	1	584	117	0.7177290946027562	0.43957089305549596	0.16122485593430558	ok
knownness_robust_priority	member_count_band	2	191	91	0.659010989010989	0.6134878370821775	0.253515994242111	ok
knownness_robust_priority	member_count_band	3_plus	214	154	0.725	0.8688385311824558	0.17614112220175876	ok
knownness_robust_priority	country_count_band	1	882	289	0.7930877538992981	0.6696419357498747	0.1799839955882307	ok
knownness_robust_priority	country_count_band	2	90	60	0.7105555555555556	0.8343229776219853	0.20686659143682096	ok
knownness_robust_priority	country_count_band	3	17	13				skipped_insufficient_label_variation
host_transfer_synergy_priority	overall	all	989	362	0.8075021808665309	0.7173110311702108	0.18274792501836853	ok
host_transfer_synergy_priority	dominant_source	insd_leaning	99	27	0.6867283950617284	0.5340668067307326	0.2173780803853055	ok
host_transfer_synergy_priority	dominant_source	refseq_leaning	890	335	0.8177060642732285	0.7334198873414963	0.17889580661238338	ok
host_transfer_synergy_priority	member_count_band	1	584	117	0.7232196782517981	0.4362806598532135	0.16232984570170236	ok
host_transfer_synergy_priority	member_count_band	2	191	91	0.6698901098901099	0.6249301113131895	0.2511472351655655	ok
host_transfer_synergy_priority	member_count_band	3_plus	214	154	0.7242424242424242	0.8689031449370435	0.17742030858294067	ok
host_transfer_synergy_priority	country_count_band	1	882	289	0.795025003355176	0.6698964004470314	0.18079491883867949	ok
host_transfer_synergy_priority	country_count_band	2	90	60	0.7122222222222222	0.834090252772904	0.20613360134500425	ok
host_transfer_synergy_priority	country_count_band	3	17	13				skipped_insufficient_label_variation
ecology_clinical_priority	overall	all	989	362	0.7993690907328592	0.7050503032802481	0.17352567116267548	ok
ecology_clinical_priority	dominant_source	insd_leaning	99	27	0.6358024691358025	0.453694645870828	0.18990814915939108	ok
ecology_clinical_priority	dominant_source	refseq_leaning	890	335	0.8128761597418314	0.7276310580622493	0.17170335057652394	ok
ecology_clinical_priority	member_count_band	1	584	117	0.7120188876077527	0.42089395650528655	0.14301545485071898	ok
ecology_clinical_priority	member_count_band	2	191	91	0.6406593406593407	0.6066991576610924	0.24099104265324278	ok
ecology_clinical_priority	member_count_band	3_plus	214	154	0.7201298701298702	0.8578842720594271	0.19657277570232146	ok
ecology_clinical_priority	country_count_band	1	882	289	0.7876552862986281	0.6604083868564352	0.17011124879805034	ok
ecology_clinical_priority	country_count_band	2	90	60	0.7055555555555556	0.8182480294406093	0.20602999492281496	ok
ecology_clinical_priority	country_count_band	3	17	13				skipped_insufficient_label_variation
full_priority	overall	all	989	362	0.7774943385586014	0.6895333430118898	0.17750080595250772	ok
full_priority	dominant_source	insd_leaning	99	27	0.6774691358024691	0.5794224443095782	0.17212124655586747	ok
full_priority	dominant_source	refseq_leaning	890	335	0.784569046658599	0.6997870517909665	0.17809920637977442	ok
full_priority	member_count_band	1	584	117	0.6199784037043138	0.32923521714055715	0.15412304310944294	ok
full_priority	member_count_band	2	191	91	0.593956043956044	0.5512134658658064	0.24885149517978575	ok
full_priority	member_count_band	3_plus	214	154	0.7116883116883117	0.8369880467612385	0.17761590809241293	ok
full_priority	country_count_band	1	882	289	0.7564025511007895	0.6379322204860378	0.1758079096009206	ok
full_priority	country_count_band	2	90	60	0.7361111111111112	0.8278616357850234	0.19069332781626575	ok
full_priority	country_count_band	3	17	13				skipped_insufficient_label_variation
baseline_both	overall	all	989	362	0.7224968498594553	0.6471951497145494	0.18606395543277585	ok
baseline_both	dominant_source	insd_leaning	99	27	0.5802469135802469	0.4748523208071877	0.18952948875887018	ok
baseline_both	dominant_source	refseq_leaning	890	335	0.7355439021110662	0.6666894370449188	0.18567846352346873	ok
baseline_both	member_count_band	1	584	117	0.43659290982631455	0.17492850909207017	0.16077979795298963	ok
baseline_both	member_count_band	2	191	91	0.4897252747252747	0.48045199788827997	0.2528604111272828	ok
baseline_both	member_count_band	3_plus	214	154	0.6343614718614718	0.8106374529473566	0.19544631492130077	ok
baseline_both	country_count_band	1	882	289	0.6845930317370476	0.5687719653087194	0.18588058066752822	ok
baseline_both	country_count_band	2	90	60	0.7363888888888889	0.8317837082210809	0.1887365284080775	ok
baseline_both	country_count_band	3	17	13				skipped_insufficient_label_variation
baseline_country_count	overall	all	989	362	0.541687594173782	0.45446424969117094	0.2204514342986089	ok
baseline_country_count	dominant_source	insd_leaning	99	27	0.5010288065843621	0.3145130131860062	0.2057051314801563	ok
baseline_country_count	dominant_source	refseq_leaning	890	335	0.5442302003496033	0.4668625110461462	0.22209175337616713	ok
baseline_country_count	member_count_band	1	584	117	0.4932740350299237	0.19804168989645696	0.1777272716827933	ok
baseline_country_count	member_count_band	2	191	91	0.4173076923076923	0.43045222575317493	0.27604246608451555	ok
baseline_country_count	member_count_band	3_plus	214	154	0.5109307359307359	0.7187088251733329	0.287428181478647	ok
baseline_country_count	country_count_band	1	882	289	0.4585825402475245	0.3099277568496787	0.2204039801633429	ok
baseline_country_count	country_count_band	2	90	60	0.3763888888888889	0.6073465959948298	0.22691554962588834	ok
baseline_country_count	country_count_band	3	17	13				skipped_insufficient_label_variation
source_only	overall	all	989	362	0.45228087798602484	0.33889561941036755	0.232278266812204	ok
source_only	dominant_source	insd_leaning	99	27	0.36934156378600824	0.23648201319265327	0.20488770360942124	ok
source_only	dominant_source	refseq_leaning	890	335	0.4191636412531935	0.3367198270016784	0.23532508226959223	ok
source_only	member_count_band	1	584	117	0.4742949175497355	0.18557991893926853	0.1882712065691118	ok
source_only	member_count_band	2	191	91	0.5330769230769231	0.5297181533483473	0.26128416140447736	ok
source_only	member_count_band	3_plus	214	154	0.4909632034632035	0.7066179863171891	0.32648386174137056	ok
source_only	country_count_band	1	882	289	0.4582586928234244	0.3062898432480892	0.2221976183905556	ok
source_only	country_count_band	2	90	60	0.5438888888888889	0.6978886185748204	0.31101358830991144	ok
source_only	country_count_band	3	17	13				skipped_insufficient_label_variation
