backbone_id	n_train_macro_regions	n_test_macro_regions	n_new_macro_regions	new_macro_regions	macro_region_jump_label	n_train_host_families	n_test_host_families	n_new_host_families	new_host_families	host_family_jump_label	n_train_host_orders	n_test_host_orders	n_new_host_orders	new_host_orders	host_order_jump_label	weighted_new_country_burden	rarity_weighted_new_country_burden	n_new_countries_recomputed
AB637	0	4	4	Asia,Europe,North America,Oceania		1	1	0			1	1	0			0.2129843617708243	3.5104204934545296	4
AB561	1	3	2	Asia,Oceania	1.0	1	1	0		0.0	1	1	0		0.0	0.4707953667243333	5.663365949459868	6
AD196	0	3	3	Europe,North America,Oceania		0	1	1	Staphylococcaceae		0	1	1	Bacillales		0.5503170788117776	4.75135530253115	5
AB817	0	3	3	Asia,Europe,North America		1	2	1	Veillonellaceae		1	2	1	Veillonellales		0.6247377241484873	7.536916013402087	8
AC570	1	2	1	Europe	1.0	1	1	0		0.0	1	1	0		0.0	0.130814105661927	1.89897173269593	2
AA366	0	1	1	Oceania		1	1	0			1	1	0			0.2182178902359924	0.9866920152091256	1
AE311	0	4	4	Asia,Europe,Latin America and Caribbean,North America		1	1	0			1	1	0			0.4611015123572999	5.531760878067971	6
AB369	0	5	5	Asia,Europe,Latin America and Caribbean,North America,Oceania		0	1	1	Enterococcaceae		0	1	1	Lactobacillales		1.5478716071442624	13.120521896137934	14
AE347	0	1	1	Europe		0	1	1	Nostocaceae		0	1	1	Nostocales		0.4510677385094863	1.990400871902479	2
AB224	0	2	2	Europe,North America		0	1	1	Nostocaceae		0	1	1	Nostocales		0.5375847889790929	4.653313551280966	5
AA639	0	2	2	Europe,North America		0	1	1	Nostocaceae		0	1	1	Nostocales		0.3678686953339987	2.6701900512076313	3
AC416	0	1	1	Europe		0	1	1	Nostocaceae		0	1	1	Nostocales		0.5120084977182784	2.8106665143053355	3
AC417	0	1	1	North America		1	1	0			1	1	0			0.0273587827582291	0.856297730450683	1
AD811	0	1	1	Asia		0	1	1	Nostocaceae		0	1	1	Nostocales		0.06213697660012	0.876959619952494	1
AE893	1	1	1	Asia	1.0	1	1	0		0.0	1	1	0		0.0	0.043314808182421	0.93562024399082	1
AB711	0	3	3	Asia,Europe,North America		0	1	1	Enterobacteriaceae		0	1	1	Enterobacterales		0.3517469922888327	2.461833282219561	3
AB228	0	3	3	Asia,Europe,Oceania		0	2	2	Enterobacteriaceae,Morganellaceae		0	1	1	Enterobacterales		0.4552637502394147	5.433108034646327	6
AC445	0	2	2	Asia,Europe		0	1	1	Lactobacillaceae		0	1	1	Lactobacillales		0.4945579034949829	4.671465552499958	5
AB793	0	1	1	Asia		1	1	0			1	1	0			0.1235539916573246	1.7727817071956444	2
AB924	0	2	2	Asia,Europe		0	1	1	Staphylococcaceae		0	1	1	Bacillales		0.2386219880938606	4.599130057144988	5
AB033	0	2	2	Europe,North America		0	1	1	Staphylococcaceae		0	1	1	Bacillales		0.0783224641164389	1.7335508045077073	2
AC776	0	3	3	Asia,Europe,Latin America and Caribbean		0	2	2	Enterobacteriaceae,Morganellaceae		0	1	1	Enterobacterales		0.7776671099172402	9.38321372927088	10
AA173	0	5	5	Africa,Asia,Europe,Latin America and Caribbean,North America		0	1	1	Enterobacteriaceae		0	1	1	Enterobacterales		2.790947330050924	18.32672445535488	19
AA394	0	2	2	Asia,Oceania		0	1	1	Vibrionaceae		0	1	1	Vibrionales		0.1306786448812226	1.9057318234771543	2
AE062	0	2	2	North America,Oceania		0	1	1	Vibrionaceae		0	1	1	Vibrionales		0.0895337577306237	1.7250566103488547	2
AA614	1	6	5	Africa,Europe,Middle East and West Asia,North America,Oceania	1.0	1	3	2	Phyllobacteriaceae,Stappiaceae	1.0	1	1	0		0.0	3.314262443242767	12.436460888272348	13
AC358	0	6	6	Asia,Europe,Latin America and Caribbean,Middle East and West Asia,North America,Oceania		0	1	1	Enterobacteriaceae		0	1	1	Enterobacterales		3.09174095204853	16.634666092963528	17
AA345	2	5	3	Europe,Latin America and Caribbean,Oceania	1.0	1	1	0		0.0	1	1	0		0.0	2.0460421825511603	11.47711256091843	12
AA610	0	2	2	Asia,Europe		1	3	2	Oxalobacteraceae,Stappiaceae		1	2	1	Burkholderiales		0.6362375932341103	4.564888017876409	5
AA304	2	6	4	Africa,Asia,Latin America and Caribbean,Oceania	1.0	1	1	0		0.0	1	1	0		0.0	2.5698281733925232	13.403833453967724	14
AB460	1	6	5	Africa,Asia,Europe,Latin America and Caribbean,Oceania	1.0	1	1	0		0.0	1	1	0		0.0	2.6836865110510395	14.38856240771965	15
AB709	1	3	2	Asia,Europe	1.0	1	1	0		0.0	1	1	0		0.0	0.2881578048114088	5.577576585878772	6
AA170	0	6	6	Africa,Asia,Europe,Latin America and Caribbean,Middle East and West Asia,North America		1	1	0			1	1	0			2.9445937902008703	20.27064974345005	21
AB230	0	1	1	Asia		1	1	0			1	1	0			0.0390137157320435	0.7580110497237569	1
AE974	1	5	4	Asia,Europe,Latin America and Caribbean,Oceania	1.0	1	7	6	Amorphaceae,Erwiniaceae,Iamiaceae,Moraxellaceae,Thiotrichaceae,Yersiniaceae	1.0	1	5	4	Acidimicrobiales,Hyphomicrobiales,Moraxellales,Thiotrichales	1.0	0.6900909835231219	10.22411692701598	11
AE199	0	2	2	Asia,Europe		1	1	0			1	1	0			0.143613349179827	3.485258490007761	4
AH221	0	1	1	Asia		0	1	1	Geminocystaceae		0	1	1	Chroococcales		0.2110746180053657	1.93616556398102	2
AA608	0	1	1	Europe		1	1	0			1	1	0			0.0609710760849692	0.9744781783681216	1
AF342	0	2	2	Asia,North America		0	2	2	Oscillospiraceae,Paracoccaceae		0	2	2	Eubacteriales,Rhodobacterales		0.1866029651974836	3.45709936717827	4
AB493	0	1	1	Asia		0	1	1	Paracoccaceae		0	1	1	Rhodobacterales		0.0995037190209989	0.9359949302915084	1
AA117	0	6	6	Africa,Asia,Europe,Latin America and Caribbean,North America,Oceania		0	1	1	Enterobacteriaceae		0	1	1	Enterobacterales		0.8479838911394453	10.088505976238071	11
AA514	1	5	4	Asia,Europe,Latin America and Caribbean,Oceania	1.0	1	2	1	Yersiniaceae	1.0	1	1	0		0.0	0.5839932106735615	9.1732726849509	10
AF906	0	1	1	Europe		1	1	1	Paracoccaceae		1	1	1	Rhodobacterales		0.1048284836721918	0.956769596199525	1
AG579	0	2	2	Asia,Europe		0	2	2	Streptomycetaceae,Thermomonosporaceae		0	2	2	Kitasatosporales,Streptosporangiales		0.279598090869388	1.8040717783543911	2
AC621	1	6	5	Africa,Asia,Europe,Latin America and Caribbean,Oceania	1.0	1	1	0		0.0	1	1	0		0.0	1.309087756828202	12.437243158287906	13
AD239	0	2	2	Asia,Europe		0	1	1	Roseobacteraceae		0	1	1	Rhodobacterales		0.3200559188493458	2.6425913897373983	3
AC014	0	0	0			1	0	0			1	0	0			0.0	0.0	0
AA335	0	1	1	Latin America and Caribbean		0	1	1	Enterobacteriaceae		0	1	1	Enterobacterales		0.1072112534837794	0.9906421426266536	1
AB444	0	4	4	Asia,Europe,Latin America and Caribbean,North America		1	1	0			1	1	0			0.7000440112701253	8.225146907905573	9
AD760	0	1	1	Europe		1	2	1	Paracoccaceae		1	1	0			0.2151669634667432	1.943670931085134	2
AB267	1	2	2	Asia,Europe	1.0	1	1	0		0.0	1	1	0		0.0	0.5664797276117308	7.428112930511014	8
AA162	2	6	4	Africa,Asia,Europe,North America	1.0	1	1	0		0.0	1	1	0		0.0	1.8943566757630337	16.03332236370834	17
AA664	2	1	0		0.0	4	1	0		0.0	4	1	0		0.0	0.0430331482911935	0.9347747312477352	1
AD312	0	3	3	Asia,Europe,North America		0	6	6	Chitinibacteraceae,Enterobacteriaceae,Hafniaceae,Moraxellaceae,Morganellaceae,Weeksellaceae		0	4	4	Enterobacterales,Flavobacteriales,Moraxellales,Neisseriales		1.0101186021522597	10.399523120446869	11
