feature_group	feature_value	n_backbones_with_feature	positive_with_feature	negative_with_feature	positive_without_feature	negative_without_feature	odds_ratio	p_value	prevalence_with_feature	prevalence_without_feature	prevalence_delta	positive_prevalence	q_value	enriched_in_positive
genus_amr_class	Staphylococcus + STREPTOGRAMIN	19	9	10	353	617	1.5730878186968837	0.3429396943215031	0.47368421052631576	0.36391752577319586	0.1097666847531199	0.3660262891809909	0.3990302738245386	True
dominant_genus	Pantoea	10	2	8	360	619	0.42986111111111114	0.34101907150631516	0.2	0.36772216547497444	-0.16772216547497443	0.3660262891809909	0.3990302738245386	False
primary_replicon	Inc13	11	2	9	360	618	0.3814814814814815	0.3452284391515671	0.18181818181818182	0.36809815950920244	-0.18627997769102062	0.3660262891809909	0.3990302738245386	False
dominant_genus	Burkholderia	12	6	6	356	621	1.7443820224719102	0.37279434074438245	0.5	0.36438075742067555	0.13561924257932445	0.3660262891809909	0.4147337040781255	True
genus_amr_class	Staphylococcus + MACROLIDE	12	6	6	356	621	1.7443820224719102	0.37279434074438245	0.5	0.36438075742067555	0.13561924257932445	0.3660262891809909	0.4147337040781255	True
genus_amr_class	Staphylococcus + STREPTOGRAMIN B	12	6	6	356	621	1.7443820224719102	0.37279434074438245	0.5	0.36438075742067555	0.13561924257932445	0.3660262891809909	0.4147337040781255	True
dominant_amr_gene_family	ADEF	17	8	9	354	618	1.551789077212806	0.4473030105762345	0.47058823529411764	0.36419753086419754	0.1063907044299201	0.3660262891809909	0.491481085694875	True
genus_amr_class	Staphylococcus + LINCOSAMIDE	18	8	10	354	617	1.3943502824858758	0.47149022814756425	0.4444444444444444	0.364572605561277	0.0798718388831674	0.3660262891809909	0.5117393939650392	True
dominant_genus	Clostridium	11	5	6	357	621	1.449579831932773	0.5431081299988332	0.45454545454545453	0.36503067484662577	0.08951477969882876	0.3660262891809909	0.5823689586734476	True
dominant_genus	Aeromonas	10	3	7	359	620	0.7401512136888182	0.7540322278574483	0.3	0.36670071501532175	-0.06670071501532177	0.3660262891809909	0.7989150985632488	False
genus_amr_class	Staphylococcus + AMINOGLYCOSIDE	14	6	8	356	619	1.3040730337078652	0.7808638520054093	0.42857142857142855	0.36512820512820515	0.0634432234432234	0.3660262891809909	0.8081032887032724	True
dominant_genus	Vibrio	13	4	9	358	618	0.7672253258845437	0.7778799995402166	0.3076923076923077	0.3668032786885246	-0.05911097099621687	0.3660262891809909	0.8081032887032724	False
genus_amr_class	Staphylococcus + STREPTOGRAMIN A	15	6	9	356	618	1.1573033707865168	0.7916520931374508	0.4	0.3655030800821355	0.03449691991786452	0.3660262891809909	0.8098509918302657	True
dominant_genus	Bacillus	78	29	49	333	578	1.027272170129313	0.9031570035334634	0.3717948717948718	0.36553238199780463	0.006262489797067172	0.3660262891809909	0.913420151300889	True
amr_class	PLEUROMUTILIN	12	4	8	358	619	0.8645251396648045	1.0	0.3333333333333333	0.3664278403275333	-0.03309450699419997	0.3660262891809909	1.0	False
