backbone_id	n_new_countries_recomputed	time_to_first_new_country_years	time_to_third_new_country_years	spread_severity_bin	weighted_new_country_burden	rarity_weighted_new_country_burden	exposure_years	new_country_rate_per_year	weighted_new_country_rate_per_year	rarity_weighted_new_country_rate_per_year	first_event_speed_score	third_event_speed_score	fast_or_broad_expansion_label
AA133	4	1.0	6.0		0.6192425244355733	3.694303528699258	8	0.5	0.0774053155544466	0.4617879410874071	0.5	0.1428571428571428	
AA137	1	8.0			0.0609710760849692	0.9744781783681216	8	0.125	0.0076213845106211	0.1218097722960151	0.1111111111111111	0.0	
AA138	1	7.0			0.0218634734723313	0.8250543569158723	8	0.125	0.0027329341840414	0.103131794614484	0.125	0.0	
AA142	13	3.0	4.0		1.3521231146050028	12.103639884133436	8	1.625	0.1690153893256253	1.5129549855166795	0.25	0.2	
AA143	10	1.0	5.0	3.0	0.8889089940479382	9.221494188801593	8	1.25	0.1111136242559922	1.152686773600199	0.5	0.1666666666666666	
AA144	7	1.0	5.0	3.0	0.5927719670295077	6.403476913363046	8	0.875	0.0740964958786884	0.8004346141703808	0.5	0.1666666666666666	
AA145	1	4.0			0.1111111111111111	0.9784287616511318	8	0.125	0.0138888888888888	0.1223035952063914	0.2	0.0	
AA146	0				0.0	0.0	8	0.0	0.0	0.0	0.0	0.0	
AA147	22	1.0	2.0		1.9492187524705	20.66219029919799	8	2.75	0.2436523440588125	2.582773787399749	0.5	0.3333333333333333	
AA149	11	4.0	5.0		1.1779026060255209	10.507082901169024	8	1.375	0.1472378257531901	1.313385362646128	0.2	0.1666666666666666	
AA150	2	7.0			0.0394775336480934	1.5047661438691335	8	0.25	0.0049346917060116	0.1880957679836417	0.125	0.0	
AA151	6	5.0	5.0		0.2385769462288633	5.330308825211155	8	0.75	0.0298221182786079	0.6662886031513944	0.1666666666666666	0.1666666666666666	
AA152	3	2.0	6.0		0.0942288374527829	2.373851736825824	8	0.375	0.0117786046815978	0.296731467103228	0.3333333333333333	0.1428571428571428	
AA153	7	4.0	5.0		1.3438001227472944	6.612956097899794	8	0.875	0.1679750153434118	0.8266195122374742	0.2	0.1666666666666666	
AA154	0				0.0	0.0	8	0.0	0.0	0.0	0.0	0.0	
AA155	7	4.0	5.0		0.3303296279525085	6.202230125658603	8	0.875	0.0412912034940635	0.7752787657073253	0.2	0.1666666666666666	
AA156	6	4.0	7.0		0.3957247129391851	5.27679951924298	8	0.75	0.0494655891173981	0.6595999399053725	0.2	0.125	
AA157	8	4.0	5.0		0.8075784671729765	7.554161592892258	8	1.0	0.100947308396622	0.9442701991115322	0.2	0.1666666666666666	
AA158	2	5.0			0.0902282441044222	1.8257384841648996	8	0.25	0.0112785305130527	0.2282173105206124	0.1666666666666666	0.0	
AA159	8	3.0	5.0		0.7176691208275238	7.282367380303082	8	1.0	0.0897086401034404	0.9102959225378852	0.25	0.1666666666666666	
AA160	1	3.0			0.3015113445777636	0.9959484346224676	8	0.125	0.0376889180722204	0.1244935543278084	0.25	0.0	
AA161	22	2.0	3.0		2.5681377383828026	21.068022520979262	8	2.75	0.3210172172978503	2.633502815122408	0.3333333333333333	0.25	
AA162	17	1.0	4.0	3.0	1.8943566757630337	16.03332236370834	8	2.125	0.2367945844703791	2.0041652954635425	0.5	0.2	
AA163	21	1.0	1.0		2.0119937393864973	19.87926606271912	8	2.625	0.2514992174233121	2.48490825783989	0.5	0.5	
AA164	1	5.0			0.0411345034894863	0.936431106808648	8	0.125	0.0051418129361857	0.1170538883510809	0.1666666666666666	0.0	
AA165	3	4.0	8.0		0.4687975331277548	2.731738921964326	8	0.375	0.0585996916409693	0.3414673652455408	0.2	0.1111111111111111	
AA166	1	6.0			0.023014365447458	0.7719531344365261	8	0.125	0.0028767956809322	0.0964941418045657	0.1428571428571428	0.0	
AA167	5	5.0	6.0		0.2461751153639202	4.513550173274118	8	0.625	0.03077188942049	0.5641937716592648	0.1666666666666666	0.1428571428571428	
AA168	3	5.0	8.0		0.0987991322688501	2.5537601954970097	8	0.375	0.0123498915336062	0.3192200244371262	0.1666666666666666	0.1111111111111111	
AA169	3	4.0	5.0		0.0833949159608251	2.4045673424999863	8	0.375	0.0104243644951031	0.3005709178124983	0.2	0.1666666666666666	
AA170	21	1.0	2.0		2.9445937902008703	20.27064974345005	8	2.625	0.3680742237751088	2.5338312179312563	0.5	0.3333333333333333	
AA171	34	1.0	1.0	3.0	6.459060772395191	33.137857937325975	8	4.25	0.8073825965493989	4.142232242165747	0.5	0.5	
AA172	25	1.0	3.0		3.452975566567067	24.0842636025434	8	3.125	0.4316219458208833	3.0105329503179252	0.5	0.25	
AA173	19	2.0	3.0		2.790947330050924	18.32672445535488	8	2.375	0.3488684162563655	2.2908405569193597	0.3333333333333333	0.25	
AA174	16	1.0	2.0	3.0	2.1815117670739586	15.41127656482126	8	2.0	0.2726889708842448	1.9264095706026576	0.5	0.3333333333333333	
AA175	19	2.0	2.0	3.0	2.599553909056665	17.950964779963197	8	2.375	0.3249442386320831	2.2438705974953996	0.3333333333333333	0.3333333333333333	
AA176	26	1.0	2.0	3.0	4.488218136632405	25.059666364970408	8	3.25	0.5610272670790506	3.132458295621301	0.5	0.3333333333333333	
AA177	3	3.0	7.0		0.7242137426619571	2.8011589281641274	8	0.375	0.0905267178327446	0.3501448660205159	0.25	0.125	
AA178	11	2.0	2.0		1.4607363016717698	10.459322622861524	8	1.375	0.1825920377089712	1.3074153278576903	0.3333333333333333	0.3333333333333333	
AA179	24	2.0	2.0		2.6328145256412023	22.94031592118099	8	3.0	0.3291018157051503	2.8675394901476237	0.3333333333333333	0.3333333333333333	
AA180	2	5.0			0.1252974010141526	1.809380211616208	8	0.25	0.015662175126769	0.226172526452026	0.1666666666666666	0.0	
AA181	7	3.0	5.0		0.6011579044500626	6.330426212342575	8	0.875	0.0751447380562578	0.7913032765428218	0.25	0.1666666666666666	
AA182	1	5.0			0.0242821465589316	0.8175755620092503	8	0.125	0.0030352683198664	0.1021969452511562	0.1666666666666666	0.0	
AA183	11	1.0	2.0	3.0	2.1812038195132986	10.175873140617336	8	1.375	0.2726504774391623	1.2719841425771672	0.5	0.3333333333333333	
AA184	4	2.0	4.0	2.0	0.7910672876267163	3.6641487544477296	8	0.5	0.0988834109533395	0.4580185943059662	0.3333333333333333	0.2	
AA185	3	3.0	8.0		0.3072035935256468	2.9099774252955504	8	0.375	0.0384004491907058	0.3637471781619438	0.25	0.1111111111111111	
AA186	0				0.0	0.0	8	0.0	0.0	0.0	0.0	0.0	
AA187	1	5.0			0.0273587827582291	0.856297730450683	8	0.125	0.0034198478447786	0.1070372163063353	0.1666666666666666	0.0	
AA188	2	1.0			0.2962109172930415	1.9694768458364469	8	0.25	0.0370263646616301	0.2461846057295558	0.5	0.0	
AA189	1	1.0			0.1601281538050871	0.9752851711026616	8	0.125	0.0200160192256358	0.1219106463878327	0.5	0.0	
AA190	11	1.0	2.0		0.8370937615607773	10.170636790109386	8	1.375	0.1046367201950971	1.2713295987636732	0.5	0.3333333333333333	
AA191	6	3.0	6.0		0.581250150312978	5.591695190370677	8	0.75	0.0726562687891222	0.6989618987963346	0.25	0.1428571428571428	
AA192	0				0.0	0.0	8	0.0	0.0	0.0	0.0	0.0	
AA193	1	4.0			0.037062465833055	0.8061251664447404	8	0.125	0.0046328082291318	0.1007656458055925	0.2	0.0	
AA194	1	4.0			0.037062465833055	0.8061251664447404	8	0.125	0.0046328082291318	0.1007656458055925	0.2	0.0	
AA195	6	1.0	2.0		1.0787167283322852	5.4584580546279335	8	0.75	0.1348395910415356	0.6823072568284917	0.5	0.3333333333333333	
AA196	1	7.0			0.043355498476206	0.9555109550091988	8	0.125	0.0054194373095257	0.1194388693761498	0.125	0.0	
AA197	0				0.0	0.0	8	0.0	0.0	0.0	0.0	0.0	
AA198	0				0.0	0.0	8	0.0	0.0	0.0	0.0	0.0	
AA199	4	2.0	8.0		0.4099581076824662	3.5211768230533065	8	0.5	0.0512447634603082	0.4401471028816633	0.3333333333333333	0.1111111111111111	
AA200	4	2.0	5.0		0.9020391640374404	3.793162807161716	8	0.5	0.11275489550468	0.4741453508952145	0.3333333333333333	0.1666666666666666	
AA201	4	4.0	7.0	2.0	0.8044791222991508	3.8155609481590753	8	0.5	0.1005598902873938	0.4769451185198844	0.2	0.125	
AA202	2	2.0			0.2400813637083237	1.8150781098849933	8	0.25	0.0300101704635404	0.2268847637356241	0.3333333333333333	0.0	
AA203	3	4.0	7.0		0.331243304883954	2.931263683878929	8	0.375	0.0414054131104942	0.3664079604848661	0.2	0.125	
AA204	1	6.0			0.0839181358296689	0.982848170068849	8	0.125	0.0104897669787086	0.1228560212586061	0.1428571428571428	0.0	
AA205	0				0.0	0.0	8	0.0	0.0	0.0	0.0	0.0	
AA206	2	2.0		1.0	0.6006983801937383	1.9865280272005603	8	0.25	0.0750872975242172	0.24831600340007	0.3333333333333333	0.0	
AA207	2	7.0			0.0666934998766728	1.7813174066221025	8	0.25	0.0083366874845841	0.2226646758277627	0.125	0.0	
AA208	5	4.0	6.0		0.7032330597724243	4.944927587297446	8	0.625	0.087904132471553	0.6181159484121808	0.2	0.1428571428571428	
