permutation_index	selection_scope	n_models_in_scope	selected_model_name	selected_null_roc_auc	selected_null_average_precision
114	official_model_surface	3	bio_clean_priority	0.46924757901786107	0.3327482931259118
115	official_model_surface	3	phylo_support_fusion_priority	0.522050983813124	0.40908888735952526
116	official_model_surface	3	bio_clean_priority	0.5047097905486972	0.36079586921090984
117	official_model_surface	3	phylo_support_fusion_priority	0.5126534316705879	0.37466871987920447
118	official_model_surface	3	phylo_support_fusion_priority	0.49797774194401123	0.36114880510992886
119	official_model_surface	3	bio_clean_priority	0.4996982033184418	0.3714876092411139
120	official_model_surface	3	baseline_both	0.5141403861235208	0.38414778844418057
121	official_model_surface	3	phylo_support_fusion_priority	0.5021544317851384	0.3548029805723478
122	official_model_surface	3	phylo_support_fusion_priority	0.525099791165508	0.3994329516665533
123	official_model_surface	3	bio_clean_priority	0.4955127018953713	0.3603743836568796
124	official_model_surface	3	baseline_both	0.4749618899080952	0.3378725658372779
125	official_model_surface	3	bio_clean_priority	0.4894393190409474	0.3648802017579647
126	official_model_surface	3	bio_clean_priority	0.520806347863632	0.3786096292321369
127	official_model_surface	3	bio_clean_priority	0.5019671856688431	0.3563341969820414
128	official_model_surface	3	bio_clean_priority	0.5236502859358341	0.3712861949815899
129	official_model_surface	3	baseline_both	0.5131292570955264	0.3830745699228951
130	official_model_surface	3	bio_clean_priority	0.5129486196656886	0.3797880638406271
131	official_model_surface	3	baseline_both	0.4980834809273309	0.37390910729212756
132	official_model_surface	3	phylo_support_fusion_priority	0.5081022495968701	0.3960590242185738
133	official_model_surface	3	baseline_both	0.5053992968357609	0.36515267371764487
134	official_model_surface	3	phylo_support_fusion_priority	0.48279538625569446	0.37210134947762497
135	official_model_surface	3	phylo_support_fusion_priority	0.4763981777648541	0.34475001923453513
136	official_model_surface	3	phylo_support_fusion_priority	0.5110629411298211	0.374919085661164
137	official_model_surface	3	phylo_support_fusion_priority	0.5328187369478442	0.40260768921145756
138	official_model_surface	3	phylo_support_fusion_priority	0.5183765541427653	0.3805168940986049
139	official_model_surface	3	phylo_support_fusion_priority	0.5237185756958946	0.37666586470267
140	official_model_surface	3	bio_clean_priority	0.5099240441636487	0.3779762816149911
141	official_model_surface	3	baseline_both	0.5147682113369814	0.38888113564883053
142	official_model_surface	3	bio_clean_priority	0.5229673883352278	0.373585098287806
143	official_model_surface	3	baseline_both	0.5098887978358755	0.3830877347755354
144	official_model_surface	3	bio_clean_priority	0.497294844343405	0.37739212472902167
145	official_model_surface	3	bio_clean_priority	0.502641271687506	0.3740648364139663
