pathogen_dataset	backbone_id	priority_group	priority_index	selection_score	selection_score_column	dominant_species	dominant_genus	top_amr_genes	top_amr_classes	pd_species_record_count	pd_matching_record_count	pd_matching_fraction	pd_matching_gene_count	pd_matched_genes	pd_top_locations	pd_any_support
combined	AB114	high	0.5901742787016663	0.9854965768412792	primary_model_oof_prediction	Acinetobacter_baumannii	Acinetobacter	sul2,tet(B),tetR,blaOXA-23,merE	SULFONAMIDE,TETRACYCLINE,TETRACYCLINE ANTIBIOTIC,BETA-LACTAM,MERCURY	44976	38998	0.8670846673781573	3	blaOXA-23,sul2,tet(B)	USA:16862,China:1862,Saudi Arabia:876	True
combined	AA579	high	0.6371024256037162	0.9845112255043692	primary_model_oof_prediction	Escherichia_coli	Escherichia	CTX-M-226,CTX-M-23,blaCTX-M-3,blaCTX-M-15	BETA-LACTAM,CEPHALOSPORIN	259754	37728	0.1452451165333353	2	blaCTX-M-15,blaCTX-M-3	USA:3571,France:1531,United Kingdom: United Kingdom:1529	True
combined	AA038	high	0.8338093802484255	0.9900157642454508	primary_model_oof_prediction	Escherichia_coli	Klebsiella	ble,blaNDM-5,blaSHV-12,blaNDM-1,qnrS1	BETA-LACTAM,BLEOMYCIN,QUINOLONE,GLYCOPEPTIDE ANTIBIOTIC,AMINOGLYCOSIDE	259754	34724	0.1336803283106323	5	blaNDM-1,blaNDM-5,blaSHV-12,ble,qnrS1	USA:4968,United Kingdom: United Kingdom:1582,France:1414	True
combined	AC716	high	0.9072597405381894	0.9972420209215738	primary_model_oof_prediction	Acinetobacter_baumannii	Acinetobacter	sul2,aph(3'')-Ib,aph(6)-Id,APH(3'')-Ib,tet(B)	SULFONAMIDE,AMINOGLYCOSIDE,AMINOGLYCOSIDE ANTIBIOTIC,TETRACYCLINE ANTIBIOTIC,TETRACYCLINE	44976	34357	0.7638963002490217	4	aph(3'')-Ib,aph(6)-Id,sul2,tet(B)	USA:14941,China:1754,Saudi Arabia:797	True
combined	AB338	high	0.3754392863177163	0.8595428547231341	primary_model_oof_prediction	Acinetobacter_baumannii	Acinetobacter	tet(39),ADC-8,APH(3'')-Ib,aph(3'')-Ib,aph(6)-Id	TETRACYCLINE,CEPHALOSPORIN,TETRACYCLINE ANTIBIOTIC,AMINOGLYCOSIDE,AMINOGLYCOSIDE ANTIBIOTIC	44976	31989	0.7112459978655283	3	aph(3'')-Ib,aph(6)-Id,tet(39)	USA:14320,China:1568,Saudi Arabia:729	True
combined	AC320	high	0.7862035590229816	0.9598350197098348	primary_model_oof_prediction	Campylobacter_jejuni	Campylobacter	tet(O),aph(3')-IIIa,aad(6),SAT-4,sat4	TETRACYCLINE,AMINOGLYCOSIDE,AMINOGLYCOSIDE ANTIBIOTIC,NUCLEOSIDE ANTIBIOTIC,STREPTOTHRICIN	58546	30786	0.5258429269292522	3	aph(3')-IIIa,sat4,tet(O)	United Kingdom: United Kingdom:7631,USA:GA:1105,USA:CA:1043	True
combined	AD910	high	0.6773786078715821	0.993318376564874	primary_model_oof_prediction	Enterococcus_faecium	Enterococcus	tet(M),ErmB,aph(3')-IIIa,erm(B),vanY gene in vanB cluster	AMINOGLYCOSIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,MACROLIDE ANTIBIOTIC; LINCOSAMIDE ANTIBIOTIC; STREPTOGRAMIN ANTIBIOTIC; STREPTOGRAMIN A ANTIBIOTIC; STREPTOGRAMIN B ANTIBIOTIC,TETRACYCLINE,GLYCOPEPTIDE ANTIBIOTIC	31261	28645	0.916317456255398	3	aph(3')-IIIa,erm(B),tet(M)	Australia:2967,USA: Ann Arbor, Michigan:2564,Denmark:Copenhagen:2328	True
combined	AA434	high	0.8149144410548295	0.9107488897692037	primary_model_oof_prediction	Klebsiella_pneumoniae	Klebsiella	TEM-10,ANT(3'')-II-AAC(6')-IId bifunctional protein,blaSHV-12,aadA,aadA1	AMINOGLYCOSIDE ANTIBIOTIC,MONOBACTAM; CEPHALOSPORIN; PENAM; PENEM,BETA-LACTAM,AMINOGLYCOSIDE,SULFONAMIDE	113468	27093	0.2387721648394261	2	aadA1,blaSHV-12	USA:4172,China:853,China: Beijing:821	True
combined	AC733	high	0.8414705336578989	0.9590063078488952	primary_model_oof_prediction	Enterococcus_faecium	Enterococcus	AAC(6')-Ie-APH(2'')-Ia bifunctional protein,aac(6')-Ie/aph(2'')-Ia,ErmB,aph(3')-IIIa,erm(B)	AMINOGLYCOSIDE ANTIBIOTIC,AMINOGLYCOSIDE,MACROLIDE ANTIBIOTIC; LINCOSAMIDE ANTIBIOTIC; STREPTOGRAMIN ANTIBIOTIC; STREPTOGRAMIN A ANTIBIOTIC; STREPTOGRAMIN B ANTIBIOTIC,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,NUCLEOSIDE ANTIBIOTIC	31261	26844	0.8587057355810754	3	aac(6')-Ie/aph(2'')-Ia,aph(3')-IIIa,erm(B)	Australia:2742,USA: Ann Arbor, Michigan:2492,Denmark:Copenhagen:2273	True
combined	AD100	high	0.7257042314365775	0.9056886261059288	primary_model_oof_prediction	Enterococcus_faecium	Enterococcus	ErmB,aad(6),ant(6)-Ia,erm(B),SAT-4	MACROLIDE ANTIBIOTIC; LINCOSAMIDE ANTIBIOTIC; STREPTOGRAMIN ANTIBIOTIC; STREPTOGRAMIN A ANTIBIOTIC; STREPTOGRAMIN B ANTIBIOTIC,AMINOGLYCOSIDE,AMINOGLYCOSIDE ANTIBIOTIC,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,NUCLEOSIDE ANTIBIOTIC	31261	26089	0.8345542369086082	2	ant(6)-Ia,erm(B)	Australia:2621,USA: Ann Arbor, Michigan:2436,Denmark:Copenhagen:2199	True
combined	AC125	high	0.3660845892079906	0.9883235499894044	primary_model_oof_prediction	Klebsiella_pneumoniae	Klebsiella	aac(6')-Ib,arr-2,catB,rmtF,rmtF1	AMINOGLYCOSIDE,BETA-LACTAM,AMINOGLYCOSIDE ANTIBIOTIC,PHENICOL,RIFAMYCIN	113468	25431	0.2241248633976099	5	aac(6')-Ib,arr-2,catB,rmtF,rmtF1	USA:4662,USA: California:1024,Spain:705	True
combined	AA964	high	0.9286912725507254	0.9667610045028928	primary_model_oof_prediction	Klebsiella_pneumoniae	Klebsiella	aac(6')-Ib,arr-2,catB,rmtF,rmtF1	AMINOGLYCOSIDE,AMINOGLYCOSIDE ANTIBIOTIC,RIFAMYCIN,PHENICOL,BETA-LACTAM	113468	25431	0.2241248633976099	5	aac(6')-Ib,arr-2,catB,rmtF,rmtF1	USA:4662,USA: California:1024,Spain:705	True
combined	AA040	high	0.8515706863622731	0.8943917928870426	primary_model_oof_prediction	Klebsiella_pneumoniae	Klebsiella	blaKPC-2,SAT-2,aadA6,sat2,aadA	BETA-LACTAM,AMINOGLYCOSIDE ANTIBIOTIC,NUCLEOSIDE ANTIBIOTIC,STREPTOTHRICIN,AMINOGLYCOSIDE	113468	25345	0.223366940458984	3	aadA6,blaKPC-2,sat2	China:2896,USA:1549,China: Beijing:1276	True
combined	AA627	high	0.9388083591625378	0.9996104527439964	primary_model_oof_prediction	Salmonella_enterica	Salmonella	sul2,aph(3'')-Ib,aph(6)-Id,floR,tet(A)	SULFONAMIDE,AMINOGLYCOSIDE,PHENICOL,TETRACYCLINE,BETA-LACTAM	124175	24815	0.199838936984095	5	aph(3'')-Ib,aph(6)-Id,floR,sul2,tet(A)	USA:4408,China:2309,Chile:704	True
combined	AC333	high	0.8532284991006046	0.9568677560037466	primary_model_oof_prediction	Staphylococcus_aureus	Staphylococcus	tet(K),tet(45),cadC,ErmC,erm(C)	TETRACYCLINE,TETRACYCLINE ANTIBIOTIC,CADMIUM/LEAD/ZINC,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,MACROLIDE ANTIBIOTIC; LINCOSAMIDE ANTIBIOTIC; STREPTOGRAMIN ANTIBIOTIC; STREPTOGRAMIN A ANTIBIOTIC; STREPTOGRAMIN B ANTIBIOTIC	100884	24487	0.2427243170373894	2	erm(C),tet(K)	Netherlands:3502,China:1598,Denmark:Copenhagen:1245	True
combined	AA941	high	0.8017253089105222	0.984468759927511	primary_model_oof_prediction	Klebsiella_pneumoniae	Klebsiella	aadA15,aac(6')-Ib,AAC(6')-Ib10,AAC(6')-Ib9,aac(6')-Ib'	AMINOGLYCOSIDE ANTIBIOTIC,AMINOGLYCOSIDE,BETA-LACTAM,MONOBACTAM; CEPHALOSPORIN; PENAM; PENEM,QUATERNARY AMMONIUM	113468	24266	0.2138576514964571	3	aac(6')-Ib,aac(6')-Ib',aadA15	USA:4817,USA: California:1029,Spain:712	True
combined	AA083	high	0.806551663884297	0.9733788328265752	primary_model_oof_prediction	Staphylococcus_aureus	Staphylococcus	Staphylococcus aureus mupA conferring resistance to mupirocin,mupA,AAC(6')-Ie-APH(2'')-Ia bifunctional protein,aac(6')-Ie/aph(2'')-Ia,aadD1	AMINOGLYCOSIDE,AMINOGLYCOSIDE ANTIBIOTIC,MUPIROCIN-LIKE ANTIBIOTIC,MUPIROCIN,QUATERNARY AMMONIUM	100884	24165	0.2395325324134649	3	aac(6')-Ie/aph(2'')-Ia,aadD1,mupA	Netherlands:1769,USA:1278,USA: Pennsylvania:1136	True
combined	AC120	high	0.8631526573842555	0.9819545647428768	primary_model_oof_prediction	Salmonella_enterica	Salmonella	sul2,aph(3'')-Ib,APH(3'')-Ib,aph(6)-Id,tet(A)	AMINOGLYCOSIDE,AMINOGLYCOSIDE ANTIBIOTIC,SULFONAMIDE,TETRACYCLINE,BETA-LACTAM	124175	23877	0.1922850815381518	4	aph(3'')-Ib,aph(6)-Id,sul2,tet(A)	USA:4248,China:2223,Chile:645	True
