backbone_id	n_training_records	complete_fraction	duplicate_fraction	change_flag_fraction	duplicate_completeness_score
AA661	9	0.0	0.0	1.0	0.3
AB946	9	0.0	0.0	1.0	0.3
AC609	9	0.0	0.0	1.0	0.3
AC693	9	0.0	0.0	1.0	0.3
AD894	9	0.0	0.0	1.0	0.3
AA274	8	0.0	0.0	1.0	0.3
AA338	8	0.0	0.0	1.0	0.3
AA579	8	0.0	0.0	1.0	0.3
AA614	8	0.0	0.0	1.0	0.3
AB600	8	0.0	0.0	1.0	0.3
AB631	8	0.0	0.0	1.0	0.3
AB642	8	0.0	0.0	1.0	0.3
AC296	8	0.0	0.0	1.0	0.3
AC611	8	0.0	0.0	1.0	0.3
AA184	7	0.0	0.0	1.0	0.3
AA279	7	0.0	0.0	1.0	0.3
AA405	7	0.0	0.0	1.0	0.3
AA473	7	0.0	0.0	1.0	0.3
AA656	7	0.0	0.0	1.0	0.3
AA783	7	0.0	0.0	1.0	0.3
AA998	7	0.0	0.0	1.0	0.3
AB951	7	0.0	0.0	1.0	0.3
AC007	7	0.0	0.0	1.0	0.3
AA251	6	0.0	0.0	1.0	0.3
AA256	6	0.0	0.0	1.0	0.3
AA282	6	0.0	0.0	1.0	0.3
AA410	6	0.0	0.0	1.0	0.3
AA515	6	0.0	0.0	1.0	0.3
AA779	6	0.0	0.0	1.0	0.3
AA932	6	0.0	0.0	1.0	0.3
AB172	6	0.0	0.0	1.0	0.3
AB229	6	0.0	0.0	1.0	0.3
AB620	6	0.0	0.0	1.0	0.3
AB653	6	0.0	0.0	1.0	0.3
AB658	6	0.0	0.0	1.0	0.3
AB815	6	0.0	0.0	1.0	0.3
AB849	6	0.0	0.0	1.0	0.3
AC245	6	0.0	0.0	1.0	0.3
AC629	6	0.0	0.0	1.0	0.3
AC680	6	0.0	0.0	1.0	0.3
AD164	6	0.0	0.0	1.0	0.3
AD370	6	0.0	0.0	1.0	0.3
AF069	6	0.0	0.0	1.0	0.3
AF609	6	0.0	0.0	1.0	0.3
AA144	5	0.0	0.0	1.0	0.3
AA161	5	0.0	0.0	1.0	0.3
AA269	5	0.0	0.0	1.0	0.3
AA295	5	0.0	0.0	1.0	0.3
AA337	5	0.0	0.0	1.0	0.3
AA356	5	0.0	0.0	1.0	0.3
AA378	5	0.0	0.0	1.0	0.3
AA531	5	0.0	0.0	1.0	0.3
AA543	5	0.0	0.0	1.0	0.3
AA698	5	0.0	0.0	1.0	0.3
AA735	5	0.0	0.0	1.0	0.3
AA792	5	0.0	0.0	1.0	0.3
AA842	5	0.0	0.0	1.0	0.3
AA923	5	0.0	0.0	1.0	0.3
AB320	5	0.0	0.0	1.0	0.3
AB531	5	0.0	0.0	1.0	0.3
AB581	5	0.0	0.0	1.0	0.3
AB742	5	0.0	0.0	1.0	0.3
AC095	5	0.0	0.0	1.0	0.3
AC309	5	0.0	0.0	1.0	0.3
AC427	5	0.0	0.0	1.0	0.3
AC442	5	0.0	0.0	1.0	0.3
AC507	5	0.0	0.0	1.0	0.3
AC628	5	0.0	0.0	1.0	0.3
AC694	5	0.0	0.0	1.0	0.3
AD254	5	0.0	0.0	1.0	0.3
AD529	5	0.0	0.0	1.0	0.3
AE249	5	0.0	0.0	1.0	0.3
AE334	5	0.0	0.0	1.0	0.3
AE457	5	0.0	0.0	1.0	0.3
AE698	5	0.0	0.0	1.0	0.3
AF085	5	0.0	0.0	1.0	0.3
AG104	5	0.0	0.0	1.0	0.3
AA162	4	0.0	0.0	1.0	0.3
AA196	4	0.0	0.0	1.0	0.3
