backbone_id	n_countries_train	training_country_missing_fraction	testing_country_missing_fraction	observed_new_countries	optimistic_new_countries	midpoint_new_countries	weighted_new_countries	eligible_for_country_bounds	label_observed	label_midpoint	label_optimistic	label_weighted
AF747	1	0.5	0.29411764705882354	6	11	9	8.5	True	1.0	1.0	1.0	1.0
AG389	1	0.0	0.0	1	1	1	1.0	True	0.0	0.0	0.0	0.0
AD352	0	1.0	0.2222222222222222	5	7	6	6.428571428571428	False				
AG108	1	0.0	0.2	2	3	3	2.5	True	0.0	1.0	1.0	0.0
AD038	0	1.0	0.375	3	6	5	4.800000000000001	False				
AF475	0	0.0	0.5	1	3	2	2.0	False				
AC995	0	0.0	0.0	2	2	2	2.0	False				
AB088	0	0.0	0.0	3	3	3	3.0	False				
AG700	0	1.0	0.16666666666666666	3	4	4	3.5999999999999996	False				
AA450	0	0.0	0.12790697674418605	18	29	24	20.64	False				
AE437	0	0.0	0.045454545454545456	7	8	8	7.333333333333334	False				
AA404	0	0.0	0.10714285714285714	6	9	8	6.720000000000001	False				
AA406	0	1.0	0.17985611510791366	25	100	63	30.482456140350877	False				
AA829	0	0.0	0.6666666666666666	1	3	2	3.0	False				
AA816	0	0.0	0.05405405405405406	12	14	13	12.685714285714287	False				
AA945	0	0.0	0.0	8	8	8	8.0	False				
AA457	1	0.5	0.08333333333333333	12	16	14	13.09090909090909	True	1.0	1.0	1.0	1.0
AF031	0	0.0	0.18181818181818182	6	10	8	7.333333333333334	False				
AD978	0	1.0	0.0	3	3	3	3.0	False				
AE373	0	0.0	0.047619047619047616	4	5	5	4.2	False				
AB336	0	0.0	0.5	1	2	2	2.0	False				
AC160	0	0.0	0.11764705882352941	5	7	6	5.666666666666666	False				
AD731	0	0.0	0.0	4	4	4	4.0	False				
AD824	0	0.0	0.0	5	5	5	5.0	False				
AE690	0	0.0	0.05	8	9	9	8.421052631578947	False				
AD642	0	1.0	0.0	8	8	8	8.0	False				
AB409	0	0.0	0.0	3	3	3	3.0	False				
AE027	0	1.0	0.2857142857142857	4	6	5	5.6	False				
AD729	0	0.0	0.0	3	3	3	3.0	False				
AE377	0	0.0	0.0	2	2	2	2.0	False				
AF236	0	0.0	0.0	1	1	1	1.0	False				
AC969	1	0.0	0.0	4	4	4	4.0	True	1.0	1.0	1.0	1.0
AG446	1	0.5	0.0	7	7	7	7.0	True	1.0	1.0	1.0	1.0
AH458	1	0.0	0.0	0	0	0	0.0	True	0.0	0.0	0.0	0.0
AD972	0	1.0	0.0	1	1	1	1.0	False				
AD596	1	0.0	0.0	3	3	3	3.0	True	1.0	1.0	1.0	1.0
AE046	0	1.0	0.030303030303030304	5	6	6	5.15625	False				
AF250	1	0.75	0.2	3	5	4	3.75	True	1.0	1.0	1.0	1.0
AA275	2	0.5833333333333334	0.10599078341013825	33	79	56	36.91237113402062	True	1.0	1.0	1.0	1.0
AA021	0	1.0	0.03389830508474576	10	12	11	10.350877192982457	False				
AA458	0	0.0	0.12121212121212122	7	11	9	7.9655172413793105	False				
AG167	0	0.0	0.0	6	6	6	6.0	False				
AA122	0	0.0	0.04	9	10	10	9.375	False				
AA454	0	0.0	0.14705882352941177	13	23	18	15.24137931034483	False				
AA619	1	0.7777777777777778	0.3208955223880597	39	168	104	57.42857142857143	True	1.0	1.0	1.0	1.0
AC288	0	0.0	0.0	4	4	4	4.0	False				
AA277	0	0.0	0.07662835249042145	26	46	36	28.157676348547717	False				
AA996	8	0.6	0.11428571428571428	7	11	9	7.903225806451612	False				
AA751	6	0.5	0.15789473684210525	4	7	6	4.75	False				
AA902	4	0.6363636363636364	0.23529411764705882	4	8	6	5.230769230769231	False				
AA927	0	0.0	0.0	4	4	4	4.0	False				
AF516	0	1.0	0.0	0	0	0	0.0	False				
