backbone_id	priority_group	priority_index	selection_score	selection_score_column	dominant_species	primary_replicon	replicon_types	mobsuite_literature_record_count	mobsuite_literature_sample_count	mobsuite_literature_host_species_count	mobsuite_reported_host_range_taxid_count	mobsuite_literature_pmid_count	mobsuite_literature_year_min	mobsuite_literature_year_max	mobsuite_literature_conjugative_note_fraction	mobsuite_cluster_record_count	mobsuite_cluster_taxid_count	mobsuite_cluster_mobilizable_fraction	mobsuite_cluster_conjugative_fraction	mobsuite_cluster_relaxase_presence_fraction	mobsuite_cluster_mpf_presence_fraction	mobsuite_cluster_orit_presence_fraction	mobsuite_any_literature_support	mobsuite_any_cluster_support
AA827	high	0.5029247732982468	0.5336150665541111	primary_model_oof_prediction	Klebsiella_grimontii	IncFIA	IncFIA,IncFIB,IncFII,rep_cluster_2183	14.0	14.0	6.0	2.0	8.0	2000.0	2017.0	0.07142857142857142	240.0	48.0	0.175	0.7833333333333333	0.9125	0.5666666666666667	0.5166666666666667	True	True
AA043	high	0.4261493414364425	0.5288925308633281	primary_model_oof_prediction	Enterobacter_kobei	IncFIB	IncFIB,IncFII	8.0	8.0	3.0	2.0	5.0	2001.0	2010.0	0.25	357.0	77.0	0.08683473389355742	0.23249299719887956	0.2689075630252101	0.0	0.0	True	True
AA274	high	0.6500970201214958	0.5251080812902232	primary_model_oof_prediction	Klebsiella_pneumoniae	IncFIB	ColRNAI_rep_cluster_1857,IncFIA,IncFIB,IncFII,IncL/M,IncQ1,IncR,rep_cluster_1254,rep_cluster_1418,rep_cluster_2183,rep_cluster_2272,rep_cluster_2358	8.0	8.0	3.0	2.0	5.0	2001.0	2010.0	0.25	357.0	77.0	0.08683473389355742	0.23249299719887956	0.2689075630252101	0.0	0.0	True	True
AA183	high	0.2162590710859185	0.519359638963992	primary_model_oof_prediction	Escherichia_coli	IncFIB	IncFIA,IncFIB,IncFIC,IncFII,IncI-gamma/K1,IncI1,rep_cluster_2244	8.0	8.0	3.0	2.0	5.0	2001.0	2010.0	0.25	357.0	77.0	0.08683473389355742	0.23249299719887956	0.2689075630252101	0.0	0.0	True	True
AA832	high	0.6135377797641511	0.5027299512428032	primary_model_oof_prediction	Leclercia_adecarboxylata	IncFIB	IncFIB,rep_cluster_2187,rep_cluster_2268	8.0	8.0	3.0	2.0	5.0	2001.0	2010.0	0.25	357.0	77.0	0.08683473389355742	0.23249299719887956	0.2689075630252101	0.0	0.0	True	True
AA357	high	0.9488102156327056	0.4885208066630494	primary_model_oof_prediction	Klebsiella_pneumoniae	IncFIA	IncFIA,IncFIB,IncFII,IncX3,rep_cluster_1418	14.0	14.0	6.0	2.0	8.0	2000.0	2017.0	0.07142857142857142	240.0	48.0	0.175	0.7833333333333333	0.9125	0.5666666666666667	0.5166666666666667	True	True
AA436	high	0.911077090676069	0.4579772777750855	primary_model_oof_prediction	Klebsiella_pneumoniae	IncFIB	ColRNAI_rep_cluster_1857,ColRNAI_rep_cluster_1987,IncFIA,IncFIB,IncFIC,IncFII,IncR,rep_cluster_1,rep_cluster_1254,rep_cluster_1418,rep_cluster_2183,rep_cluster_2373	8.0	8.0	3.0	2.0	5.0	2001.0	2010.0	0.25	357.0	77.0	0.08683473389355742	0.23249299719887956	0.2689075630252101	0.0	0.0	True	True
AA739	high	0.989195896752856	0.8426192338478782	primary_model_oof_prediction	Enterobacter_hormaechei	IncHI2A	IncC,IncFIA,IncFIB,IncFII,IncHI2A,IncL/M,IncN,IncP,IncQ1,IncR,rep_cluster_1088,rep_cluster_1254,rep_cluster_1418,rep_cluster_1798,rep_cluster_1804,rep_cluster_2272,rep_cluster_2335,rep_cluster_827	4.0	4.0	4.0	1.0	1.0	2010.0	2010.0	0.0	3.0	2.0	0.0	1.0	1.0	0.0	0.0	True	True
AC120	high	0.9571135395142208	0.7884992230481561	primary_model_oof_prediction	Salmonella_enterica	IncQ1	ColRNAI_rep_cluster_1987,IncFII,IncQ1,rep_cluster_2335	8.0	8.0	6.0	1.0	3.0	1989.0	2014.0	0.0	52.0	23.0	0.9807692307692307	0.0	0.9807692307692307	0.0	0.0	True	True
AA921	high	0.6991358837835838	0.7851165557186782	primary_model_oof_prediction	uncultured_bacterium	IncP	IncP,rep_cluster_1398	27.0	27.0	19.0	1.0	7.0	2006.0	2017.0	0.0	213.0	87.0	0.2347417840375587	0.596244131455399	0.8309859154929577	0.0	0.0	True	True
AA473	high	0.8967091057949883	0.7797783589650955	primary_model_oof_prediction	Escherichia_coli	IncI-gamma/K1	IncFIA,IncFIB,IncFIC,IncFII,IncI-gamma/K1,IncI1/B/O,IncN,IncQ1,rep_cluster_1088,rep_cluster_2313,rep_cluster_2350,rep_cluster_2371	36.0	36.0	6.0	1.0	6.0	2010.0	2019.0	0.0	360.0	63.0	0.008333333333333333	0.975	0.9833333333333333	0.002777777777777778	0.002777777777777778	True	True
AC203	high	0.367412418958481	0.7783344760280789	primary_model_oof_prediction	Salmonella_enterica	IncFII	IncFIB,IncFIC,IncFII,rep_cluster_2183	2.0	2.0	2.0	1.0	2.0	2010.0	2010.0	0.0	130.0	61.0	0.06923076923076923	0.7	0.7538461538461538	0.0	0.0	True	True
AC202	high	0.330714095591146	0.7735933790926395	primary_model_oof_prediction	Salmonella_enterica	IncFII	IncFIB,IncFII,rep_cluster_2165	2.0	2.0	2.0	1.0	2.0	2010.0	2010.0	0.0	130.0	61.0	0.06923076923076923	0.7	0.7538461538461538	0.0	0.0	True	True
AB071	high	0.1735523028011756	0.7401059747609138	primary_model_oof_prediction	Klebsiella_pneumoniae	rep_cluster_2335	rep_cluster_2335,rep_cluster_2358	3.0	3.0	2.0	1.0	1.0	2010.0	2010.0	0.0	264.0	68.0	0.9015151515151515	0.0	0.35984848484848486	0.0	0.0	True	True
AB056	high	0.2812387518683685	0.7316378401855145	primary_model_oof_prediction	Klebsiella_pneumoniae	rep_cluster_2358	ColRNAI_rep_cluster_1987,rep_cluster_2327,rep_cluster_2335,rep_cluster_2358,rep_cluster_2373	1.0	1.0	1.0	1.0	1.0	2013.0	2013.0	1.0	72.0	19.0	0.5555555555555556	0.0	0.3888888888888889	0.0	0.013888888888888888	True	True
AA919	high	0.8598889042092671	0.7217918277629224	primary_model_oof_prediction	uncultured_bacterium	IncP	IncP,IncU,rep_cluster_104,rep_cluster_1581,rep_cluster_1674,rep_cluster_717,rep_cluster_80	27.0	27.0	19.0	1.0	7.0	2006.0	2017.0	0.0	213.0	87.0	0.2347417840375587	0.596244131455399	0.8309859154929577	0.0	0.0	True	True
AA452	high	0.6109056643946803	0.7009029705191125	primary_model_oof_prediction	Klebsiella_pneumoniae	IncFII	ColRNAI_rep_cluster_1857,IncFIA,IncFIB,IncFII,IncHI1B,IncL/M,IncN,IncR,IncU,rep_cluster_1418,rep_cluster_2183	2.0	2.0	2.0	1.0	2.0	2010.0	2010.0	0.0	130.0	61.0	0.06923076923076923	0.7	0.7538461538461538	0.0	0.0	True	True
AC122	high	0.6714848774397669	0.6998895910430125	primary_model_oof_prediction	Providencia_stuartii	IncQ1	IncQ1	8.0	8.0	6.0	1.0	3.0	1989.0	2014.0	0.0	52.0	23.0	0.9807692307692307	0.0	0.9807692307692307	0.0	0.0	True	True
AA514	high	0.2205212581255813	0.6962529638083526	primary_model_oof_prediction	Enterobacter_hormaechei	rep_cluster_2335	ColRNAI_rep_cluster_1987,rep_cluster_2327,rep_cluster_2335,rep_cluster_2358,rep_cluster_2373	3.0	3.0	2.0	1.0	1.0	2010.0	2010.0	0.0	264.0	68.0	0.9015151515151515	0.0	0.35984848484848486	0.0	0.0	True	True
AA710	high	0.8799104095349476	0.6682782819850474	primary_model_oof_prediction	Citrobacter_freundii	IncFIC	IncFIC,IncFII,rep_cluster_1440	3.0	3.0	1.0	1.0	3.0	2010.0	2019.0	0.0	2.0	2.0	0.0	0.5	0.5	0.0	0.0	True	True
AA519	high	0.6215765709258498	0.6675751363244333	primary_model_oof_prediction	Enterobacter_hormaechei	rep_cluster_2335	ColRNAI_rep_cluster_1987,rep_cluster_2335,rep_cluster_2358	3.0	3.0	2.0	1.0	1.0	2010.0	2010.0	0.0	264.0	68.0	0.9015151515151515	0.0	0.35984848484848486	0.0	0.0	True	True
