calibration_method	n_backbones	mean_prediction	observed_rate	brier_score	ece	expected_calibration_error	max_calibration_error	model_name	evaluation_split	calibration_strategy	calibration_gain_vs_raw_brier	calibration_gain_vs_raw_ece
platt	989	0.36605669103208877	0.3660262891809909	0.18584743711213517	0.03909026189471589	0.03909026189471589	0.09403176406874064	parsimonious_priority	oof	nested_oof	0.0008852477670944492	0.007087500884699789
isotonic	989	0.36660900560550846	0.3660262891809909	0.18755734259032272	0.042138003754405975	0.042138003754405975	0.11096551278813663	parsimonious_priority	oof	nested_oof	-0.0008246577110931075	0.0040397590250097065
beta	989	0.36606310169936057	0.3660262891809909	0.18626881495152317	0.03067826854541417	0.03067826854541417	0.07056261775390654	parsimonious_priority	oof	nested_oof	0.0004638699277064451	0.015499494234001512
raw	989	0.45133418995148045	0.3660262891809909	0.16602753621100172	0.08530790077048957	0.08530790077048957	0.16893413033896698	phylo_support_fusion_priority	oof	identity	0.0	0.0
platt	989	0.3659831341221399	0.3660262891809909	0.15699545549760177	0.019820509939771344	0.019820509939771344	0.04534446260887684	phylo_support_fusion_priority	oof	nested_oof	0.009032080713399948	0.06548739083071822
isotonic	989	0.36518919705364666	0.3660262891809909	0.16141393358507652	0.02878219859673407	0.02878219859673407	0.06687209360120874	phylo_support_fusion_priority	oof	nested_oof	0.004613602625925195	0.05652570217375549
beta	989	0.3655986217066678	0.3660262891809909	0.15724929891448733	0.020420853041301708	0.020420853041301708	0.04663969732125966	phylo_support_fusion_priority	oof	nested_oof	0.00877823729651439	0.06488704772918785
raw	989	0.3661921684327624	0.3660262891809909	0.232278266812204	0.06191324898154392	0.06191324898154392	0.24492492471949479	source_only	oof	identity	0.0	0.0
platt	989	0.3664470478597825	0.3660262891809909	0.23256607183633382	0.038742238891228464	0.038742238891228464	0.09620911263345916	source_only	oof	nested_oof	-0.00028780502412981135	0.023171010090315455
isotonic	989	0.36896471055130814	0.3660262891809909	0.23545600333024427	0.06578958728682957	0.06578958728682957	0.21189201160792082	source_only	oof	nested_oof	-0.003177736518040264	-0.003876338305285651
beta	989	0.36648729419159665	0.3660262891809909	0.23256506850322187	0.04279094292717917	0.04279094292717917	0.09623639211147911	source_only	oof	nested_oof	-0.00028680169101785724	0.019122306054364747
