model_name	status	roc_auc	roc_auc_ci_lower	roc_auc_ci_upper	average_precision	average_precision_ci_lower	average_precision_ci_upper	brier_score	brier_skill_score	brier_score_ci_lower	brier_score_ci_upper	ece	selection_adjusted_empirical_p_roc_auc	permutation_p_roc_auc	n_permutations	delta_vs_baseline_roc_auc	delta_vs_baseline_ci_lower	delta_vs_baseline_ci_upper	spatial_holdout_roc_auc	spatial_holdout_regions	spatial_holdout_n_backbones	best_spatial_holdout_region	best_spatial_holdout_region_roc_auc	worst_spatial_holdout_region	worst_spatial_holdout_region_roc_auc	n_backbones	n_positive	positive_prevalence	report_visibility	error_message	average_precision_enrichment	average_precision_lift	brier_reliability	brier_resolution	brier_uncertainty	decision_utility_cost	decision_utility_grid_size	decision_utility_positive_rate	decision_utility_precision	decision_utility_recall	decision_utility_score	expected_calibration_error_x	log_loss	log_loss_ci_lower	log_loss_ci_upper	max_calibration_error_x	ndcg_at_10	ndcg_at_25	novelty_adjusted_average_precision	optimal_decision_threshold	precision_at_top_10	precision_at_top_25	recall_at_top_10	recall_at_top_25	weighted_classification_cost	mean_agreement_score	mean_logistic_nonlinear_delta	review_fraction	expected_calibration_error_y	max_calibration_error_y	n_permutations_selection_adjusted	selection_adjusted_empirical_p_average_precision	n_models_in_scope	modal_selected_model_name	modal_selected_model_share	matched_knownness_weighted_roc_auc	knownness_matched_gap	source_holdout_weighted_roc_auc	source_holdout_gap	spatial_holdout_gap	scientific_acceptance_scored	scientific_acceptance_flag	scientific_acceptance_status	scientific_acceptance_failed_criteria	matched_knownness_gate_pass	source_holdout_gate_pass	spatial_holdout_gate_pass	calibration_gate_pass	selection_adjusted_gate_pass	leakage_review_gate_pass	spatial_holdout_gap
support_calibrated_priority	ok	0.8074537171658428	0.7805390178992243	0.8340003397826016	0.7389402271702246	0.6937418132283497	0.7815821512351935	0.1813842425842556	0.21834334883839268	0.17138078037255322	0.19207895083828058								0.8046223594837162	5.0	952.0	North America	0.8487415063642454	Latin America and Caribbean	0.7765873015873016	989	362	0.3660262891809909	audit_only		2.0188173609705857	0.37291393798923367	0.017230926422265865	0.06654182246064173	0.23205104480938452	0.18099089989888775	1088.0	0.7431749241658241	0.4598639455782313	0.9337016574585635	-0.18099089989888775	0.1213686558288099	0.543770956902703	0.5194603695727068	0.5695929952585794	0.1758333353063422	1.0	1.0	0.10899318871214911	0.27969488299227063	1.0	1.0	0.027624309392265192	0.06906077348066299	0.18099089989888775											0.742234816507049	-0.06521890065879377	0.7605919980995438	-0.04686171906629899	-0.0028313576821266118	False	False	not_scored	missing:ece,selection_adjusted_empirical_p_roc_auc	False	False	True	False	False	True	-0.0028313576821266118
host_transfer_synergy_priority	ok	0.8054050243640241	0.7770445473391202	0.8321224657489983	0.714523609173669	0.6662423150725738	0.7627630185732355	0.1838036912842797	0.2079169846648914	0.17319903882017823	0.1951595237220395	0.1223450677825351							0.8009888298416051	5.0	952.0	North America	0.8393626184323859	Oceania	0.7560606060606061	989	362	0.3660262891809909	audit_only		1.9521100814164603	0.3484973199926781	0.01666657872874274	0.06408217512160684	0.23205104480938452	0.14256825075834176	1086.0	0.7189079878665319	0.4781997187060478	0.9392265193370166	-0.14256825075834176	0.12234506778253514	0.552100380556592	0.5269466305761824	0.5784785858477779	0.18162368517832916	1.0	0.9173842486124935	0.1097175562314677	0.27937252559034265	1.0	0.88	0.027624309392265192	0.06077348066298342	0.14256825075834176				0.1223450677825351	0.1816236851783291						0.7420958441814793	-0.06330918018254472	0.7612513521625696	-0.0441536722014545	-0.004416194522418926	False	False	not_scored	missing:selection_adjusted_empirical_p_roc_auc	False	False	True	False	False	True	-0.004416194522418926
discovery_15f_synergy	ok	0.8051054305779517	0.7766685787908237	0.8335648449972646	0.7219453611515759	0.674791063985078	0.7703644333919409	0.16913783037773555	0.2711179968326721	0.15655664189287483	0.18223222272512557								0.7860940286936363	5.0	952.0	Latin America and Caribbean	0.871031746031746	Asia	0.7211671823322309	989	362	0.3660262891809909	audit_only		1.9723866358533386	0.35591907197058503	0.0041059747368226256	0.06551204510557188	0.23205104480938452	0.16076845298281092	1083.0	0.7866531850353893	0.44601542416452444	0.9585635359116023	-0.16076845298281092	0.05556041494040725	0.5136845991377598	0.4837500714949455	0.544842986409155	0.11617555543836044	0.9363792118010483	0.9337087595149091	0.11135343352708203	0.14777756900823005	0.9	0.92	0.024861878453038673	0.06353591160220995	0.16076845298281092													0.7742520101481739	-0.03085342042977779	-0.019011401884315382	False	False	not_scored	missing:ece,matched_knownness_weighted_roc_auc,selection_adjusted_empirical_p_roc_auc	False	False	True	False	False	True	-0.019011401884315382
knownness_robust_priority	ok	0.8046075761981548	0.775685745621212	0.8317765259996682	0.7125105612796632	0.6643621788658408	0.760835441197401	0.18325755424235657	0.21027050581525608	0.17280369468105192	0.1944016766983689	0.1210806453874528							0.8016912750033927	5.0	952.0	North America	0.8389319552110249	Oceania	0.759090909090909	989	362	0.3660262891809909	audit_only		1.946610345595544	0.3464842720986723	0.017758702289156495	0.06522909342871584	0.23205104480938452	0.14964610717896865	1083.0	0.7118301314459049	0.48011363636363635	0.9337016574585635	-0.14964610717896865	0.12108064538745282	0.5510343923584943	0.5259225895279789	0.5773526303796176	0.2088719463289343	1.0	0.8910586505373238	0.10906619218862817	0.28134112627851504	1.0	0.84	0.027624309392265192	0.058011049723756904	0.14964610717896865				0.1210806453874528	0.2088719463289343						0.7403901199477892	-0.06421745625036557	0.7599875121110576	-0.04462006408709718	-0.002916301194762161	False	False	not_scored	missing:selection_adjusted_empirical_p_roc_auc	False	False	True	False	False	True	-0.002916301194762161
graph_evidence_priority	ok	0.8046031704071832	0.7756897695026276	0.8318109722105851	0.7125143454469969	0.6644056630487678	0.7608372449090522	0.18325794660043265	0.21026881498866923	0.1728039293640736	0.19440160884999746								0.8014166786077022	5.0	952.0	North America	0.8389319552110249	Oceania	0.759090909090909	989	362	0.3660262891809909	audit_only		1.9466206841079556	0.346488056266006	0.017758915837724674	0.06522909342871584	0.23205104480938452	0.14964610717896865	1083.0	0.7118301314459049	0.48011363636363635	0.9337016574585635	-0.14964610717896865	0.1210813609885662	0.5510353150201037	0.5259230916877513	0.5773524952079122	0.20887282266377138	1.0	0.8910586505373238	0.10906781137699163	0.28134207296825764	1.0	0.84	0.027624309392265192	0.058011049723756904	0.14964610717896865													0.7600165528173994	-0.04458661758978377	-0.0031864917994810504	False	False	not_scored	missing:ece,matched_knownness_weighted_roc_auc,selection_adjusted_empirical_p_roc_auc	False	False	True	False	False	True	-0.0031864917994810504
evidence_aware_priority	ok	0.8037374324812534	0.7737021495393167	0.8309559554491088	0.7355244343144528	0.6902421017855968	0.778664267082633	0.16493799016993121	0.2892167742428503	0.15300108694516343	0.17880312483165625								0.8058953847872609	5.0	952.0	North America	0.8387884008039047	Oceania	0.7333333333333333	989	362	0.3660262891809909	audit_only		2.0094852639143475	0.3694981451334619	0.0009652180281101675	0.06753147591310033	0.23205104480938452	0.20626895854398383	1082.0	0.6835187057633973	0.4822485207100592	0.9005524861878453	-0.20626895854398383	0.02896709271082589	0.503836042137606	0.47363407455798456	0.5379906303740993	0.049478321086747074	1.0	0.9456024509155142	0.104753112707565	0.16540035739822764	1.0	0.92	0.027624309392265192	0.06353591160220995	0.20626895854398383													0.7866929024386806	-0.01704453004257278	0.00215795230600746	False	False	not_scored	missing:ece,matched_knownness_weighted_roc_auc,selection_adjusted_empirical_p_roc_auc	False	False	True	False	False	True	0.00215795230600746
label_noise_aware_priority	ok	0.8025544776053645	0.7728229381166792	0.8295040800799623	0.7117195659691536	0.6629143167711296	0.760027369216002	0.23641329174559175	-0.018798652424903084	0.22422710767130702	0.24841181366952503								0.7992098468268753	5.0	952.0	North America	0.8402717963441477	Oceania	0.7560606060606061	989	362	0.3660262891809909	audit_only		1.9444493114461132	0.34569327678816275	0.07032426014286154	0.0652323241845105	0.23205104480938452	0.16683518705763398	1083.0	0.7007077856420627	0.481962481962482	0.9226519337016574	-0.16683518705763398	0.25042297792316714	0.6723505556055513	0.641549728810199	0.7021399510085007	0.3597502149282421	1.0	0.8894264921997213	0.10996551791371903	0.4560818157992113	1.0	0.84	0.027624309392265192	0.058011049723756904	0.16683518705763398													0.7278668639286555	-0.07468761367670895	-0.0033446307784891216	False	False	not_scored	missing:ece,matched_knownness_weighted_roc_auc,selection_adjusted_empirical_p_roc_auc	False	False	True	False	False	True	-0.0033446307784891216
ecology_clinical_priority	ok	0.7986773815503098	0.7699875538700184	0.825821280626579	0.7038952293234496	0.656628054617608	0.7544770594492851	0.17414682863915848	0.24953223639992983	0.1622717676059453	0.1867999783129168	0.0521305478385126							0.7860411294917176	5.0	952.0	Latin America and Caribbean	0.8341269841269842	Oceania	0.7318181818181818	989	362	0.3660262891809909	audit_only		1.9230728779030157	0.3378689401424587	0.0036206444364312636	0.06206618350573079	0.23205104480938452	0.1557128412537917	1086.0	0.78159757330637	0.4489003880983182	0.9585635359116023	-0.1557128412537917	0.05213054783851268	0.5241318599065269	0.495927603253694	0.5541506320685166	0.12545063430377223	1.0	0.9098206519771822	0.10837524008184446	0.14317594454041618	1.0	0.88	0.027624309392265192	0.06077348066298342	0.1557128412537917				0.0521305478385126	0.1254506343037722						0.7327875001392433	-0.06588988141106644	0.7898321457294791	-0.008845235820830633	-0.012636252058592201	False	False	not_scored	missing:selection_adjusted_empirical_p_roc_auc	False	False	True	False	False	True	-0.012636252058592201
enhanced_priority	ok	0.7962938486346454	0.7657093849823622	0.8247254626805	0.7203377419387677	0.6702800236512261	0.7674183891118339	0.16862210326044094	0.27334046955507785	0.1564153926467517	0.18193393010537703								0.7956393559414586	5.0	952.0	Latin America and Caribbean	0.8222222222222222	Oceania	0.740909090909091	989	362	0.3660262891809909	audit_only		1.9679945491089537	0.35431145275777676	0.0015110800442580256	0.06393637423913112	0.23205104480938452	0.22143579373104147	1088.0	0.8543983822042467	0.41183431952662725	0.9613259668508287	-0.22143579373104147	0.029100769101594856	0.5157484781060903	0.4855783096311245	0.5476615949075319	0.09280012882281818	1.0	0.9150207976815836	0.10326917971441227	0.1577627402478226	1.0	0.88	0.027624309392265192	0.06077348066298342	0.22143579373104147													0.7343701112110707	-0.06192373742357471	-0.0006544926931867368	False	False	not_scored	missing:ece,matched_knownness_weighted_roc_auc,selection_adjusted_empirical_p_roc_auc	False	False	True	False	False	True	-0.0006544926931867368
monotonic_latent_priority	ok	0.7958752984923383	0.7670250299587751	0.823659004377255	0.7070233697347375	0.6592982520917018	0.7610170210247069	0.17251549694901197	0.25656229175471845	0.1593477962517207	0.18597737097483424								0.787995100523347	5.0	952.0	Latin America and Caribbean	0.8809523809523809	Asia	0.7341032753654113	989	362	0.3660262891809909	audit_only		1.9316190957670036	0.34099708055374656	0.003908659636025818	0.0628946118222423	0.23205104480938452	0.16177957532861476	1086.0	0.7593528816986855	0.4567243675099867	0.9475138121546961	-0.16177957532861476	0.0514186451651429	0.520967925053996	0.48927671001926615	0.5525925257190698	0.10405152068926549	0.77990823370192	0.8490278353929013	0.11138410484320438	0.12118994764690214	0.9	0.92	0.024861878453038673	0.06353591160220995	0.16177957532861476											0.7390458079846647	-0.05682949050767361	0.7736298720433908	-0.022245426448947447	-0.00788019796899131	False	False	not_scored	missing:ece,selection_adjusted_empirical_p_roc_auc	False	False	True	False	False	True	-0.00788019796899131
