model_name	model_track	roc_auc	average_precision	prediction_vs_knownness_spearman	ece	weighted_classification_cost	decision_utility_score	decision_utility_cost	optimal_decision_threshold	decision_utility_precision	decision_utility_recall	decision_utility_positive_rate	spatial_holdout_roc_auc	selection_adjusted_empirical_p_roc_auc	lower_half_knownness_n_backbones	lower_half_knownness_roc_auc	lowest_knownness_quartile_n_backbones	lowest_knownness_quartile_roc_auc	matched_knownness_weighted_roc_auc	source_holdout_weighted_roc_auc	source_holdout_macro_roc_auc	roc_auc_component_score	average_precision_component_score	lower_half_knownness_roc_auc_component_score	lowest_knownness_quartile_roc_auc_component_score	matched_knownness_weighted_roc_auc_component_score	source_holdout_macro_roc_auc_component_score	prediction_vs_knownness_spearman_component_score	decision_utility_score_component_score	selection_composite_score	selection_metric_count	selection_missing_metric_count	leakage_review_required	leakage_review_reason	knownness_matched_gap	source_holdout_gap	guardrail_loss	governance_priority_score	strict_knownness_acceptance_flag	spatial_holdout_gap	matched_knownness_gate_pass	source_holdout_gate_pass	spatial_holdout_gate_pass	calibration_gate_pass	selection_adjusted_gate_pass	leakage_review_gate_pass	scientific_acceptance_scored	scientific_acceptance_flag	scientific_acceptance_status	selection_metrics_complete	scientific_acceptance_failed_criteria	selection_rank	track_rank	discovery_track_rank	governance_track_rank	baseline_track_rank	governance_rank
natural_auc_priority	governance	0.785235313295796	0.6929263102466791	0.5441345432961858		0.16177957532861476	-0.16177957532861476	0.16177957532861476	0.15	0.4567243675099867	0.9475138121546961	0.7593528816986855	0.7742510210696919		631	0.7086162800952465	0		0.71699037629456	0.7743792564125933	0.7390862545796211	0.5714285714285714	0.47619047619047616	0.5238095238095238		0.5714285714285714	0.8947368421052632	0.47619047619047616	0.7142857142857143	0.6040100250626566	7	0	False		-0.06824493700123602	-0.01085605688320268	0.0791009938844387	0.7061343194113573	False	-0.010984292226104087	False	False	True	False	False	True	False	False	not_scored	False	missing:ece,selection_adjusted_empirical_p_roc_auc		9				
phylogeny_aware_priority	governance	0.7774590922308282	0.6940601488806097	0.5041667996289657		0.19817997977755308	-0.19817997977755308	0.19817997977755308	0.15640340263613312	0.449468085106383	0.9337016574585635	0.7603640040444893	0.7631248244807503		631	0.7032660140517977	0		0.7072126286371643	0.7602409065872839	0.7236872112576922	0.47619047619047616	0.5238095238095238	0.47619047619047616		0.5238095238095238	0.4736842105263158	0.6666666666666667	0.5238095238095238	0.5234514858575009	7	0	False		-0.07024646359366393	-0.01721818564354427	0.0874646492372082	0.68999444299362	False	-0.014334267750077956	False	False	True	False	False	True	False	False	not_scored	False	missing:ece,selection_adjusted_empirical_p_roc_auc		10				
threat_architecture_priority	governance	0.7776000775419211	0.6940646156037844	0.6111156775058179		0.23356926188068755	-0.23356926188068755	0.23356926188068755	0.2464860010906474	0.39377085650723026	0.9779005524861878	0.9089989888776542	0.7677423909457357		631	0.6707528588646853	0		0.7067802732773781	0.7634445359821889	0.7100372740070087	0.5238095238095238	0.5714285714285714	0.33333333333333337		0.47619047619047616	0.368421052631579	0.1428571428571429	0.47619047619047616	0.41317579663444326	7	0	False		-0.07081980426454293	-0.014155541559732199	0.08497534582427513	0.6926247317176459	False	-0.009857686596185355	False	False	True	False	False	True	False	False	not_scored	False	missing:ece,selection_adjusted_empirical_p_roc_auc		11				
parsimonious_priority	discovery	0.7505793615127724	0.6591153194245379	0.48612612807314554	0.0461777612959563	0.2679474216380182	-0.2679474216380182	0.2679474216380182	0.0	0.3660262891809909	1.0	1.0	0.7409561906444806		631	0.6749272422612224	0		0.6831103876128551	0.73557847326372	0.6998119948306516	0.38095238095238093	0.38095238095238093	0.38095238095238093		0.2857142857142857	0.3157894736842105	0.7142857142857143	0.09523809523809523	0.3648406731113498	7	0	False		-0.06746897389991724	-0.015000888249052435	0.08246986214896967	0.6681094993638027	False	-0.009623170868291786	False	False	True	True	False	True	False	False	not_scored	False	missing:selection_adjusted_empirical_p_roc_auc		2				
bio_clean_priority	discovery	0.7454289918669099	0.6538034832512319	0.40192547546998936		0.2679474216380182	-0.2679474216380182	0.2679474216380182	0.0	0.3660262891809909	1.0	1.0	0.7309592483173079		631	0.6929623423582326	0		0.6987471388426514	0.7073423654930302	0.6713223775184803	0.33333333333333337	0.33333333333333337	0.4285714285714286		0.4285714285714286	0.1578947368421053	0.7619047619047619	0.09523809523809523	0.3626924453992123	7	0	False		-0.046681853024258535	-0.03808662637387972	0.08476847939813825	0.6606605124687717	False	-0.014469743549602065	False	False	True	False	False	True	False	False	not_scored	False	missing:ece,selection_adjusted_empirical_p_roc_auc		3				
full_priority	governance	0.7747891829020064	0.6867095570772024	0.6716648874929623	0.0342238009825754	0.23761375126390294	-0.23761375126390294	0.23761375126390294	0.21706656185682616	0.48847926267281105	0.8784530386740331	0.6582406471183013	0.7803650113940486		631	0.6417232560190493	0		0.6925318378529636	0.7468389459664756	0.718412460968431	0.4285714285714286	0.4285714285714286	0.2857142857142857		0.38095238095238093	0.42105263157894735	0.09523809523809523	0.4285714285714286	0.35266738274257076	7	0	False		-0.08225734504904281	-0.02795023693553078	0.11020758198457359	0.6645816009174328	False	0.00557582849204219	False	False	True	True	False	True	False	False	not_scored	False	missing:selection_adjusted_empirical_p_roc_auc		12				
regime_stability_priority	governance	0.6773991734736137	0.5551571085099366	0.10757693484874592		0.2679474216380182	-0.2679474216380182	0.2679474216380182	0.0	0.3660262891809909	1.0	1.0	0.6421265084186942		631	0.7189199517888115	0		0.6841680964376265	0.5766353523210669	0.6062427331975424	0.19047619047619047	0.19047619047619047	0.5714285714285714		0.33333333333333337	0.10526315789473684	0.9047619047619048	0.09523809523809523	0.34156820622986034	7	0	False		0.00676892296401288	-0.10076382115254678	0.10753274411655966	0.569866429357054	False	-0.03527266505491944	True	False	False	False	False	True	False	False	not_scored	False	missing:ece,selection_adjusted_empirical_p_roc_auc		13				
random_score_control	unclassified	0.5007930423748975	0.37931626862191536	-0.013069384107862257		0.2659251769464105	-0.2659251769464105	0.2659251769464105	0.001233062511908134	0.3667679837892604	1.0	0.9979777553083923			631	0.5312196842755093	0		0.5101782355660175			0.04761904761904767	0.09523809523809523	0.23809523809523814		0.09523809523809523		0.9523809523809523	0.33333333333333337	0.25170068027210885	6	1	False		0.009385193191119967		1.00938519319112	-0.5085921508162224	False		True	False	False	False	False	True	False	False	not_scored	False	missing:ece,selection_adjusted_empirical_p_roc_auc,source_holdout_weighted_roc_auc,spatial_holdout_roc_auc		1				
label_permutation	unclassified	0.5172288455946497	0.3775629829230293	-0.21439437428067146		0.26693629929221435	-0.26693629929221435	0.26693629929221435	0.16	0.36639676113360325	1.0	0.9989888776541962			631	0.5253165240687927	0		0.5576756730411438			0.09523809523809523	0.04761904761904767	0.19047619047619047		0.1428571428571429		1.0	0.23809523809523814	0.2448979591836735	6	1	False		0.040446827446494193		1.0404468274464942	-0.5232179818518445	False		True	False	False	False	False	True	False	False	not_scored	False	missing:ece,selection_adjusted_empirical_p_roc_auc,source_holdout_weighted_roc_auc,spatial_holdout_roc_auc		2				
baseline_member_count	baseline	0.7228757478830174	0.6491355516322392	0.7031468086078274		0.2659251769464105	-0.2659251769464105	0.2659251769464105	0.21388870596843082	0.3667679837892604	1.0	0.9979777553083923	0.7396857185008873		631	0.5004336067260488	0		0.5965405598725909	0.7362336179047617	0.6904608630189062	0.2857142857142857	0.2857142857142857	0.1428571428571429		0.23809523809523814	0.21052631578947367	0.0	0.33333333333333337	0.21374865735767992	7	0	False		-0.12633518801042654	0.013357870021744267	0.1396930580321708	0.5831826898508466	False	0.01680997061786982	False	True	True	False	False	True	False	False	not_scored	False	missing:ece,selection_adjusted_empirical_p_roc_auc		2				
baseline_country_count	baseline	0.541687594173782	0.45446424969117094	0.28226478657205406	0.0342408204264931	0.2679474216380182	-0.2679474216380182	0.2679474216380182	0.0	0.3660262891809909	1.0	1.0	0.5837471569328374		631	0.47420407443337154	0		0.4490543429959865	0.5716220487574787	0.5391087231510117	0.1428571428571429	0.1428571428571429	0.04761904761904767		0.04761904761904767	0.052631578947368474	0.8095238095238095	0.09523809523809523	0.19119226638023637	7	0	False		-0.09263325117779547	0.0299344545836967	0.12256770576149217	0.4191198884122898	False	0.042059562759055424	False	True	True	True	False	True	False	False	not_scored	False	missing:selection_adjusted_empirical_p_roc_auc		3				
source_only	baseline	0.45228087798602484	0.33889561941036755	0.21436267676703968	0.0619132489815439	0.2679474216380182	-0.2679474216380182	0.2679474216380182	0.0	0.3660262891809909	1.0	1.0	0.4632058783572968		631	0.4387365140958932	0		0.4460733397808866	0.43352143116208275	0.4133446443956394	0.0	0.0	0.0		0.0	0.0	0.8571428571428572	0.09523809523809523	0.1360544217687075	7	0	False		-0.006207538205138252	-0.018759446823942094	0.024966985029080346	0.4273138929569445	False	0.010925000371271976	False	False	True	False	False	True	False	False	not_scored	False	missing:selection_adjusted_empirical_p_roc_auc		4				
